,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air movement acceptability,Air movement preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
16,Brazil,0.64,1.3,73.2,0.36,54344,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,23.8,74.9,70.87,,,,,Database 2
17,Brazil,0.45,1.3,79.8,0.29,54345,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,22.5,72.6,57.09,,,,,Database 2
18,Brazil,0.96,1.3,72.2,0.08,54346,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,20.9,69.5,15.75,,,,,Database 2
19,Brazil,0.82,1.3,78.3,0.08,54347,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,20.2,68.4,15.75,,,,,Database 2
20,Brazil,1.0,1.3,74.1,0.09,54348,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,19.8,67.6,17.72,,,,,Database 2
21,Brazil,1.07,1.3,75.0,0.06,54349,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,19.4,66.9,11.81,,,,,Database 2
22,Brazil,0.95,1.3,71.7,0.07,54350,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-1.0,,,,18.7,65.6,13.78,,,,,Database 2
23,Brazil,0.71,1.3,73.0,0.12,54351,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,20.0,68.1,23.62,,,,,Database 2
24,Brazil,0.83,1.3,77.0,0.11,54352,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,21.0,69.7,21.65,,,,,Database 2
25,Brazil,0.64,1.3,69.5,0.14,54353,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Winter,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,23.3,74.0,27.56,,,,,Database 2
