,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
24,Pakistan,1.72,62.77,30.72,0.7,1.13,74.5,0.58,90250,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,cooler,30.0,86.0,30.0,86.0,30.0,86.0,30.0,86.0,30.0,86.0,30.0,86.0,113.7,0.58,113.7,Database 1
25,Pakistan,2.11,81.59,33.75,0.68,1.88,73.3,0.58,90251,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.2,86.4,30.2,86.4,30.2,86.4,30.2,86.4,30.2,86.4,30.2,86.4,113.7,0.58,113.7,Database 1
26,Pakistan,2.03,78.03,31.08,0.7,1.01,66.9,0.42,90252,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,-1.0,warmer,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,31.0,87.8,83.17,0.42,83.17,Database 1
27,Pakistan,1.25,37.49,29.69,0.7,0.77,68.5,0.58,90253,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.9,87.6,30.9,87.6,30.7,87.3,30.5,87.0,30.6,87.1,30.6,87.1,113.7,0.58,113.7,Database 1
28,Pakistan,1.31,40.85,28.57,0.6,0.89,70.3,0.88,90254,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.6,87.1,30.6,87.1,30.5,87.0,30.5,86.9,30.5,86.9,30.5,86.9,173.94,0.88,173.94,Database 1
29,Pakistan,1.83,68.68,32.15,0.6,1.01,71.2,0.14,90255,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.0,86.0,30.0,86.0,30.2,86.4,30.4,86.8,30.4,86.7,30.4,86.7,28.43,0.14,28.43,Database 1
30,Pakistan,0.8,18.38,28.73,0.6,0.77,72.7,0.5,90256,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,cooler,30.1,86.2,30.1,86.2,30.2,86.4,30.3,86.6,30.3,86.5,30.3,86.5,99.23,0.5,99.23,Database 1
31,Pakistan,2.1,81.08,35.95,0.68,1.88,66.5,0.12,90257,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,-1.0,no change,29.5,85.1,29.5,85.1,30.0,86.0,30.5,86.8,30.4,86.7,30.4,86.7,22.76,0.12,22.76,Database 1
32,Pakistan,2.21,85.2,30.03,0.7,1.13,50.8,0.94,90258,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,1.0,cooler,32.2,90.0,32.2,90.0,32.0,89.6,31.8,89.3,31.9,89.4,31.9,89.4,185.22,0.94,185.22,Database 1
33,Pakistan,2.01,77.13,31.17,0.6,0.89,53.2,0.2,90259,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,2.0,cooler,31.8,89.2,31.8,89.2,31.9,89.3,31.9,89.4,31.9,89.4,31.9,89.4,39.86,0.2,39.86,Database 1
34,Pakistan,2.27,87.27,31.01,0.62,1.13,58.3,0.53,90260,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,cooler,32.0,89.6,32.0,89.6,32.1,89.7,32.1,89.8,32.1,89.8,32.1,89.8,104.9,0.53,104.9,Database 1
35,Pakistan,2.27,87.26,31.32,0.7,0.89,53.5,0.36,90261,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,32.6,90.7,32.6,90.7,32.3,90.2,32.0,89.6,32.1,89.8,32.1,89.8,70.87,0.36,70.87,Database 1
36,Pakistan,2.21,85.23,31.98,0.62,1.01,53.2,0.0,90262,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.1,88.0,31.1,88.0,31.4,88.5,31.7,89.1,31.7,89.1,31.7,89.1,0.96,0.0,0.96,Database 1
37,Pakistan,1.9,71.93,29.72,0.6,1.01,62.2,0.5,90263,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.0,87.8,31.0,87.8,31.2,88.1,31.4,88.4,31.3,88.3,31.3,88.3,99.23,0.5,99.23,Database 1
38,Pakistan,1.84,68.97,28.19,0.6,1.01,61.4,1.88,90264,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.5,88.7,31.5,88.7,31.4,88.4,31.2,88.2,31.3,88.3,31.3,88.3,369.47,1.88,369.47,Database 1
39,Pakistan,2.02,77.77,29.23,0.6,1.01,62.3,1.02,90265,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,31.7,89.1,31.7,89.1,31.5,88.7,31.3,88.4,31.4,88.5,31.4,88.5,200.81,1.02,200.81,Database 1
40,Pakistan,1.2,35.41,29.43,0.6,0.77,65.7,0.46,90266,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.9,87.6,30.9,87.6,31.0,87.8,31.1,88.0,31.1,88.0,31.1,88.0,91.02,0.46,91.02,Database 1
41,Pakistan,0.95,24.23,28.42,0.6,0.77,64.2,0.83,90267,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.8,87.4,30.8,87.4,30.9,87.7,31.1,87.9,31.0,87.8,31.0,87.8,163.01,0.83,163.01,Database 1
42,Pakistan,0.97,25.04,28.82,0.6,0.77,65.2,0.53,90268,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,30.6,87.1,30.6,87.1,30.7,87.3,30.8,87.5,30.8,87.4,30.8,87.4,104.9,0.53,104.9,Database 1
43,Pakistan,1.65,59.11,32.0,0.62,1.13,69.3,0.14,90269,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,25.0,0.0,no change,29.1,84.4,29.1,84.4,29.6,85.3,30.1,86.1,30.0,86.0,30.0,86.0,28.43,0.14,28.43,Database 1
44,Pakistan,1.48,50.04,32.41,0.6,0.65,75.9,0.07,90270,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,1.0,cooler,31.1,88.0,31.1,88.0,31.3,88.4,31.5,88.7,31.5,88.7,31.5,88.7,14.35,0.07,14.35,Database 1
45,Pakistan,2.25,86.59,33.9,0.6,1.01,73.4,0.12,90271,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,1.0,cooler,31.0,87.8,31.0,87.8,31.2,88.1,31.3,88.4,31.3,88.3,31.3,88.3,24.11,0.12,24.11,Database 1
46,Pakistan,2.06,79.4,30.56,0.6,1.01,73.8,0.74,90272,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,2.0,cooler,31.2,88.2,31.2,88.2,31.4,88.5,31.6,88.8,31.5,88.7,31.5,88.7,145.59,0.74,145.59,Database 1
47,Pakistan,2.5,93.52,37.37,0.6,1.88,70.2,0.16,90273,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,2.0,cooler,31.9,89.4,31.9,89.4,31.9,89.4,31.9,89.4,31.9,89.4,31.9,89.4,31.5,0.16,31.5,Database 1
48,Pakistan,2.57,94.77,34.57,0.6,1.01,70.2,0.05,90274,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,1.0,no change,32.0,89.6,32.0,89.6,31.9,89.4,31.8,89.2,31.8,89.2,31.8,89.2,9.53,0.05,9.53,Database 1
49,Pakistan,2.49,93.31,35.27,0.6,1.13,71.5,0.02,90275,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,2.0,cooler,31.8,89.2,31.8,89.2,31.7,89.1,31.7,89.1,31.7,89.1,31.7,89.1,3.33,0.02,3.33,Database 1
50,Pakistan,2.37,90.26,37.1,0.6,1.88,70.5,0.02,90276,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,2.0,cooler,31.2,88.2,31.2,88.2,31.0,87.9,30.9,87.6,30.9,87.6,30.9,87.6,4.43,0.02,4.43,Database 1
51,Pakistan,2.35,89.72,33.82,0.6,1.01,72.0,0.04,90277,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,1.0,no change,31.2,88.2,31.2,88.2,31.2,88.2,31.2,88.2,31.2,88.2,31.2,88.2,7.87,0.04,7.87,Database 1
52,Pakistan,2.38,90.55,34.0,0.6,1.01,70.3,0.09,90278,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,0.0,no change,31.5,88.7,31.5,88.7,31.5,88.7,31.5,88.7,31.5,88.7,31.5,88.7,17.72,0.09,17.72,Database 1
53,Pakistan,2.46,92.45,34.29,0.6,1.01,68.9,0.14,90279,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,0.0,no change,31.9,89.4,31.9,89.4,31.8,89.3,31.8,89.2,31.8,89.2,31.8,89.2,26.95,0.14,26.95,Database 1
54,Pakistan,2.45,92.41,32.17,0.6,1.01,64.8,0.32,90280,"Nicol, J. F., G. N. Jami, O. Sykes, M. Humpherys, S. Roaf and M. Hancock. (1994) Thermal Comfort in Pakistan. Oxford Brookes University.",Fergus Nicol,1993.0,Summer,BWh,Hot desert,Karachi,Naturally Ventilated,47.0,1.0,cooler,32.1,89.8,32.1,89.8,32.2,90.0,32.3,90.2,32.3,90.1,32.3,90.1,63.96,0.32,63.96,Database 1
