,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Humidity preference,Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Fan,Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
27,Malaysia,0.99,1.1,55.0,,25244,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,25.0,77.0,,,,,,,,,,28.5,83.3,Database 2
28,Malaysia,0.41,,48.0,,25245,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,28.7,83.7,,,,,,,,,,28.5,83.3,Database 2
29,Malaysia,0.59,,48.0,,25246,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,28.7,83.7,,,,,,,,,,28.5,83.3,Database 2
30,Malaysia,0.59,,48.0,,25247,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,28.7,83.7,,,,,,,,,,28.5,83.3,Database 2
31,Malaysia,0.71,1.0,50.0,,25248,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,24.4,75.9,,,,,,,,,,28.5,83.3,Database 2
32,Malaysia,0.62,1.0,50.0,,25249,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,24.4,75.9,,,,,,,,,,28.5,83.3,Database 2
33,Malaysia,0.73,1.0,50.0,,25250,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,24.4,75.9,,,,,,,,,,28.5,83.3,Database 2
34,Malaysia,0.73,1.0,56.0,,25251,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-2.0,,,29.1,84.4,,,,,,,,,,28.5,83.3,Database 2
35,Malaysia,0.88,1.0,56.0,,25252,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,29.1,84.4,,,,,,,,,,28.5,83.3,Database 2
36,Malaysia,0.82,1.0,56.0,,25253,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,-1.0,,,29.1,84.4,,,,,,,,,,28.5,83.3,Database 2
