,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
175,Philippines,-0.9,21.0,22.61,0.4,1.1,47.0,0.15,20897,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,cooler,1.0,more,4.0,24.5,76.1,24.3,75.7,29.77,25.9,78.6,Database 2
176,Philippines,-0.1,5.0,24.7,0.56,1.1,45.9,0.11,20898,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,cooler,1.0,more,5.0,24.7,76.4,24.6,76.3,21.04,25.9,78.6,Database 2
177,Philippines,-2.1,81.0,19.13,0.4,1.1,46.4,0.49,20899,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,cooler,1.0,more,5.0,24.3,75.8,23.7,74.7,96.58,25.9,78.6,Database 2
178,Philippines,-0.4,8.0,23.38,0.41,1.5,43.8,0.17,20900,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,more,5.0,23.6,74.5,23.1,73.6,34.2,25.9,78.6,Database 2
179,Philippines,0.0,5.0,25.19,0.78,1.4,46.2,0.24,20901,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,more,4.0,23.0,73.4,22.7,72.8,47.74,25.9,78.6,Database 2
180,Philippines,0.0,5.0,25.23,0.67,1.3,43.2,0.13,20902,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,5.0,24.1,75.3,23.4,74.1,25.9,25.9,78.6,Database 2
181,Philippines,-1.1,30.0,21.52,0.39,1.1,45.5,0.11,20903,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,warmer,0.0,more,3.0,23.1,73.6,22.9,73.2,20.67,25.9,78.6,Database 2
182,Philippines,-0.7,15.0,22.65,0.5,1.2,41.3,0.3,20904,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,cooler,1.0,more,4.0,23.6,74.5,23.8,74.9,58.38,25.9,78.6,Database 2
183,Philippines,0.2,6.0,25.3,0.45,1.6,48.9,0.23,20905,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,24.4,76.0,24.6,76.3,45.28,25.9,78.6,Database 2
184,Philippines,-1.5,53.0,20.26,0.4,1.1,39.8,0.15,20906,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,6.0,24.9,76.9,22.7,72.9,28.79,25.9,78.6,Database 2
185,Philippines,0.3,7.0,25.86,0.5,1.7,42.8,0.08,20907,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,6.0,23.6,74.4,22.8,73.0,14.83,25.9,78.6,Database 2
186,Philippines,0.1,5.0,25.13,0.5,1.3,43.9,0.08,20908,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,cooler,1.0,no change,4.0,24.5,76.1,24.4,75.9,15.81,25.9,78.6,Database 2
187,Philippines,0.1,5.0,25.07,0.54,1.3,43.9,0.08,20909,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,5.0,24.4,76.0,24.2,75.6,14.83,25.9,78.6,Database 2
