,Country,Clo,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
15,China,0.4,73.3,0.2,15692,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,27.3,81.1,39.37,22.0,72.0,Database 2
16,China,0.4,73.3,0.2,15693,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,27.3,81.1,39.37,22.0,72.0,Database 2
17,China,0.51,73.3,0.2,15694,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,3.0,27.3,81.1,39.37,22.0,72.0,Database 2
18,China,0.47,73.3,0.2,15695,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,3.0,27.3,81.1,39.37,22.0,72.0,Database 2
19,China,0.12,73.3,0.2,15696,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,-1.0,3.0,27.3,81.1,39.37,22.0,72.0,Database 2
20,China,0.4,49.0,0.51,15697,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,3.0,26.9,80.5,99.74,22.0,72.0,Database 2
21,China,0.14,49.0,0.51,15698,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,26.9,80.5,99.74,22.0,72.0,Database 2
22,China,0.31,49.0,0.51,15699,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,26.9,80.5,99.74,22.0,72.0,Database 2
23,China,0.4,49.0,0.51,15700,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,2.0,26.9,80.5,99.74,22.0,72.0,Database 2
24,China,0.4,49.1,0.51,15701,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,2.0,26.9,80.5,99.74,22.0,72.0,Database 2
