,Country,Clo,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
515,China,0.47,58.6,0.29,16192,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,5.0,31.0,87.7,56.43,24.0,75.0,Database 2
516,China,0.39,59.1,0.58,16193,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,31.0,87.7,114.17,24.0,75.0,Database 2
517,China,0.31,59.1,0.58,16194,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,31.0,87.7,114.17,24.0,75.0,Database 2
518,China,0.29,59.1,0.58,16195,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,3.0,31.0,87.7,114.17,24.0,75.0,Database 2
519,China,0.31,59.1,0.58,16196,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,2.0,31.0,87.7,114.17,24.0,75.0,Database 2
520,China,0.4,59.1,0.58,16197,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,3.0,31.0,87.7,114.17,24.0,75.0,Database 2
521,China,0.31,59.1,0.58,16198,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,31.0,87.7,114.17,24.0,75.0,Database 2
522,China,0.33,59.1,0.58,16199,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,5.0,31.0,87.7,114.17,24.0,75.0,Database 2
523,China,0.39,59.1,0.58,16200,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,5.0,31.0,87.7,114.17,24.0,75.0,Database 2
524,China,0.31,59.1,0.58,16201,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-2.0,5.0,31.0,87.7,114.17,24.0,75.0,Database 2
525,China,0.5,64.1,0.37,16202,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,29.4,84.9,73.49,24.0,75.0,Database 2
526,China,0.2,61.8,0.03,16203,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,28.9,84.0,6.56,24.0,75.0,Database 2
527,China,0.32,61.2,0.04,16204,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,28.9,84.0,7.87,24.0,75.0,Database 2
528,China,0.55,62.0,0.31,16205,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,29.2,84.5,60.37,24.0,75.0,Database 2
529,China,0.4,65.1,0.31,16206,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,28.3,82.9,60.37,24.0,75.0,Database 2
530,China,0.49,65.1,0.31,16207,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,3.0,28.3,82.9,60.37,24.0,75.0,Database 2
531,China,0.68,65.1,0.31,16208,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,3.0,28.3,82.9,60.37,24.0,75.0,Database 2
532,China,0.22,67.4,0.42,16209,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,28.0,82.3,82.68,24.0,75.0,Database 2
533,China,0.3,65.5,0.36,16210,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,29.7,85.4,71.52,24.0,75.0,Database 2
534,China,0.4,67.6,0.08,16211,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,27.5,81.6,16.4,24.0,75.0,Database 2
535,China,0.21,63.5,0.33,16212,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,29.8,85.6,65.62,24.0,75.0,Database 2
536,China,0.47,63.5,0.33,16213,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,3.0,29.8,85.6,65.62,24.0,75.0,Database 2
537,China,0.31,63.5,0.33,16214,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,29.8,85.6,65.62,24.0,75.0,Database 2
538,China,0.12,63.5,0.33,16215,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,5.0,29.8,85.6,65.62,24.0,75.0,Database 2
539,China,0.38,59.1,0.97,16216,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,2.0,32.0,89.6,191.6,29.0,84.0,Database 2
540,China,0.33,59.9,0.37,16217,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.1,89.7,72.83,29.0,84.0,Database 2
541,China,0.22,59.9,0.37,16218,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,5.0,32.1,89.7,72.83,29.0,84.0,Database 2
542,China,0.44,66.6,0.39,16219,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.1,89.8,77.43,29.0,84.0,Database 2
543,China,0.4,63.7,1.32,16220,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,31.4,88.5,259.19,29.0,84.0,Database 2
544,China,0.24,63.7,1.32,16221,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,5.0,31.4,88.5,259.19,29.0,84.0,Database 2
545,China,0.49,63.0,0.37,16222,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,3.0,31.8,89.2,72.18,29.0,84.0,Database 2
546,China,0.31,63.7,1.32,16223,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,2.0,31.4,88.5,259.19,29.0,84.0,Database 2
547,China,0.33,63.7,1.32,16224,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,3.0,31.4,88.5,259.19,29.0,84.0,Database 2
548,China,0.33,59.1,0.96,16225,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,-1.0,5.0,32.0,89.6,188.32,29.0,84.0,Database 2
549,China,0.27,59.1,0.97,16226,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,3.0,32.0,89.6,191.6,29.0,84.0,Database 2
550,China,0.31,63.7,1.32,16227,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,2.0,31.4,88.5,259.19,29.0,84.0,Database 2
551,China,0.31,63.7,1.32,16228,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,1.0,31.4,88.5,259.19,29.0,84.0,Database 2
552,China,0.29,64.5,0.17,16229,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,2.0,32.0,89.7,34.12,29.0,84.0,Database 2
553,China,0.29,63.7,1.32,16230,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,31.4,88.5,259.19,29.0,84.0,Database 2
554,China,0.42,63.7,1.32,16231,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,5.0,31.4,88.5,259.19,29.0,84.0,Database 2
555,China,0.29,63.0,0.37,16232,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,2.0,31.8,89.2,72.18,29.0,84.0,Database 2
556,China,0.21,61.0,0.39,16233,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,32.0,89.5,76.12,29.0,84.0,Database 2
557,China,0.29,59.9,0.37,16234,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,32.1,89.7,72.83,29.0,84.0,Database 2
558,China,0.29,59.9,0.37,16235,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.1,89.7,72.83,29.0,84.0,Database 2
559,China,0.32,58.9,0.65,16236,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.0,89.7,128.61,29.0,84.0,Database 2
560,China,0.33,59.9,0.37,16237,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,2.0,32.1,89.7,72.83,29.0,84.0,Database 2
561,China,0.29,67.1,0.62,16238,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,31.7,89.1,122.05,24.0,75.0,Database 2
562,China,0.12,67.3,0.44,16239,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,3.0,32.4,90.3,86.61,24.0,75.0,Database 2
563,China,0.1,67.3,1.25,16240,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.4,90.3,246.72,24.0,75.0,Database 2
564,China,0.22,67.1,0.68,16241,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,31.7,89.1,134.51,24.0,75.0,Database 2
565,China,0.1,67.0,0.77,16242,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,5.0,32.1,89.8,150.92,24.0,75.0,Database 2
566,China,0.1,66.9,0.3,16243,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,3.0,31.8,89.3,59.71,24.0,75.0,Database 2
567,China,0.29,68.0,0.34,16244,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,33.0,91.4,67.59,24.0,75.0,Database 2
568,China,0.19,67.1,0.5,16245,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,31.7,89.1,99.08,24.0,75.0,Database 2
569,China,0.1,66.0,0.66,16246,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,1.0,31.9,89.4,129.26,24.0,75.0,Database 2
570,China,0.46,66.2,0.1,16247,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Autumn,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.2,89.9,19.69,24.0,75.0,Database 2
571,China,0.33,61.9,0.18,16248,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,1.0,32.0,89.7,34.78,29.0,84.0,Database 2
572,China,0.4,64.5,0.17,16249,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,3.0,32.0,89.7,34.12,29.0,84.0,Database 2
573,China,0.29,61.9,0.18,16250,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,32.0,89.7,34.78,29.0,84.0,Database 2
574,China,0.38,61.9,0.18,16251,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,32.0,89.7,34.78,29.0,84.0,Database 2
575,China,0.31,61.9,0.18,16252,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,1.0,32.0,89.7,34.78,29.0,84.0,Database 2
576,China,0.31,63.7,1.32,16253,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,31.4,88.5,259.19,29.0,84.0,Database 2
577,China,0.31,63.0,0.37,16254,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,2.0,31.8,89.2,72.18,29.0,84.0,Database 2
578,China,0.4,63.7,1.32,16255,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,2.0,31.4,88.5,259.19,29.0,84.0,Database 2
579,China,0.42,61.9,0.18,16256,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,1.0,32.0,89.7,34.78,29.0,84.0,Database 2
580,China,0.15,64.5,0.17,16257,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,2.0,32.0,89.7,34.12,29.0,84.0,Database 2
581,China,0.38,64.5,0.17,16258,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,2.0,32.0,89.7,34.12,29.0,84.0,Database 2
582,China,0.33,64.5,0.17,16259,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,2.0,32.0,89.7,34.12,29.0,84.0,Database 2
583,China,0.33,64.5,0.17,16260,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,2.0,32.0,89.7,34.12,29.0,84.0,Database 2
584,China,0.24,61.9,0.18,16261,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,3.0,32.0,89.7,34.78,29.0,84.0,Database 2
585,China,0.42,61.9,0.18,16262,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Summer,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,1.0,32.0,89.7,34.78,29.0,84.0,Database 2
