,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
26,Iran,1.75,1.6,68.6,0.02,8307,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,38.0,1.0,no change,22.5,72.6,3.94,5.0,41.0,Database 2
27,Iran,1.78,1.2,68.6,0.02,8308,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,17.0,1.0,no change,22.5,72.6,3.94,5.0,41.0,Database 2
28,Iran,1.15,1.2,68.6,0.01,8309,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,14.0,1.0,no change,22.5,72.6,1.97,5.0,41.0,Database 2
29,Iran,1.67,2.0,59.1,0.01,8310,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,49.0,0.0,warmer,18.9,66.1,1.97,5.0,41.0,Database 2
30,Iran,1.7,1.9,59.1,0.01,8311,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,19.0,0.0,no change,18.9,66.1,1.97,5.0,41.0,Database 2
31,Iran,1.75,0.8,59.1,0.02,8312,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,15.0,0.0,no change,18.9,66.1,3.94,5.0,41.0,Database 2
32,Iran,1.67,1.0,68.9,0.02,8313,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,55.0,0.0,warmer,20.6,69.1,3.94,5.0,41.0,Database 2
33,Iran,1.08,2.0,68.9,0.04,8314,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,48.0,0.0,warmer,20.6,69.1,7.87,5.0,41.0,Database 2
34,Iran,1.18,0.8,68.9,0.05,8315,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,18.0,0.0,warmer,20.6,69.1,9.84,5.0,41.0,Database 2
35,Iran,0.9,1.6,68.9,0.05,8316,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,17.0,0.0,warmer,20.6,69.1,9.84,5.0,41.0,Database 2
36,Iran,1.18,1.2,71.0,0.02,8317,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,45.0,0.0,warmer,20.4,68.7,3.94,5.0,41.0,Database 2
37,Iran,1.08,2.0,71.0,0.02,8318,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,40.0,0.0,warmer,20.4,68.7,3.94,5.0,41.0,Database 2
38,Iran,1.15,2.8,71.0,0.03,8319,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,20.0,0.0,warmer,20.4,68.7,5.91,5.0,41.0,Database 2
39,Iran,1.48,1.2,71.0,0.02,8320,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,17.0,0.0,warmer,20.4,68.7,3.94,5.0,41.0,Database 2
40,Iran,1.67,1.2,71.0,0.01,8321,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,18.0,0.0,warmer,20.4,68.7,1.97,5.0,41.0,Database 2
41,Iran,1.7,2.4,63.8,0.01,8322,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,52.0,0.0,warmer,19.5,67.2,1.97,5.0,41.0,Database 2
42,Iran,1.51,1.9,63.8,0.01,8323,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,47.0,0.0,no change,19.5,67.2,1.97,5.0,41.0,Database 2
43,Iran,1.44,1.0,63.8,0.02,8324,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,23.0,0.0,warmer,19.5,67.2,3.94,5.0,41.0,Database 2
44,Iran,1.67,1.6,63.8,0.03,8325,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,17.0,0.0,warmer,19.5,67.2,5.91,5.0,41.0,Database 2
45,Iran,1.11,2.4,63.8,0.01,8326,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,14.0,0.0,warmer,19.5,67.2,1.97,5.0,41.0,Database 2
46,Iran,1.18,2.0,62.1,0.02,8327,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,43.0,0.0,warmer,19.7,67.5,3.94,5.0,41.0,Database 2
47,Iran,1.15,1.2,62.1,0.02,8328,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,67.0,0.0,warmer,19.7,67.5,3.94,5.0,41.0,Database 2
48,Iran,1.51,0.8,62.1,0.04,8329,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,39.0,0.0,warmer,19.7,67.5,7.87,5.0,41.0,Database 2
49,Iran,1.73,2.4,62.1,0.02,8330,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,18.0,0.0,warmer,19.7,67.5,3.94,5.0,41.0,Database 2
50,Iran,1.67,1.0,62.1,0.02,8331,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,16.0,0.0,warmer,19.7,67.5,3.94,5.0,41.0,Database 2
51,Iran,1.15,1.2,62.1,0.05,8332,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,14.0,0.0,warmer,19.7,67.5,9.84,5.0,41.0,Database 2
52,Iran,1.18,2.0,69.3,0.01,8333,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,60.0,0.0,warmer,20.5,68.8,1.97,5.0,41.0,Database 2
53,Iran,1.08,0.8,69.3,0.01,8334,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,53.0,0.0,warmer,20.5,68.8,1.97,5.0,41.0,Database 2
54,Iran,1.11,0.8,68.8,0.02,8335,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,48.0,-1.0,warmer,18.8,65.9,3.94,5.0,41.0,Database 2
55,Iran,1.08,2.0,68.8,0.02,8336,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,42.0,-1.0,warmer,18.8,65.9,3.94,5.0,41.0,Database 2
56,Iran,1.73,1.6,68.8,0.03,8337,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,29.0,0.0,warmer,18.8,65.9,5.91,5.0,41.0,Database 2
57,Iran,1.18,1.0,68.8,0.02,8338,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,21.0,0.0,warmer,18.8,65.9,3.94,5.0,41.0,Database 2
58,Iran,1.18,1.0,59.9,0.01,8339,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,42.0,0.0,warmer,19.6,67.3,1.97,5.0,41.0,Database 2
59,Iran,0.95,1.6,59.9,0.0,8340,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,35.0,0.0,warmer,19.6,67.3,0.0,5.0,41.0,Database 2
60,Iran,1.15,0.8,59.9,0.01,8341,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,20.0,0.0,warmer,19.6,67.3,1.97,5.0,41.0,Database 2
61,Iran,1.41,1.2,57.7,0.0,8342,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,25.0,0.0,no change,20.7,69.3,0.0,5.0,41.0,Database 2
62,Iran,1.73,1.0,57.7,0.03,8343,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,35.0,0.0,no change,20.7,69.3,5.91,5.0,41.0,Database 2
63,Iran,1.75,1.2,57.7,0.03,8344,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,24.0,0.0,no change,20.7,69.3,5.91,5.0,41.0,Database 2
64,Iran,1.76,1.9,57.7,0.05,8345,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,21.0,0.0,no change,20.7,69.3,9.84,5.0,41.0,Database 2
65,Iran,1.11,2.0,57.7,0.0,8346,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,10.0,0.0,no change,20.7,69.3,0.0,5.0,41.0,Database 2
66,Iran,0.9,1.6,51.0,0.01,8347,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,81.0,0.0,no change,21.8,71.2,1.97,5.0,41.0,Database 2
67,Iran,1.15,1.6,51.0,0.03,8348,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,75.0,0.0,no change,21.8,71.2,5.91,5.0,41.0,Database 2
68,Iran,1.11,0.8,51.0,0.03,8349,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,62.0,0.0,no change,21.8,71.2,5.91,5.0,41.0,Database 2
69,Iran,1.08,1.0,51.0,0.01,8350,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,60.0,0.0,no change,21.8,71.2,1.97,5.0,41.0,Database 2
70,Iran,1.41,1.6,51.0,0.02,8351,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,51.0,0.0,no change,21.8,71.2,3.94,5.0,41.0,Database 2
71,Iran,1.18,1.2,51.0,0.01,8352,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,42.0,0.0,no change,21.8,71.2,1.97,5.0,41.0,Database 2
72,Iran,1.7,1.2,51.0,0.03,8353,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,37.0,0.0,no change,21.8,71.2,5.91,5.0,41.0,Database 2
73,Iran,1.67,1.0,51.0,0.04,8354,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,14.0,0.0,no change,21.8,71.2,7.87,5.0,41.0,Database 2
74,Iran,1.11,2.0,51.0,0.01,8355,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,16.0,0.0,no change,21.8,71.2,1.97,5.0,41.0,Database 2
75,Iran,1.08,1.2,51.0,0.05,8356,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,25.0,0.0,no change,21.8,71.2,9.84,5.0,41.0,Database 2
76,Iran,1.18,1.6,42.5,0.02,8357,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,65.0,0.0,warmer,20.9,69.6,3.94,5.0,41.0,Database 2
77,Iran,1.15,1.2,42.5,0.02,8358,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,54.0,0.0,warmer,20.9,69.6,3.94,5.0,41.0,Database 2
78,Iran,1.11,2.0,42.5,0.02,8359,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,38.0,0.0,warmer,20.9,69.6,3.94,5.0,41.0,Database 2
79,Iran,1.08,1.6,42.5,0.02,8360,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,32.0,0.0,warmer,20.9,69.6,3.94,5.0,41.0,Database 2
80,Iran,1.67,1.6,44.4,0.06,8361,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,55.0,0.0,no change,21.9,71.3,11.81,5.0,41.0,Database 2
81,Iran,1.15,0.8,44.4,0.08,8362,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,23.0,0.0,warmer,21.9,71.3,15.75,5.0,41.0,Database 2
82,Iran,0.9,1.0,44.4,0.09,8363,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,21.0,0.0,no change,21.9,71.3,17.72,5.0,41.0,Database 2
83,Iran,1.11,1.6,44.4,0.1,8364,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,17.0,0.0,no change,21.9,71.3,19.69,5.0,41.0,Database 2
84,Iran,1.67,1.2,62.1,0.02,8365,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,58.0,0.0,warmer,20.0,67.9,3.94,5.0,41.0,Database 2
85,Iran,1.48,1.2,62.1,0.02,8366,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,50.0,0.0,warmer,20.0,67.9,3.94,5.0,41.0,Database 2
86,Iran,1.44,1.0,62.1,0.03,8367,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,28.0,0.0,no change,20.0,67.9,5.91,5.0,41.0,Database 2
87,Iran,1.75,2.0,62.1,0.02,8368,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,24.0,0.0,no change,20.0,67.9,3.94,5.0,41.0,Database 2
88,Iran,1.48,1.2,62.1,0.02,8369,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,20.0,0.0,warmer,20.0,67.9,3.94,5.0,41.0,Database 2
89,Iran,1.15,1.6,60.7,0.01,8370,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,48.0,0.0,no change,20.0,68.1,1.97,5.0,41.0,Database 2
90,Iran,0.9,1.2,60.7,0.01,8371,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,38.0,0.0,no change,20.0,68.1,1.97,5.0,41.0,Database 2
