,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Database
18,Indonesia,0.53,1.0,60.0,83382,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,31.0,-1.0,26.0,78.8,26.0,78.8,26.3,79.3,Database 1
19,Indonesia,0.53,1.0,64.0,83383,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,22.0,-1.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
20,Indonesia,0.63,1.0,64.0,83384,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,22.0,1.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
21,Indonesia,0.63,1.0,64.0,83385,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,22.0,0.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
22,Indonesia,0.53,1.0,64.0,83386,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,0.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
23,Indonesia,0.63,1.0,64.0,83387,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
24,Indonesia,0.63,1.0,64.0,83388,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,20.0,-2.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
25,Indonesia,0.53,1.0,64.0,83389,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-1.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
26,Indonesia,0.53,1.0,64.0,83390,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,28.0,-1.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
27,Indonesia,0.53,1.0,64.0,83391,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,27.0,-1.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
28,Indonesia,0.53,1.0,64.0,83392,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,25.0,0.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
29,Indonesia,0.53,1.0,64.0,83393,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,20.0,-2.0,24.0,75.2,24.0,75.2,24.7,76.5,Database 1
