,Country,Clo,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Database
39,Canada,0.7,46.4,83999,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,37.0,-1.0,no change,23.4,74.1,23.8,74.8,Database 1
40,Canada,1.1,45.3,84000,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,40.0,-1.0,no change,24.5,76.1,24.4,75.9,Database 1
41,Canada,0.4,47.3,84001,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,45.0,-1.0,no change,23.3,73.9,23.4,74.1,Database 1
42,Canada,0.5,44.3,84002,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,36.0,1.0,cooler,25.3,77.5,25.2,77.4,Database 1
43,Canada,0.6,46.9,84003,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,39.0,,cooler,23.6,74.5,23.4,74.1,Database 1
44,Canada,0.7,47.2,84004,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,44.0,-1.0,warmer,23.0,73.4,23.3,73.9,Database 1
45,Canada,0.4,46.8,84005,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,37.0,-2.0,no change,23.7,74.7,23.8,74.8,Database 1
46,Canada,0.4,47.7,84006,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,25.0,-1.0,no change,23.5,74.3,23.4,74.1,Database 1
47,Canada,0.4,47.2,84007,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,40.0,0.0,no change,23.6,74.5,23.6,74.5,Database 1
48,Canada,1.4,41.1,84008,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,59.0,0.0,no change,24.0,75.2,24.3,75.7,Database 1
49,Canada,0.4,42.9,84009,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,37.0,-2.0,no change,22.7,72.9,22.7,72.9,Database 1
50,Canada,0.6,36.0,84010,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,46.0,0.0,no change,21.9,71.4,22.2,72.0,Database 1
51,Canada,0.5,36.7,84011,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,27.0,-2.0,no change,21.2,70.2,21.1,70.0,Database 1
52,Canada,0.7,34.0,84012,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,42.0,-1.0,no change,21.8,71.2,21.7,71.1,Database 1
53,Canada,0.4,30.8,84013,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,47.0,0.0,no change,23.5,74.3,23.3,73.9,Database 1
54,Canada,0.8,36.8,84014,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,36.0,-2.0,no change,23.2,73.8,23.4,74.1,Database 1
55,Canada,0.5,35.1,84015,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,24.0,-1.0,no change,22.5,72.5,22.5,72.5,Database 1
56,Canada,0.5,36.3,84016,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,41.0,0.0,no change,23.5,74.3,23.5,74.3,Database 1
57,Canada,0.7,36.0,84017,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,55.0,2.0,cooler,23.9,75.0,23.8,74.8,Database 1
58,Canada,0.4,36.1,84018,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,38.0,1.0,cooler,24.0,75.2,24.2,75.6,Database 1
59,Canada,0.4,35.3,84019,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,46.0,-1.0,no change,24.4,75.9,24.5,76.1,Database 1
60,Canada,0.4,36.3,84020,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,38.0,-2.0,warmer,23.9,75.0,23.7,74.7,Database 1
61,Canada,0.6,36.8,84021,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,43.0,-2.0,warmer,24.0,75.2,24.0,75.2,Database 1
62,Canada,0.5,41.8,84022,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,47.0,-2.0,no change,21.6,70.9,21.3,70.3,Database 1
63,Canada,0.8,47.8,84023,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,44.0,-1.0,no change,22.6,72.7,22.6,72.7,Database 1
64,Canada,0.4,43.1,84024,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,37.0,-2.0,no change,24.0,75.2,24.2,75.6,Database 1
65,Canada,1.0,44.2,84025,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,58.0,0.0,no change,22.9,73.2,23.2,73.8,Database 1
66,Canada,0.4,39.2,84026,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,34.0,0.0,no change,23.4,74.1,23.6,74.5,Database 1
67,Canada,0.6,39.9,84027,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,34.0,-1.0,no change,23.1,73.6,23.0,73.4,Database 1
68,Canada,0.5,38.2,84028,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,36.0,-2.0,warmer,23.7,74.7,23.8,74.8,Database 1
69,Canada,0.5,42.9,84029,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,40.0,-1.0,no change,22.9,73.2,23.0,73.4,Database 1
70,Canada,0.4,39.9,84030,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,38.0,-1.0,no change,23.4,74.1,23.0,73.4,Database 1
71,Canada,1.3,40.3,84031,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,44.0,-2.0,warmer,22.6,72.7,23.0,73.4,Database 1
72,Canada,0.8,37.2,84032,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,51.0,-1.0,no change,22.9,73.2,22.6,72.7,Database 1
73,Canada,0.5,29.5,84033,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,49.0,0.0,no change,24.2,75.6,23.7,74.7,Database 1
74,Canada,0.7,37.1,84034,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,40.0,0.0,no change,22.6,72.7,21.8,71.2,Database 1
75,Canada,0.5,35.3,84035,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,33.0,-1.0,no change,23.1,73.6,22.5,72.5,Database 1
76,Canada,0.4,30.8,84036,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,32.0,-1.0,cooler,23.4,74.1,23.0,73.4,Database 1
77,Canada,0.8,31.5,84037,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Others,Air Conditioned,22.0,-1.0,no change,23.5,74.3,23.0,73.4,Database 1
