,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
18,Japan,0.25,,50.2,18,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,no change,3.0,24.2,75.6,25.0,77.0,Database 2
19,Japan,0.43,,51.5,19,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,cooler,3.0,23.6,74.4,25.0,77.0,Database 2
20,Japan,0.3,,51.5,20,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,warmer,5.0,23.6,74.4,25.0,77.0,Database 2
21,Japan,0.41,,51.5,21,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,no change,4.0,23.6,74.4,25.0,77.0,Database 2
22,Japan,0.25,,51.5,22,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-1.0,no change,5.0,23.6,74.4,25.0,77.0,Database 2
23,Japan,0.64,,51.5,23,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,no change,4.0,23.6,74.4,25.0,77.0,Database 2
24,Japan,0.66,,51.5,24,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,no change,5.0,23.6,74.4,25.0,77.0,Database 2
25,Japan,0.25,,51.5,25,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-1.0,no change,5.0,23.6,74.4,25.0,77.0,Database 2
26,Japan,0.27,,51.5,26,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-2.0,cooler,2.0,23.6,74.4,25.0,77.0,Database 2
27,Japan,0.25,,51.5,27,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-0.0,no change,4.0,23.6,74.4,25.0,77.0,Database 2
28,Japan,0.34,,51.5,28,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,0.0,no change,5.0,23.6,74.4,25.0,77.0,Database 2
29,Japan,0.41,,51.5,29,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Summer,Cfa,Humid subtropical,Tokyo,Classroom,Air Conditioned,-0.0,no change,5.0,23.6,74.4,25.0,77.0,Database 2
