,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,activity_10,activity_30,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Blind (curtain),Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
1038,Tunisia,-1.3,40.0,18.89,0.67,1.6,72.0,0.51,28063,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.6,1.6,17.4,63.3,17.4,63.3,17.3,63.2,17.2,63.0,101.37,0.51,101.44,0.0,1.0,13.0,55.4,Database 2
1039,Tunisia,-0.9,22.0,20.48,0.81,1.6,72.0,0.51,28064,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.6,1.6,17.4,63.3,17.4,63.3,17.3,63.2,17.2,63.0,101.27,0.51,101.35,0.0,1.0,13.0,55.4,Database 2
1040,Tunisia,-1.9,73.0,18.92,0.84,1.1,73.0,0.16,28065,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.0,1.2,16.9,62.4,16.9,62.4,17.0,62.6,17.1,62.8,32.14,0.16,32.17,0.0,1.0,13.0,55.4,Database 2
1041,Tunisia,-0.7,15.0,21.89,0.75,1.6,60.0,0.32,28066,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.6,1.6,17.7,63.9,17.7,63.9,17.9,64.2,18.1,64.6,62.8,0.32,62.85,1.0,1.0,13.0,55.4,Database 2
1042,Tunisia,-1.5,50.0,20.0,0.76,1.2,61.0,0.24,28067,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,-1.0,5.0,1.0,1.6,18.4,65.1,18.4,65.1,18.5,65.3,18.6,65.5,46.39,0.24,46.42,0.0,1.0,13.0,55.4,Database 2
1043,Tunisia,-1.5,52.0,19.92,0.75,1.2,61.0,0.24,28068,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,,1.0,1.6,18.4,65.1,18.4,65.1,18.5,65.3,18.6,65.5,46.39,0.24,46.42,0.0,1.0,13.0,55.4,Database 2
1044,Tunisia,-0.5,10.0,23.03,0.93,1.4,69.0,0.45,28069,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.2,2.0,18.9,66.0,18.9,66.0,19.0,66.2,19.2,66.6,88.95,0.45,89.01,0.0,0.0,13.0,55.4,Database 2
1045,Tunisia,-0.4,9.0,23.64,0.73,1.7,71.0,0.16,28070,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Multifamily housing,Naturally Ventilated,0.0,5.0,1.6,2.0,17.1,62.8,17.1,62.8,17.2,63.0,17.3,63.1,32.34,0.16,32.36,0.0,0.0,13.0,55.4,Database 2
1046,Tunisia,-0.9,23.0,22.12,1.08,1.1,63.0,0.22,28071,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,-1.0,2.0,1.2,1.0,17.9,64.2,17.9,64.2,18.1,64.6,18.3,64.9,44.04,0.22,44.07,0.0,0.0,13.0,55.4,Database 2
1047,Tunisia,-0.7,16.0,23.17,1.05,1.1,63.0,0.17,28072,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,-2.0,2.0,1.0,1.2,19.3,66.7,19.3,66.7,19.6,67.3,19.9,67.8,32.59,0.17,32.62,0.0,1.0,13.0,55.4,Database 2
1048,Tunisia,-0.9,23.0,21.5,0.78,1.3,70.0,0.25,28073,"Bouden, C., and N. Ghrab. ""An adaptive thermal comfort model for the Tunisian context: a field study results.""ÊEnergy and Buildings 37.9 (2005): 952-963.",Bouden,1997.0,Winter,BSh,Hot semi-arid,Sfax,Office,Naturally Ventilated,0.0,5.0,1.2,1.6,18.7,65.7,18.7,65.7,18.8,65.8,18.9,66.0,49.48,0.25,49.52,0.0,0.0,13.0,55.4,Database 2
