,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Blind (curtain),Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
12,Germany,0.64,1.3,33.5,0.15,74257,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,23.6,74.5,29.52,0.0,0.0,0.0,22.5,72.5,Database 2
13,Germany,0.61,1.2,47.8,2.12,74258,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,21.0,69.8,417.28,0.0,0.0,0.0,22.5,72.5,Database 2
14,Germany,0.61,2.3,38.7,0.06,74259,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.8,76.6,11.81,0.0,1.0,0.0,22.5,72.5,Database 2
15,Germany,0.61,1.2,44.8,3.27,74260,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,23.6,74.5,643.63,0.0,1.0,0.0,22.5,72.5,Database 2
16,Germany,0.62,1.6,38.5,0.06,74261,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,23.6,74.5,11.81,0.0,0.0,1.0,22.5,72.5,Database 2
17,Germany,0.54,1.2,45.7,2.99,74262,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,22.1,71.8,588.52,0.0,0.0,1.0,22.5,72.5,Database 2
18,Germany,0.62,1.6,45.7,2.99,74263,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,22.1,71.8,588.52,0.0,0.0,1.0,22.5,72.5,Database 2
19,Germany,0.71,1.2,47.7,0.04,74264,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,-1.0,warmer,22.9,73.2,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
20,Germany,0.61,1.2,47.7,0.04,74265,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,22.9,73.2,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
21,Germany,0.63,1.2,47.7,0.04,74266,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,22.9,73.2,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
