,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
13,Sweden,1.0,28.0,28.79,0.35,2.0,43.4,0.0,49989,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,no change,25.4,77.7,26.1,79.0,26.0,78.8,no change,1.0,0.0,,,Database 2
14,Sweden,0.4,9.0,26.55,0.59,1.2,41.7,0.0,49990,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,less,25.4,77.7,26.5,79.7,26.2,79.2,drier,-2.0,0.0,,,Database 2
15,Sweden,0.9,20.0,28.47,0.56,1.6,41.5,0.0,49991,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,no change,25.4,77.7,26.0,78.8,25.9,78.6,no change,0.0,0.0,,,Database 2
16,Sweden,0.5,10.0,26.51,0.57,1.2,38.9,0.0,49992,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2.0,cooler,less,26.0,78.8,26.2,79.2,26.1,79.0,more humid,1.0,0.0,,,Database 2
17,Sweden,0.4,8.0,26.18,0.55,1.2,38.3,0.0,49993,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2.0,cooler,no change,25.5,77.9,26.5,79.7,26.2,79.2,drier,-2.0,0.0,,,Database 2
18,Sweden,0.6,12.0,27.66,0.43,1.9,56.5,0.0,49994,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,no change,22.8,73.0,24.3,75.7,24.0,75.2,more humid,0.0,0.0,,,Database 2
19,Sweden,0.6,14.0,28.1,0.48,1.9,56.0,0.0,49995,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,less,22.7,72.9,24.2,75.6,24.0,75.2,more humid,-2.0,0.0,,,Database 2
20,Sweden,0.5,10.0,27.22,0.77,1.2,54.0,0.0,49996,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,less,24.3,75.7,25.1,77.2,25.0,77.0,no change,0.0,0.0,,,Database 2
21,Sweden,0.8,20.0,28.22,0.35,1.9,53.2,0.0,49997,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1.0,cooler,less,24.7,76.5,25.4,77.7,25.3,77.5,no change,0.0,0.0,,,Database 2
22,Sweden,0.2,6.0,25.84,0.63,1.2,52.5,0.0,49998,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0.0,no change,less,24.1,75.4,24.9,76.8,24.7,76.5,more humid,1.0,0.0,,,Database 2
