,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Database
13,France,0.8,19.0,29.32,0.88,1.3,57.2,0.1,50179,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,24.5,76.1,25.6,78.1,25.2,77.4,no change,1.0,19.69,Database 2
14,France,0.9,22.0,28.85,0.9,1.1,52.4,0.1,50180,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,no change,less,26.3,79.3,26.6,79.9,26.5,79.7,more humid,1.0,19.69,Database 2
15,France,0.6,13.0,27.31,0.64,1.1,53.8,0.0,50181,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,25.9,78.6,26.9,80.4,26.6,79.9,no change,-1.0,0.0,Database 2
16,France,0.9,22.0,28.68,0.59,1.3,51.4,0.1,50182,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,26.4,79.5,27.1,80.8,26.8,80.2,no change,2.0,19.69,Database 2
17,France,1.0,26.0,29.44,0.57,1.5,53.8,0.1,50183,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,more,25.7,78.3,27.3,81.1,26.7,80.1,no change,0.0,19.69,Database 2
18,France,0.6,13.0,27.42,0.57,1.2,52.0,0.1,50184,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,no change,26.1,79.0,26.6,79.9,26.4,79.5,more humid,2.0,19.69,Database 2
19,France,0.3,6.0,26.27,0.58,1.2,55.2,0.1,50185,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,warmer,no change,24.1,75.4,26.5,79.7,25.4,77.7,no change,0.0,19.69,Database 2
20,France,0.4,9.0,26.71,0.65,1.0,47.3,0.1,50186,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,cooler,no change,26.3,79.3,26.8,80.2,26.6,79.9,drier,-1.0,19.69,Database 2
21,France,0.9,20.0,28.63,0.72,1.2,48.3,0.1,50187,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,no change,less,25.9,78.6,27.2,81.0,26.7,80.1,no change,0.0,19.69,Database 2
22,France,0.9,20.0,28.35,0.56,1.3,48.6,0.1,50188,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,no change,26.2,79.2,27.6,81.7,27.0,80.6,no change,1.0,19.69,Database 2
