,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
12,Portugal,0.9,21.0,29.01,0.64,1.4,59.5,0.0,50208,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.3,77.5,27.0,80.6,26.4,79.5,more humid,1.0,0.0,18.3,64.9,Database 2
13,Portugal,0.9,21.0,29.19,0.66,1.3,61.5,0.1,50209,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.5,77.9,26.7,80.1,26.2,79.2,drier,-1.0,19.69,18.3,64.9,Database 2
14,Portugal,0.8,18.0,28.47,0.68,1.3,59.4,0.0,50210,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.4,77.7,26.8,80.2,26.4,79.5,drier,-1.0,0.0,18.3,64.9,Database 2
15,Portugal,0.7,14.0,27.88,0.63,1.2,56.1,0.1,50239,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,25.3,77.5,26.8,80.2,26.2,79.2,no change,0.0,19.69,18.9,66.0,Database 2
16,Portugal,0.7,15.0,27.67,0.56,1.2,54.1,0.1,50240,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,cooler,less,26.0,78.8,27.0,80.6,26.6,79.9,no change,0.0,19.69,18.9,66.0,Database 2
17,Portugal,0.8,18.0,28.43,0.73,1.2,50.8,0.1,50241,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2.0,cooler,less,25.8,78.4,26.6,79.9,26.3,79.3,more humid,2.0,19.69,18.9,66.0,Database 2
18,Portugal,0.7,16.0,27.88,0.56,1.2,53.4,0.1,50242,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,less,24.8,76.6,28.2,82.8,26.8,80.2,no change,0.0,19.69,18.9,66.0,Database 2
19,Portugal,0.7,14.0,27.34,0.55,1.2,52.2,0.0,50243,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,less,26.1,79.0,26.9,80.4,26.8,80.2,more humid,2.0,0.0,18.9,66.0,Database 2
20,Portugal,0.8,18.0,27.53,0.51,1.2,48.6,0.0,50244,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,26.8,80.2,27.5,81.5,27.4,81.3,no change,0.0,0.0,18.9,66.0,Database 2
21,Portugal,1.5,50.0,32.4,0.66,1.7,55.0,0.0,50245,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,more,27.2,81.0,27.5,81.5,27.5,81.5,more humid,2.0,0.0,18.9,66.0,Database 2
22,Portugal,1.3,41.0,29.99,0.65,1.2,52.5,0.0,50246,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,no change,28.1,82.6,28.5,83.3,28.5,83.3,no change,0.0,0.0,18.9,66.0,Database 2
23,Portugal,1.4,46.0,30.38,0.72,1.2,48.7,0.0,50247,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2.0,cooler,less,28.3,82.9,28.7,83.7,28.7,83.7,no change,0.0,0.0,18.9,66.0,Database 2
24,Portugal,1.0,28.0,29.05,0.56,1.3,52.9,0.0,50248,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2.0,cooler,no change,26.9,80.4,27.8,82.0,27.7,81.9,drier,-2.0,0.0,18.9,66.0,Database 2
25,Portugal,1.1,32.0,29.58,0.72,1.2,53.8,0.0,50249,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,less,27.0,80.6,27.7,81.9,27.7,81.9,no change,0.0,0.0,18.9,66.0,Database 2
26,Portugal,1.5,49.0,32.28,0.54,2.0,57.4,0.0,50250,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,less,26.1,79.0,27.0,80.6,27.0,80.6,no change,0.0,0.0,18.9,66.0,Database 2
27,Portugal,1.7,63.0,33.84,0.66,2.0,52.6,0.0,50251,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2.0,cooler,less,27.6,81.7,27.8,82.0,27.8,82.0,no change,0.0,0.0,18.9,66.0,Database 2
28,Portugal,1.5,52.0,32.51,0.6,1.8,55.9,0.0,50252,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,less,27.0,80.6,28.2,82.8,28.1,82.6,drier,-2.0,0.0,18.9,66.0,Database 2
29,Portugal,0.3,7.0,26.57,0.73,1.2,66.2,0.0,50273,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,23.4,74.1,24.4,75.9,24.3,75.7,no change,0.0,0.0,18.7,65.6,Database 2
30,Portugal,0.5,11.0,27.15,0.65,1.2,55.5,0.0,50275,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,cooler,less,25.1,77.2,25.7,78.3,25.7,78.3,no change,0.0,0.0,18.7,65.6,Database 2
31,Portugal,0.2,6.0,25.88,0.59,1.2,59.1,0.0,50278,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,-1.0,warmer,no change,23.8,74.8,25.2,77.4,25.2,77.4,no change,0.0,0.0,18.7,65.6,Database 2
32,Portugal,1.1,28.0,29.62,0.41,1.9,57.0,0.0,50280,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,less,25.1,77.2,26.2,79.2,26.2,79.2,no change,0.0,0.0,18.7,65.6,Database 2
33,Portugal,0.2,6.0,24.38,0.61,1.6,58.8,1.4,50311,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,23.9,75.0,28.4,83.1,25.1,77.2,drier,-1.0,275.59,17.9,64.3,Database 2
34,Portugal,-0.1,5.0,24.19,0.68,1.2,57.7,0.7,50312,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,cooler,no change,24.8,76.6,26.1,79.0,25.2,77.4,no change,0.0,137.8,17.9,64.3,Database 2
35,Portugal,0.3,6.0,24.92,0.58,1.4,57.5,0.7,50313,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,-1.0,no change,no change,24.9,76.8,27.4,81.3,25.6,78.1,no change,0.0,137.8,17.9,64.3,Database 2
36,Portugal,-0.3,6.0,23.48,0.59,1.2,57.0,1.5,50314,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,25.1,77.2,28.7,83.7,26.0,78.8,no change,0.0,295.28,17.9,64.3,Database 2
37,Portugal,-0.2,5.0,23.81,0.63,1.2,56.9,1.4,50315,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,-1.0,no change,less,25.0,77.0,28.5,83.3,25.9,78.6,no change,0.0,275.59,17.9,64.3,Database 2
38,Portugal,-0.2,5.0,23.72,0.58,1.2,55.1,1.4,50317,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,25.4,77.7,28.6,83.5,26.3,79.3,no change,0.0,275.59,17.9,64.3,Database 2
39,Portugal,0.1,5.0,24.49,0.58,1.2,53.8,1.3,50321,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,25.8,78.4,30.0,86.0,26.9,80.4,no change,0.0,255.91,17.9,64.3,Database 2
40,Portugal,-0.2,6.0,23.84,0.63,1.1,56.1,0.8,50337,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,25.3,77.5,27.1,80.8,25.9,78.6,no change,0.0,157.48,17.9,64.3,Database 2
41,Portugal,0.9,21.0,27.86,0.82,1.6,55.8,0.8,50338,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,25.5,77.9,27.5,81.5,26.1,79.0,no change,0.0,157.48,17.9,64.3,Database 2
42,Portugal,0.1,5.0,24.12,0.57,1.3,55.8,1.6,50339,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,25.7,78.3,29.7,85.5,26.7,80.1,no change,0.0,314.96,17.9,64.3,Database 2
43,Portugal,0.2,6.0,24.41,0.65,1.2,59.4,2.1,50340,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,27.0,80.6,27.8,82.0,27.2,81.0,more humid,2.0,413.39,17.9,64.3,Database 2
44,Portugal,0.2,6.0,26.8,0.77,1.2,63.2,0.11,50375,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1.0,cooler,no change,22.5,72.5,23.8,74.8,23.8,74.8,no change,0.0,21.65,16.1,61.0,Database 2
45,Portugal,0.4,8.0,27.42,0.73,1.2,60.0,0.12,50376,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2.0,no change,no change,23.8,74.8,24.9,76.8,24.8,76.6,no change,1.0,23.62,16.1,61.0,Database 2
46,Portugal,0.9,21.0,29.88,1.03,1.2,59.8,0.11,50377,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,24.0,75.2,25.2,77.4,25.2,77.4,drier,-1.0,21.65,16.1,61.0,Database 2
47,Portugal,0.5,11.0,28.37,1.03,1.2,63.3,0.22,50378,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,22.5,72.5,24.3,75.7,24.2,75.6,drier,-1.0,43.31,16.1,61.0,Database 2
48,Portugal,0.4,8.0,27.06,0.64,1.2,61.2,0.12,50379,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,24.5,76.1,25.1,77.2,25.1,77.2,no change,0.0,23.62,16.1,61.0,Database 2
49,Portugal,0.6,13.0,28.19,0.66,1.4,58.8,0.17,50380,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2.0,cooler,less,24.6,76.3,25.4,77.7,25.3,77.5,more humid,2.0,33.46,16.1,61.0,Database 2
50,Portugal,0.9,21.0,29.72,0.59,1.6,58.7,0.13,50381,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0.0,no change,no change,24.6,76.3,25.6,78.1,25.6,78.1,no change,0.0,25.59,16.1,61.0,Database 2
