,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
82621,19,2,0.11,25.6,26.4,58.5,0.46,1.1,13.4,0
82622,45,1,0.12,25.7,26.4,58.7,0.56,1.1,13.4,2
82623,32,1,0.13,26.1,26.5,58,0.56,1.1,13.4,1
82624,30,2,0.12,26,26.5,57.8,0.46,1.1,13.4,1
82625,21,2,0.13,25.9,26.7,57.5,0.58,1.1,13.4,0
82626,35,1,0.16,25.8,26.2,58.8,0.65,1.1,13.4,2
82627,30,2,0.11,25.4,25.9,58.7,0.46,1.1,13.4,1
82628,27,2,0.1,25.3,25.9,58.9,0.46,1.1,13.4,1
82629,31,2,0.14,25.2,25.9,59.4,0.44,1.1,13.4,1
82630,54,1,0.1,25.6,25.8,58.5,1.1,1.1,13.4,-1
82631,22,2,0.1,25.7,26.2,58,0.62,1.1,13.4,0
82632,34,1,0.13,24.4,25.3,59.6,0.56,1.1,13.4,0
82633,31,2,0.13,23.9,24.7,60.8,0.55,1.1,13.4,0
82634,34,1,0.12,24.3,24.7,60.9,0.41,1.1,13.4,1
82635,31,1,0.12,24.9,25.4,60.2,0.56,1.1,13.4,0
82636,31,2,0.11,25.4,25.9,59.2,0.5,1.1,13.4,2
82637,51,1,0.1,25.6,26,59.1,0.45,1.1,13.4,-1
82638,38,1,0.11,25.7,26.1,58.8,0.56,1.1,13.4,0
82639,30,1,0.11,25.8,26.3,58.1,0.56,1.1,13.4,1
82640,33,2,0.11,25.7,26.2,58.5,0.79,1.1,13.4,0
82641,57,1,0.11,25.8,26.3,58,0.72,1.1,13.4,0
82642,36,1,0.11,25.4,26,58.7,0.56,1.1,13.4,0
82643,40,2,0.12,24.8,25.3,59.6,0.8,1.1,13.4,0
82644,36,2,0.13,24.8,25.5,59.7,0.59,1.1,13.4,2
82645,39,2,0.13,24.9,25.3,59.7,0.56,1.1,13.4,-1
82646,30,1,0.11,24.9,25.3,59.7,0.56,1.1,13.4,-1
82647,31,1,0.12,25,25.5,59.6,0.56,1.1,13.4,0
82648,26,2,0.11,25.1,25.5,59.6,0.47,1.1,13.4,1
82649,33,2,0.13,25.3,25.7,59.1,0.26,1.1,13.4,0
82650,53,1,0.15,24.8,25.7,59.5,0.56,1.1,13.4,0
82651,43,1,0.13,24.5,25.2,59.9,0.51,1.1,13.4,0
82652,32,2,0.17,24.4,25.1,60.2,0.34,1.1,13.4,0
82653,27,2,0.12,24.6,25.1,59.5,0.34,1.1,13.4,1
82654,26,2,0.13,24.8,25.3,59.3,0.31,1.1,13.4,0
82655,39,1,0.13,24.1,24.6,61,0.56,1.1,13.4,-1
82656,30,1,0.18,23.6,24,61.9,0.45,1.1,13.4,0
82657,25,2,0.11,24.4,24.8,59.6,0.46,1.1,13.4,-1
82658,55,1,0.11,24.5,24.9,59.8,0.45,1.1,13.4,-1
82659,48,2,0.12,24.7,25,60.1,0.41,1.1,13.4,2
82661,33,2,0.18,23,23.7,60.2,0.62,1.1,13.4,0
82662,31,2,0.13,23.7,24,60.3,0.43,1.1,13.4,0
82663,49,1,0.12,24.2,24.5,59.1,0.65,1.1,13.4,-1
82664,35,1,0.12,24.4,24.8,58.4,0.56,1.1,13.4,0
82665,26,2,0.13,24.4,25.1,58.4,0.41,1.1,13.4,0
82666,29,2,0.12,24.2,24.7,58.3,0.59,1.1,13.4,0
82667,28,2,0.13,24.4,25.1,58,0.45,1.1,13.4,0
82668,42,1,0.11,24.5,25.1,58.4,0.45,1.1,13.4,0
82669,45,1,0.11,24.3,25.2,58.5,0.65,1.1,13.4,1
82671,26,1,0.13,24.5,25.3,58.6,0.56,1.1,13.4,-1
82672,42,1,0.13,23.6,24.1,60.9,0.56,1.1,13.4,0
82673,37,2,0.12,23.1,24.2,60.6,0.63,1.1,13.4,0
82676,28,1,0.13,23,23.8,63.3,0.56,1.1,13.4,0
82677,28,2,0.13,23.7,24.4,61.8,0.41,1.1,13.4,1
82678,32,1,0.12,23.9,24.6,61.6,0.56,1.1,13.4,0
82679,29,1,0.14,23.7,24.5,61.9,0.65,1.1,13.4,0
82680,30,2,0.2,23.9,24.6,62.1,0.6,1.1,13.4,-1
82681,31,2,0.1,24.1,24.7,61.7,1.3,1.1,13.4,-2
82682,24,2,0.12,23.3,24,62.5,0.34,1.1,13.4,1
82683,50,2,0.12,23.2,23.7,62.8,0.46,1.1,13.4,-1
82684,46,1,0.14,23.1,23.6,62.8,0.65,1.1,13.4,0
82685,36,1,0.12,23.3,24,62.7,0.56,1.1,13.4,0
82686,31,2,0.11,23.5,24,63,0.63,1.1,13.4,-1
82687,26,2,0.14,23.2,23.5,62.9,0.72,1.1,13.4,-1
82689,26,1,0.15,23.2,23.9,63.3,0.56,1.1,13.4,0
82690,28,2,0.12,23.3,24,63.1,0.8,1.1,13.4,-1
82691,22,2,0.12,23.3,24,63.2,0.45,1.1,13.4,0
82692,36,1,0.13,23.3,24.1,62.5,0.65,1.1,13.4,1
82693,32,2,0.12,23.6,24.3,62.7,0.67,1.1,13.4,-1
82694,47,1,0.13,23.7,24.5,62.8,0.56,1.1,13.4,1
82695,27,1,0.13,23.9,24.6,62.8,0.56,1.1,13.4,0
82697,28,1,0.14,23.7,24.2,62.7,0.56,1.1,13.4,-1
82698,31,2,0.11,23.7,24.3,62.9,0.41,1.1,13.4,1
82699,36,1,0.12,23.8,24.6,62.4,0.56,1.1,13.4,-1
82700,25,2,0.12,23.8,24.5,62.4,0.46,1.1,13.4,1
82701,34,1,0.12,23.9,24.4,62.7,0.56,1.1,13.4,-1
82702,37,1,0.13,24,24.3,62.7,0.56,1.1,13.4,0
82703,29,2,0.13,24.1,24.5,62.3,0.56,1.1,13.4,-2
82704,31,1,0.12,24.1,24.5,61.9,0.92,1.1,13.4,-1
82706,24,1,0.13,24,24.9,62.2,0.65,1.1,13.4,-1
82707,25,2,0.12,24.1,24.9,62.4,0.54,1.1,13.4,0
82708,27,2,0.11,23.9,24.5,62.8,0.5,1.1,13.4,-1
82709,31,1,0.1,23.7,24.2,63.3,0.56,1.1,13.4,0
82710,25,2,0.11,24.3,24.8,63,0.81,1.1,13.4,1
82711,28,1,0.1,24.2,24.8,62.9,0.45,1.1,13.4,0
82712,32,1,0.13,24.1,24.8,63,0.56,1.1,13.4,0
82713,26,2,0.13,23.2,23.9,64.4,0.46,1.1,13.4,-2
82714,24,2,0.14,22.8,23.2,65.4,0.47,1.1,13.4,-1
82715,24,1,0.12,23.3,23.6,65.4,0.56,1.1,13.4,1
82716,25,1,0.1,24,24.2,63.8,0.51,1.1,13.4,-1
82717,36,1,0.11,24.1,24.5,63.5,0.56,1.1,13.4,0
82718,25,1,0.12,24,24.9,63.7,0.56,1.1,13.4,2
82719,24,1,0.11,24,24.8,63.2,0.56,1.1,13.4,1
82720,29,1,0.12,23.5,24.3,63.6,0.56,1.1,13.4,1
82721,27,1,0.12,24,24.8,63.5,0.56,1.1,13.4,0
82722,29,1,0.11,24.3,25.2,62.9,0.65,1.1,13.4,0
82723,29,1,0.1,24.6,25.2,62.5,0.56,1.1,13.4,0
82724,35,1,0.11,25.4,25.7,62.4,0.56,1.1,13.4,0
82725,28,2,0.12,25.5,26.2,60.8,0.55,1.1,13.4,0
82726,35,1,0.13,24.9,25.8,61.4,0.56,1.1,13.4,0
