,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
93902,53,1,0.01,12.8,12.8,48.3,1.55,0.89,13.4,-2
93903,53,1,0.01,12.8,12.8,48.8,1.59,0.89,13.4,-2
93904,53,1,0.04,12.8,12.4,49.3,1.04,0.89,13.4,-2
93905,53,1,0.03,12.2,12.4,49.3,1.04,0.89,13.4,-2
93906,53,1,0.01,11,10.8,49.8,1.04,0.89,13.4,-2
93907,53,1,0.04,11,10.8,51.3,1.04,0.89,13.4,-2
93908,53,1,0.01,11,10.8,51.8,1.59,0.89,13.4,-2
93910,53,1,0.01,11,10.8,51.3,1.59,0.89,13.4,-1
93911,53,1,0.01,11,10.8,51.8,1.59,0.89,13.4,-1
93913,53,1,0.03,11.6,11.2,50.8,1.59,0.89,13.4,-1
93914,53,1,0.01,11.6,11.6,50.3,1.04,0.89,13.4,-2
93915,53,1,0.01,11.6,11.6,50.8,1.04,0.89,13.4,-2
93916,53,1,0.01,11.6,11.6,51.3,1.04,0.89,13.4,-2
93917,53,1,0.03,11.6,11.2,51.3,1.59,0.89,13.4,-2
93918,53,1,0.03,11.6,11.2,52.2,1.04,0.89,13.4,-2
93919,53,1,0.01,11,10.8,53.2,1.04,0.89,13.4,-2
93920,53,1,0.01,11,10.8,53.7,1.59,0.89,13.4,-2
93921,53,1,0.05,8.4,8.4,56,1.04,0.89,13.4,-2
93922,53,1,0.05,8.4,8.4,56.5,1.59,0.89,13.4,-2
93925,53,1,0.01,9,9.2,55.1,1.59,0.65,13.4,-2
93926,53,1,0.01,9.7,9.6,54.6,1.59,0.89,13.4,-2
93927,53,1,0.01,10.4,10.4,53.2,1.59,0.89,13.4,-2
93928,53,1,0.01,11,10.8,52.7,1.04,0.89,13.4,-2
93930,53,1,0.01,11.6,11.6,51.3,1.59,0.89,13.4,-2
93931,53,1,0.03,12.2,12,50.3,1.59,0.89,13.4,-2
93932,53,1,0.01,12.2,12,50.3,1.04,0.89,13.4,-2
93933,53,1,0.03,12.2,12,50.8,1.04,0.89,13.4,-2
93934,53,1,0.03,12.2,12,49.8,1.04,0.89,13.4,-2
93935,53,1,0.01,12.2,12.4,51.3,1.04,0.89,13.4,-2
93939,53,1,0.03,16.2,16.4,43.7,1.04,0.89,13.4,-2
93940,53,1,0.06,16.8,16.8,43.7,1.04,1.01,13.4,-2
93941,53,1,0.03,16.2,16.4,43.7,1.04,1.01,13.4,-2
93942,53,1,0.01,16.2,16.4,38.4,1.59,0.89,13.4,-2
93943,53,1,0.1,16.2,16.1,43.7,1.04,0.89,13.4,-2
93944,53,1,0.05,15.7,15.7,40.6,1.04,0.89,13.4,-2
93946,53,1,0.01,13.4,13.5,49.8,1.04,0.89,13.4,-2
93947,53,1,0.03,13.4,13.2,51.8,1.04,0.89,13.4,-2
93948,53,1,0.03,13.4,13.5,53.7,1.59,0.89,13.4,-2
93949,53,1,0.06,13.4,13.2,53.2,1.59,0.89,13.4,-2
93956,53,1,0.36,16.8,16.3,47.8,1.04,1.01,13.4,-2
93957,53,1,0.31,17.3,17.5,46.8,1.04,1.01,13.4,-2
93958,53,1,0.46,16.8,16.3,45.8,1.04,1.01,13.4,-2
93959,53,1,0.39,16.2,16.1,48.8,0.94,1.01,13.4,-2
93960,53,1,0.34,15.7,15.7,48.8,1.04,0.89,13.4,-2
93961,53,1,0.46,15.7,15.7,49.3,0.94,0.89,13.4,-2
93962,53,1,0.57,15.7,15.3,48.8,0.94,0.89,13.4,-2
93963,53,1,0.36,15.1,15.5,48.3,0.88,0.77,13.4,-2
93964,53,1,0.36,15.1,15.5,47.3,1.47,0.89,13.4,-2
93965,53,1,0.61,14,14.4,40,1.55,0.77,13.4,-2
93966,53,1,0.91,14.6,14.2,42.1,1.04,0.89,13.4,-2
93967,53,1,0.97,15.7,15.7,42.1,1.59,1.01,13.4,-2
93968,53,1,0.8,16.2,16.5,37.8,1.59,1.01,13.4,-2
93969,53,1,0.66,16.2,17,40,1.59,1.01,13.4,-2
93970,53,1,1.16,17.8,17.4,38.4,1.59,1.01,13.4,-2
93971,53,1,1.23,18.3,18.2,36.7,1.04,1.01,13.4,-2
