,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
53521,31,2,0.02,28,25.9,46.3,0.69,1.2,18.6,1
53528,31,1,0.06,26.6,22.6,37.4,0.67,1.3,18.6,1
53529,31,2,0.3,26.2,25.2,50.4,0.47,1.2,18.6,2
53530,31,2,0.03,25.4,25.6,34.1,0.72,1.2,18.6,1
53531,31,2,0.44,27.4,26,47.2,0.61,1.2,18.6,0
53533,31,2,0.55,27.1,27.3,48.2,0.39,2.3,18.6,2
53559,31,2,0.09,23.9,25,36.4,0.66,2,18.4,0
53560,31,1,0.06,24.4,25.3,36,0.61,1.3,18.4,0
53561,31,1,0.06,24.2,25.6,36.3,0.61,1.3,18.4,0
53562,31,1,0.07,24.4,25.6,36.1,0.56,1.6,18.4,0
53563,31,1,0.03,24.1,25.8,37.5,0.61,1.6,18.4,0
53564,31,2,0.05,25,26.4,39.9,0.66,1.6,18.4,2
53565,31,1,0.03,24.2,25.7,48.5,0.56,2.5,18.4,0
53566,31,1,0.03,24.2,26.2,48.2,0.52,2.4,18.4,0
53567,31,1,0.06,25.3,26.7,39.3,0.63,1.2,18.4,-1
53568,31,1,0.08,23.9,27.3,41,0.71,1.5,18.4,0
53569,31,1,0.04,24,26.9,44.6,0.65,1.2,18.4,0
53570,31,1,0.05,24.5,26.5,37.5,0.66,1.6,18.4,0
53571,31,1,0.02,23,23.4,59.2,0.68,1.2,17.2,0
53572,31,2,0.02,23.3,24.3,55.6,0.65,1.2,17.2,1
53573,31,2,0.04,23.3,24.7,55.7,0.51,2,17.2,1
53574,31,1,0.05,23.7,24.8,48.7,0.58,1.6,17.2,-1
53575,31,1,0.04,23.5,24.6,50.1,0.72,2,17.2,-2
53576,31,2,0.03,23.4,24.9,50.2,0.92,1.5,17.2,-2
53577,31,2,0.05,23.8,25.8,50.8,0.78,1.2,17.2,1
53578,31,2,0.08,23.1,25.3,54.5,0.57,1.2,17.2,-2
53579,31,2,0.06,22.9,24.8,55.4,0.74,1.2,17.2,0
53580,31,2,0.04,23.3,24.1,57.6,0.66,2.3,17.2,-1
53581,31,1,0.01,24.1,25.1,54.2,0.66,1.3,17.2,0
53582,31,2,0.03,23.3,24.6,55.2,0.96,1.6,17.2,0
53583,31,1,0.05,23.9,25.4,55.9,0.61,1.3,17.2,0
53584,31,2,0.06,23.9,25.9,53.4,0.7,1.6,17.2,0
53585,31,1,0.03,23.8,25.9,54,0.52,2.4,17.2,-1
53607,31,1,0.09,25.2,26.4,40.2,0.58,1.2,17.5,1
53608,31,1,0.04,25.1,26.4,39.8,0.58,1.2,17.5,0
53609,31,1,0.02,24.6,26,43.6,0.62,1.2,17.5,2
53610,31,1,0.06,24.6,26.3,41.4,0.56,1.4,17.5,0
53611,31,2,0.04,24.3,26.2,42,0.51,1.6,17.5,2
53612,31,1,0.18,24.8,26.6,43.9,0.57,1.5,17.5,0
53613,31,1,0.03,25.1,26.5,43.1,0.63,1.2,17.5,0
53614,31,1,0.07,25.4,27,41,0.58,1.4,17.5,0
53615,31,1,0.14,26.4,28.3,41.1,0.63,1.2,17.5,2
53616,31,1,0.03,25.2,27,54.3,0.63,1,17.6,0
53617,31,1,0.02,25.3,26.6,53.7,0.48,2.8,17.6,0
53618,31,2,0.03,25.2,26,53,0.43,2.2,17.6,1
53619,31,1,0.1,25.4,27.5,53,0.49,2.5,17.6,2
53620,31,1,0.06,25.1,26.2,54.1,0.48,1.9,17.6,1
53628,31,1,0.02,25.2,26.4,50.8,0.63,1.2,16.8,0
53629,31,2,0.02,25.3,26.3,49.3,0.72,1.2,16.8,2
53630,31,2,0.05,25,27.3,51,0.45,1.6,16.8,0
53631,31,2,0.06,25.7,26.7,51.4,0.63,1.2,16.8,0
53632,31,1,0.03,25.5,27.2,52.7,0.67,1.3,16.8,1
53633,31,1,0.05,26,27.4,51,0.68,1.2,16.8,1
53634,31,1,0.07,25.9,27.6,50.1,0.54,1.4,16.8,1
53635,31,1,0.02,26.3,27.4,47.7,0.52,1.2,16.8,1
53636,31,2,0.04,26.5,27.8,49.3,0.54,1.3,16.8,1
53695,31,2,0.2,26.9,28.2,32.4,0.53,2,27.2,1
53696,31,2,0.1,27.1,27.5,32.6,0.61,1.2,27.2,1
53697,31,2,0.1,26.7,28.5,33.2,0.61,1.2,27.2,1
53698,31,1,0.1,26.6,28.1,32.2,0.68,1.2,27.2,1
53699,31,2,0.1,26.2,28,34,0.69,1.2,27.2,0
53700,31,2,0.1,26.6,28.2,31.8,0.61,1.2,27.2,-1
53701,31,1,0.1,29.6,30.8,33.9,0.68,1.2,27.2,1
53702,31,1,0.1,29.5,30.9,35.2,0.63,1.2,27.2,2
53703,31,2,0.05,24.7,25.8,47.7,0.5,1.5,21.5,0
53704,31,2,0.2,25.4,27.3,46.8,0.65,1.2,21.5,0
53705,31,1,0.1,25.1,27.3,42.2,0.64,1.5,21.5,0
53706,31,1,0.12,25,27.3,43.7,0.53,1.7,21.5,0
53707,31,1,0.09,25.5,27.6,42.7,0.56,1.6,21.5,1
53708,31,1,0.25,25.1,27.5,38.6,0.51,2.5,21.5,0
53709,31,1,0.11,25.2,26.8,40.2,0.63,1.2,21.5,-2
53710,31,1,0.08,25.8,26.9,38.6,0.63,1.2,21.5,0
53711,31,1,0.09,25.8,28.9,39,0.58,1.5,21.5,1
53712,31,1,0.23,27.1,28.4,36.6,0.58,2.4,21.5,1
53713,31,2,0.35,27.3,28.9,36.1,0.47,2.4,21.5,0
53714,31,1,0.13,25.6,28,42.6,0.61,1.6,21.5,-2
53715,31,2,0.04,26.1,27.7,42.8,0.68,1.2,21.5,1
53716,31,1,0.13,25.7,28,44.2,0.53,2.7,21.5,1
53717,31,2,0.06,25.2,27.2,46.4,0.7,1.2,21.5,0
53718,31,2,0.1,25.7,27.9,44,0.5,1.2,21.5,0
53719,31,2,0.08,25.5,28,44.9,0.48,1.5,21.5,0
53720,31,1,0.05,26,27.1,46.1,0.75,1.2,21.5,1
53721,31,2,0.09,26.2,27.3,46,0.58,1.2,21.5,1
53865,31,1,0.1,26.1,27.8,55.5,0.58,1,19.5,2
53866,31,1,0.07,26.4,27.7,55.3,0.46,2.5,19.5,2
53867,31,1,0.08,27.1,28.5,54.8,0.58,1,19.5,0
53868,31,1,0.17,25.9,27.8,55.6,0.54,2.1,19.5,0
53869,31,2,0.09,26.4,27.8,53.8,0.48,1.4,19.5,0
53870,31,1,0.13,26.5,27.6,54.3,0.47,1.9,19.5,0
53873,31,1,0.06,26.5,27.8,54.5,0.75,1.5,19.5,1
53874,31,1,0.12,25.8,27.9,55.9,0.49,1.9,19.5,0
53876,31,1,0.04,27.2,29.2,52.6,0.63,1.2,19.5,1
53889,31,2,0.1,27.1,28.4,46.7,0.6,1.2,19.5,1
53890,31,2,0.1,27.1,28.7,46.3,0.43,1.3,19.5,2
53891,31,1,0.11,26.6,28.8,49.1,0.69,1.4,19.5,1
53892,31,1,0.18,26.9,28.6,47.4,0.57,1.3,19.5,1
53893,31,1,0.08,27.5,28.9,48.3,0.65,1.2,19.5,2
53894,31,1,0.06,27.1,29.6,47.3,0.56,1.6,19.5,1
53895,31,1,0.15,27.7,30.7,47.2,0.56,1.6,19.5,2
53896,31,2,0.07,27.2,29.3,47.8,0.58,1.2,19.5,1
53897,31,1,0.18,26.3,29.9,50.3,0.48,2,19.5,2
53899,31,2,0.05,27.6,29.4,47.3,0.45,1.6,19.5,2
53902,31,2,0.05,27.4,29.4,48.4,0.28,2,19.5,0
53916,31,1,0.23,25.4,29.8,48.2,0.63,1.2,21.4,1
53917,31,2,0.06,26.9,28.4,48.2,0.66,1.3,21.4,1
53918,31,2,0.15,27.7,29.2,45.7,0.53,1.6,21.4,2
53919,31,1,0.03,27.4,28.8,50.2,0.54,1.4,21.4,1
53920,31,1,0.16,26.4,29.5,48.2,0.61,1.3,21.4,0
53921,31,1,0.42,28.5,30.1,43.9,0.68,1.2,21.4,2
53922,31,1,0.12,26.2,29.9,48,0.52,1.2,21.4,0
53923,31,1,0.18,26.1,30.1,49.6,0.58,1.2,21.4,0
53924,31,2,0.23,25.4,26.5,58.5,0.54,2.5,22.3,0
53925,31,1,0.13,23.9,26.7,63.9,0.56,2,22.3,-2
53926,31,1,0.12,24.3,26.5,62.2,0.56,2,22.3,-2
53927,31,2,0.03,25.2,27,59,0.74,1.2,22.3,0
53928,31,2,0.14,25.2,27.7,61.3,0.51,1.2,22.3,0
53929,31,2,0.09,25.2,27.7,59.7,0.41,1.2,22.3,0
53930,31,2,0.07,25.4,28.2,59.5,0.59,1.6,22.3,0
53931,31,1,0.15,26.5,28,56.2,0.5,1.6,22.3,1
53932,31,2,0.25,26.9,28.3,53.4,0.44,2.1,22.3,0
53933,31,2,0.02,26.5,28,53.4,0.44,1.6,22.3,1
53935,31,2,0.03,25.6,25.6,43.7,0.35,2,14.6,2
