,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
97623,31,2,0.07,23.6,23.6,65.7,0.75,1,13.4,2
97624,31,2,0.12,23.4,23.8,67.6,0.72,1.2,13.4,0
97625,31,1,0.09,23.1,23.5,68.6,0.61,1,13.4,-1
97626,31,1,0.33,22.5,23.9,72.3,0.76,1.2,13.4,0
97627,31,1,0.67,23.3,24.5,69.1,0.76,1.2,13.4,-2
97628,31,2,0.18,22.1,22.3,71,0.89,1.2,13.4,0
97629,31,1,0.14,22.6,23.4,73.4,0.48,1.2,13.4,1
97630,31,2,0.18,23,23.2,67,0.45,1,13.4,1
97631,31,2,0.09,23.8,23.7,62.6,0.86,1.2,13.4,2
97632,31,2,0.09,23.5,23.7,63.6,1.15,1.2,13.4,1
97633,31,2,0.09,21.7,22.3,73.9,0.66,1.2,13.4,0
97634,31,1,0.1,22.9,23.1,67.4,0.48,1,13.4,0
97635,31,1,0.1,23.1,23.4,65.9,0.56,1.2,13.4,0
97636,31,1,0.11,22.3,22.9,69,0.6,1.4,13.4,0
97637,31,1,0.23,22.7,22.9,67.1,0.76,1,13.4,-1
97638,31,1,0.18,21.2,21.7,72.5,0.48,1,13.4,0
97639,31,1,0.16,22.6,23.2,75,0.54,1.2,13.4,-1
97640,31,2,0.23,21.7,22.8,77.3,0.53,1.2,13.4,0
97641,31,1,0.18,22.4,22.9,71.2,0.62,1.4,13.4,0
97642,31,2,0.12,22.6,22.9,67.5,0.73,1.2,13.4,-1
97643,31,2,0.18,23.1,23.4,68.7,0.45,1.4,13.4,1
97644,31,2,0.11,21.9,22.4,69.9,1,1,13.4,0
97645,31,1,0.26,22.2,22.4,69,0.76,1,13.4,-2
97646,31,2,0.12,22.6,23.3,71.4,0.66,1,13.4,1
97647,31,1,0.26,23.4,24.1,72.2,0.62,1.4,13.4,1
97648,31,2,0.22,22.9,23.7,75.4,0.53,1.2,13.4,1
97649,31,1,0.16,23.5,24.4,77.9,0.54,1.2,13.4,0
97650,31,2,0.09,23.3,23.6,66.7,0.26,1.4,13.4,0
97651,31,2,0.17,24.1,24.1,63.7,0.72,1.2,13.4,1
97652,31,2,0.06,22.7,23.3,69,0.52,1,13.4,0
97653,31,2,0.15,22.5,23.1,69.9,0.45,1,13.4,0
97654,31,1,0.14,22.2,22.8,71.2,0.62,1,13.4,1
97655,31,1,0.12,23,23.3,67.4,0.48,1,13.4,0
97656,31,1,0.17,22.4,22.9,72,0.61,1,13.4,2
97657,31,2,0.05,21.8,22.4,73.5,0.66,1,13.4,1
97658,31,2,0.11,24.2,23.9,63.3,0.72,1,13.4,0
97659,31,1,0.1,23,23.2,68.5,0.48,1.4,13.4,0
97660,31,2,0.17,22.3,23,71.4,0.48,1,13.4,0
97661,31,1,0.21,22.5,23.3,75.6,0.61,1,13.4,1
97662,31,2,0.1,23.6,23.9,64.4,0.53,1.4,13.4,2
97663,31,2,0.1,23.1,23.4,62.7,0.49,1,13.4,-2
97664,31,1,0.06,22.9,23.2,62.2,0.68,1,13.4,0
97665,31,2,0.1,24.1,24.1,58.6,0.54,1,13.4,0
97666,31,1,0.03,23,23.2,64,0.46,1.4,13.4,-1
97667,31,2,0.08,24.8,24.7,55.3,0.48,1,13.4,0
97668,31,1,0.04,23.2,23.5,63.5,0.37,1,13.4,0
97669,31,1,0.07,23.5,23.8,60.3,0.62,1.2,13.4,0
97670,31,2,0.13,22.6,23.1,61.3,0.46,1.2,13.4,0
97671,31,1,0.19,23.2,23.3,59.3,0.58,1,13.4,0
97672,31,2,0.07,23.6,23.6,57.4,0.28,1.4,13.4,-2
97673,31,2,0.07,23.6,23.8,59.5,0.66,1,13.4,0
97674,31,2,0.04,23.8,23.9,59,0.48,1,13.4,0
97675,31,1,0.11,22.6,23,64.6,0.45,1.2,13.4,0
97676,31,2,0.14,23,23.2,62.9,0.54,1.2,13.4,1
97677,31,2,0.07,23.5,23.7,61.3,0.6,1.2,13.4,1
97678,31,2,0.16,23.4,23.8,62.3,0.33,1.2,13.4,0
97679,31,1,0.05,23.6,23.7,61.6,0.54,1.2,13.4,1
97680,31,1,0.07,23,23.3,64.4,0.76,1,13.4,0
97681,31,1,0.09,23.2,23.6,64.4,0.28,1.4,13.4,0
97682,31,1,0.07,23.7,23.9,60.9,0.45,1.4,13.4,2
97683,31,2,0.07,23.5,23.6,60.3,0.47,1.4,13.4,0
97684,31,2,0.09,22.9,23.2,61.2,0.49,1.2,13.4,1
97685,31,2,0.06,22.4,22.7,63.6,0.35,1.4,13.4,0
97686,31,2,0.04,22.5,22.6,64.1,0.46,1.4,13.4,0
97687,31,2,0.09,24.7,24.7,54.7,0.73,1.2,13.4,2
97688,31,2,0.12,23.4,24,60.7,0.5,1.2,13.4,1
97689,31,1,0.02,23.7,23.6,63,0.61,1,13.4,1
97690,31,1,0.05,23.3,23.5,58.8,0.37,1,13.4,0
97691,31,2,0.07,23.4,23.5,52.6,0.3,1,13.4,1
97692,31,2,0.16,23.9,23.9,50.9,0.69,1,13.4,0
97693,31,2,0.11,23.8,23.9,55.1,0.66,1.2,13.4,-1
97694,31,1,0.08,23.3,23.6,58.3,0.51,1,13.4,1
97695,31,2,0.07,23.7,23.9,55.2,0.48,1.4,13.4,2
97696,31,2,0.16,23.7,24,56.6,0.48,1.2,13.4,1
97697,31,1,0.07,23.6,23.9,55.5,0.54,1,13.4,1
97698,31,1,0.07,23.1,23.4,57.5,0.76,1.2,13.4,0
97699,31,2,0.08,23.8,24,57,0.35,1.4,13.4,-1
97700,31,2,0.15,23.7,23.9,54.3,0.33,1,13.4,0
97701,31,2,0.09,23.5,23.7,60.8,0.41,1,13.4,-1
97702,31,2,0.04,23.4,23.7,61.5,0.48,1,13.4,0
97703,31,1,0.13,22.8,23.2,65.8,0.51,1.2,13.4,0
97704,31,1,0.12,23.7,24,64.6,0.62,1.2,13.4,0
97705,31,1,0.24,24.7,25.1,61.6,0.49,1,13.4,1
97706,31,2,0.13,23.3,23.5,64.2,0.48,1.2,13.4,1
97707,31,1,0.07,23.3,23.5,63.5,0.54,1.4,13.4,0
97708,31,2,0.16,23.9,24,61.5,0.51,1.4,13.4,1
97709,31,1,0.07,22.9,23.3,65.4,0.58,1,13.4,0
97710,31,2,0.05,22.6,22.8,65.4,0.52,1.2,13.4,0
97711,31,2,0.08,22.5,22.7,66.3,0.46,1.2,13.4,-1
97712,31,2,0.09,23.6,23.8,64.4,0.54,1,13.4,0
97713,31,2,0.05,23.7,23.8,61.6,0.39,1.4,13.4,1
97714,31,1,0.07,22.9,23.3,66.1,0.62,1.2,13.4,0
97715,31,2,0.15,23.3,23.6,65.6,0.48,1.2,13.4,0
97716,31,2,0.05,23.3,23.7,66.8,0.47,1.4,13.4,2
97717,31,1,0.19,23.7,23.9,63.1,0.5,1,13.4,1
97718,31,2,0.17,24,24.1,61.1,0.47,1,13.4,0
97719,31,2,0.12,23.2,23.4,63.7,0.63,1.2,13.4,0
97720,31,2,0.06,23.7,23.8,61.7,0.48,1.4,13.4,-1
97721,31,2,0.1,22.9,23.1,63.6,0.55,1.2,13.4,-1
97722,31,1,0.1,22.8,23.1,64.6,0.76,1,13.4,0
97723,31,1,0.03,23.4,23.5,63.8,0.54,1,13.4,0
97724,31,1,0.09,23.3,23.6,65.5,0.51,1.2,13.4,1
97725,31,2,0.09,23.8,23.9,61.2,0.41,1,13.4,0
97726,31,1,0.02,23.2,23.4,65.4,0.62,1,13.4,2
97727,31,2,0.07,24.3,24.5,58.9,0.54,1.2,13.4,0
97728,31,2,0.07,22.8,23.1,64.8,0.52,1.2,13.4,2
97729,31,2,0.04,22.7,22.9,65.2,0.46,1,13.4,-1
97730,31,2,0.12,23.5,23.7,60.9,0.54,1,13.4,0
97731,31,2,0.03,23.4,23.5,61.1,0.38,1.4,13.4,0
97732,31,2,0.05,23.1,23.4,66.3,0.52,1,13.4,0
97733,31,2,0.11,23.3,23.3,63.7,0.44,1.2,13.4,-2
97734,31,2,0.09,23.6,23.7,62.6,0.55,1.4,13.4,0
97735,31,2,0.08,23,23.4,63.7,0.64,1.2,13.4,1
97736,31,2,0.1,23.9,24.3,74.5,0.44,1.2,13.4,0
97737,31,2,0.04,22.7,23,65.2,0.56,1,13.4,0
97739,31,2,0.12,23.9,24.3,68.4,0.44,1.4,13.4,2
97740,31,2,0.12,23.4,23.6,57.3,0.48,1,13.4,0
97741,31,1,0.06,23,23.4,62.9,0.76,1.2,13.4,0
97742,31,2,0.16,23.7,23.7,60.4,0.5,1,13.4,0
97743,31,2,0.09,23,23.3,61.6,0.62,1.2,13.4,0
97744,31,1,0.05,23.6,23.8,60.9,0.37,1,13.4,0
97745,31,1,0.07,23.5,23.8,60.2,0.62,1.2,13.4,0
97746,31,2,0.15,24.3,24.3,55.7,0.47,1,13.4,0
97747,31,2,0.06,23.9,24,57.8,0.43,1.4,13.4,0
97748,31,2,0.07,25,25.3,51.6,0.52,1,13.4,0
97749,31,2,0.08,24,24.1,56.6,0.46,1,13.4,0
97750,31,2,0.06,23.8,24,57.3,0.55,1.4,13.4,0
97751,31,1,0.09,23.8,24.1,56.8,0.54,1.2,13.4,0
97752,31,2,0.06,23.5,23.7,54.8,0.49,1,13.4,0
97753,31,2,0.1,24.2,24.3,52.4,0.59,1,13.4,0
97754,31,1,0.15,25.4,25.1,61.7,0.62,1.4,13.4,2
97755,31,1,0.06,24.1,24.4,66,0.82,1,13.4,0
97756,31,1,0.05,22.8,23.3,71.5,0.76,1.2,13.4,0
97757,31,2,0.12,24.4,24.6,64.8,0.62,1,13.4,1
97758,31,1,0.06,24.7,24.8,63.9,0.48,1,13.4,2
97759,31,1,0.11,24.3,24.7,66,0.76,1,13.4,1
97760,31,1,0.06,24.3,24.5,65.9,0.65,1.2,13.4,1
97761,31,2,0.08,26.4,26.8,64.7,0.36,1.2,13.4,2
97762,31,2,0.12,24.4,24.4,66.6,0.5,1,13.4,-2
97763,31,2,0.15,26.2,26.2,61.6,0.72,1,13.4,1
97764,31,2,0.04,27.6,27.6,56.3,0.56,1.2,13.4,2
97765,31,2,0.13,25,25,64,0.63,1,13.4,0
97766,31,1,0.11,25.1,25.1,63.4,0.55,1,13.4,1
97767,31,1,0.06,23.9,23.9,67.9,1.08,1.2,13.4,0
97768,31,2,0.17,26.7,26.7,58.1,0.76,1.2,13.4,2
97769,31,2,0.08,25.7,25.7,62.7,0.6,1.2,13.4,1
97770,31,1,0.02,25.6,25.6,61.7,0.75,1.2,13.4,1
97771,31,2,0.07,24.3,24.3,66,0.44,1.2,13.4,0
97772,31,2,0.13,24.3,24.3,65.6,0.47,1,13.4,0
97773,31,1,0.11,24.9,24.9,63.6,0.76,1,13.4,2
97774,31,1,0.07,24.9,24.9,63.9,0.71,1,13.4,1
97775,31,1,0.07,23.8,23.8,68.4,0.76,1,13.4,1
97776,31,1,0.15,25.4,24.8,63.3,0.62,1,13.4,2
97777,31,2,0.14,24.8,25,63.5,0.63,1.2,13.4,2
97778,31,2,0.12,24.2,24.2,64.9,0.5,1.2,13.4,-2
97779,31,2,0.09,25.6,25.7,60.5,0.58,1,13.4,2
97780,31,2,0.08,26.1,26.5,63.9,0.45,1.2,13.4,2
97781,31,2,0.11,24.1,24.7,66.2,0.47,1.2,13.4,0
97782,31,2,0.07,23,23.3,67.8,0.47,1,13.4,-1
97783,31,2,0.09,23.3,23.4,67.3,0.63,1.2,13.4,-1
97784,31,2,0.14,23.8,24.1,65.7,0.62,1.2,13.4,2
97785,31,1,0.05,24.6,24.7,63.2,0.48,1,13.4,0
97786,31,1,0.06,24.3,24.6,64.6,0.76,1,13.4,1
97787,31,1,0.06,24.6,24.7,64.2,0.76,1,13.4,0
97788,31,1,0.09,24.5,24.7,65.8,0.52,1,13.4,0
97789,31,1,0.03,25.1,25,62.5,0.72,1,13.4,0
97790,31,1,0.07,23,23.3,70.3,0.76,1,13.4,1
97791,31,2,0.1,25.3,25.5,61.9,0.76,1.2,13.4,2
97792,31,2,0.08,25.8,26.3,65.1,0.48,1,13.4,0
