,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
49969,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,1.0,,no change,,no change,,0.8,19.0,28.15,0.52,1.6,,,,,25.4,77.7,,,,,,,,,26.3,79.3,26.1,79.0,,,,,,,39.8,no change,2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49972,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,3.0,,cooler,,less,,0.1,5.0,25.26,0.43,1.2,,,,,25.3,77.5,,,,,,,,,26.5,79.7,26.2,79.2,,,,,,,39.9,drier,-2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49973,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,0.0,,no change,,no change,,0.8,18.0,28.38,0.76,1.3,,,,,25.4,77.7,,,,,,,,,26.0,78.8,25.9,78.6,,,,,,,40.6,no change,0.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49989,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,1.0,,cooler,,no change,,1.0,28.0,28.79,0.35,2.0,,,,,25.4,77.7,,,,,,,,,26.1,79.0,26.0,78.8,,,,,,,43.4,no change,1.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49990,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,1.0,,cooler,,less,,0.4,9.0,26.55,0.59,1.2,,,,,25.4,77.7,,,,,,,,,26.5,79.7,26.2,79.2,,,,,,,41.7,drier,-2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49991,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,1.0,,cooler,,no change,,0.9,20.0,28.47,0.56,1.6,,,,,25.4,77.7,,,,,,,,,26.0,78.8,25.9,78.6,,,,,,,41.5,no change,0.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49992,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,2.0,,cooler,,less,,0.5,10.0,26.51,0.57,1.2,,,,,26.0,78.8,,,,,,,,,26.2,79.2,26.1,79.0,,,,,,,38.9,more humid,1.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49993,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Female,2.0,,cooler,,no change,,0.4,8.0,26.18,0.55,1.2,,,,,25.5,77.9,,,,,,,,,26.5,79.7,26.2,79.2,,,,,,,38.3,drier,-2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49994,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,0.0,,no change,,no change,,0.6,12.0,27.66,0.43,1.9,,,,,22.8,73.0,,,,,,,,,24.3,75.7,24.0,75.2,,,,,,,56.5,more humid,0.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
49995,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Gothenburg,Sweden,Classroom,Mixed Mode,Unknown,Mechanical Heating,,Male,0.0,,no change,,less,,0.6,14.0,28.1,0.48,1.9,,,,,22.7,72.9,,,,,,,,,24.2,75.6,24.0,75.2,,,,,,,56.0,more humid,-2.0,0.0,0.0,,,,,,,,,,,,,,,,Database 2
