,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
61728,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,32.0,Female,0.0,0.0,,,,,,,,0.7,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61729,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,27.0,Male,1.0,0.0,,,,,,,,0.7,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61730,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,29.0,Male,0.0,1.0,,,,,,,,0.7,,,,,,26.0,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61731,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,25.0,Female,-1.0,,,,,,,,,0.7,,,,,,25.9,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61732,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,40.0,Male,0.0,1.0,,,,,,,,1.0,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61733,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,35.0,Male,2.0,,,,,,,,,0.7,,,,,,25.9,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,13.0,55.4,Database 2
61734,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,35.0,Male,0.0,,,,,,,,,0.7,,,,,,25.8,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61735,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,,Female,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61736,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,23.0,Female,-1.0,0.0,,,,,,,,0.63,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
61737,"Kwon S.-H., Chun C., Kwak R.-Y. Relationship between quality of building maintenance management services for indoor environmental quality and occupant satisfaction, Building and Environment 46(11) (2011), 2179-2185.",Chungyoon Chun,2007.0,Autumn,Dwa,Monsoon-influenced hot-summer humid continental,Seoul,South Korea,Office,Air Conditioned,,Mechanical Heating,24.0,Female,-1.0,0.0,,,,,,,,0.63,,,,,,25.8,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,13.0,55.4,Database 2
