,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
20884,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,0.0,1.0,cooler,1.0,no change,5.0,0.5,11.0,27.25,0.78,1.2,,,,,25.6,78.0,,,,,,,,,,,,,25.2,77.4,,,,,41.4,,,0.08,16.3,,,,,,,,,,,,,,25.9,78.6,Database 2
20885,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,-2.0,1.0,no change,1.0,no change,6.0,0.2,6.0,25.9,0.5,1.6,,,,,23.5,74.2,,,,,,,,,,,,,23.4,74.2,,,,,46.5,,,0.13,25.47,,,,,,,,,,,,,,25.9,78.6,Database 2
20886,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,1.0,no change,1.0,no change,5.0,-0.6,11.0,23.66,0.42,1.1,,,,,24.0,75.2,,,,,,,,,,,,,24.5,76.2,,,,,45.7,,,0.15,29.77,,,,,,,,,,,,,,25.9,78.6,Database 2
20887,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,1.0,0.0,cooler,1.0,no change,4.0,0.2,6.0,25.73,0.56,1.1,,,,,26.3,79.4,,,,,,,,,,,,,26.3,79.4,,,,,38.6,,,0.17,33.77,,,,,,,,,,,,,,25.9,78.6,Database 2
20888,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,1.0,0.0,cooler,1.0,no change,3.0,0.2,6.0,25.47,0.56,1.1,,,,,26.4,79.4,,,,,,,,,,,,,26.3,79.3,,,,,38.2,,,0.2,39.0,,,,,,,,,,,,,,25.9,78.6,Database 2
20889,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-1.0,1.0,no change,1.0,no change,5.0,0.1,5.0,25.52,0.75,1.3,,,,,25.4,77.7,,,,,,,,,,,,,24.1,75.4,,,,,41.7,,,0.19,37.52,,,,,,,,,,,,,,25.9,78.6,Database 2
20890,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Male,0.0,1.0,no change,1.0,no change,4.0,-0.7,15.0,22.6,0.56,1.2,,,,,23.9,75.0,,,,,,,,,,,,,23.7,74.6,,,,,44.7,,,0.31,60.35,,,,,,,,,,,,,,25.9,78.6,Database 2
20891,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,0.0,1.0,no change,1.0,no change,5.0,-0.2,6.0,24.81,0.67,1.2,,,,,23.5,74.3,,,,,,,,,,,,,23.4,74.0,,,,,44.9,,,0.16,31.25,,,,,,,,,,,,,,25.9,78.6,Database 2
20892,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,1.0,no change,1.0,no change,5.0,-0.3,7.0,24.18,0.61,1.2,,,,,23.5,74.2,,,,,,,,,,,,,23.4,74.0,,,,,44.9,,,0.12,24.48,,,,,,,,,,,,,,25.9,78.6,Database 2
20893,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Philippines,Office,Air Conditioned,,,,Female,-2.0,1.0,no change,1.0,no change,5.0,0.0,5.0,25.74,0.76,1.2,,,,,23.7,74.7,,,,,,,,,,,,,23.8,74.8,,,,,43.9,,,0.13,25.96,,,,,,,,,,,,,,25.9,78.6,Database 2
