,PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_h (¡C),Ta_m (¡C),Ta_l (¡C),Tg_h (¡C),Tg_m (¡C),Tg_l (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
147,-0.8,19,19.54,1.2,27,30.9,3.42,1,27,23,24,23.6,23.7,25.4,0,50
148,-1.4,55.33333333,18.33,1.6,28.8,16.66666667,5.38,2,28.8,26.6,26.4,29.4,27.6,23,1,50
149,-1.4,55.33333333,18.33,1.5,28.8,16.66666667,5.38,1,28.8,26.6,26.4,29.4,27.6,23,1,50
150,-0.666666667,19,20.23,1.3,27.1,22.1,4.26,1,27.1,25.4,25.7,27,26.5,22.2,1,50
151,-0.266666667,17.66666667,21.74666667,1.366666667,25.3,17.2,1.92,1,25.3,20.5,21.9,22.2,21.6,22,1,50
152,-1.2,37,16.82,1.7,25.3,17.2,1.92,-1,25.3,20.5,21.9,22.2,21.6,22,1,50
153,-0.7,14,21.58,1.4,24,14,0.46,0,24,22.7,22.9,22.5,22.9,19.4,0,50
154,-0.5,11,23.06,1.1,24.2,14,0.04,0,24.2,22.5,22.9,22.2,22.7,19.6,1,50
155,0.3,6,25.72,2,21.8,21.6,0.06,0,21.8,19.8,20.4,19.8,20.4,22,0,50
156,-0.9,24,20.35,1.3,25.8,20.7,2.22,2,25.8,23.5,24,25.6,23.8,22.96666667,1,50
157,-0.1,5,22.94,1.4,25.4,19.5,1.84,2,25.4,23.8,24,25.4,23.9,22.2,1,50
158,-1.2,35,19.32,1.4,24.9,16.7,2.94,2,24.9,23.8,23.9,24.4,23.9,23.2,1,50
159,-1.433333333,47,18.59,1.2,24.9,16.7,2.94,1,24.9,23.8,23.9,24.4,23.9,23.2,1,50
160,-3,99,12.65,1,24.4,16.2,6.54,0,24.4,23.4,23.4,23.7,23.5,22.73333333,1,50
161,-3,99,14.49,1,24.4,16.2,6.54,0,24.4,23.4,23.4,23.7,23.5,22.73333333,1,50
162,-2,75,16.7,1.2,24.8,16.2,5.64,0,24.8,23.1,22.5,23.2,23.2,22.73333333,0,50
163,-1.4,44,18.44,1.2,24.8,16.2,5.64,1,24.8,23.1,22.5,23.2,23.2,22.73333333,0,50
164,-2.2,86,15.73,1.3,24.8,16.2,5.64,1,24.8,23.1,22.5,23.2,23.2,22.73333333,0,50
165,0,5,22.56,1.6,24.7,17.6,5.28,0,24.7,23.2,21.9,23.5,23.4,22.73333333,0,50
166,-1.2,33,18.59,1.3,25.5,17.8,3.44,0,25.5,23.1,22.3,23.2,23.3,23.23333333,0,50
167,-1.2,35,18.3,1.7,24.3,18.1,2.54,0,24.3,23.3,22.7,23.6,23.5,23.33333333,0,50
168,-0.9,22,19.32,1.7,24.3,18.1,2.54,-1,24.3,23.3,22.7,23.6,23.5,23.33333333,0,50
169,-2.1,82,17.93,1.1,24.3,18.1,2.54,0,24.3,23.3,22.7,23.6,23.5,23.33333333,0,50
170,-2.9,99,16.72,1,24.3,18.1,2.54,0,24.3,23.3,22.7,23.6,23.5,23.33333333,0,50
171,-1.9,71,18.15,1.2,24.3,18.1,2.54,0,24.3,23.3,22.7,23.6,23.5,23.33333333,0,50
172,-1.9,70,17.1,1.3,24.7,17.5,3.1,1,24.7,23.2,23.9,23.5,23.5,22.7,0,50
173,-2.3,87,16.61,1.2,24.7,17.5,3.1,0,24.7,23.2,23.9,23.5,23.5,22.7,0,50
174,-3,99,14.38,1,24.7,17.5,3.1,0,24.7,23.2,23.9,23.5,23.5,22.7,0,50
175,0.6,12,25.89,1.8,25.5,17.1,0.79,0,25.5,23.7,24.3,24,24,23.1,0,50
176,-0.7,17,22.37,1,25.5,17.1,0.79,0,25.5,23.7,24.3,24,24,23.1,0,50
177,-0.9,23,21.03,1.2,25.5,17.1,0.79,0,25.5,23.7,24.3,24,24,23.1,0,50
178,-0.4,9,21.06,1.7,25.5,17.1,0.79,-1,25.5,23.7,24.3,24,24,23.1,0,50
179,-2.2,83,18.42,1,25.5,17.1,0.79,0,25.5,23.7,24.3,24,24,23.1,0,50
180,0.3,7,26,1.3,25.5,17.1,0.79,-2,25.5,23.7,24.3,24,24,23.1,0,50
181,-1.6,56,19.79,1,25.5,17.1,0.79,0,25.5,23.7,24.3,24,24,23.1,0,50
182,-1.2,37,20.5,1,24.3,16.2,1.95,0,24.3,23,23.4,23,23,22.2,0,50
183,-2.4,91,16.43,1.2,24.3,16.2,1.95,0,24.3,23,23.4,23,23,22.2,0,50
184,0.2,6,26.34,1.1,24.3,17.7,0.02,-1,24.3,22.6,22.9,23,23,21.8,0,77
185,0.8,19,27.78,1.5,26.3,50.6,0.08,1,26.3,26.7,27.2,26.9,26.7,26.4,1,77
186,0.2,6,25.51,1.1,26.6,45.8,0.09,0,26.6,26.3,26.7,27.2,26.8,26.3,1,77
187,0.7,14,27.12,1.4,26.5,45.7,0.1,1,26.5,26,26.3,27,26.4,25.9,0,77
188,-0.1,5,24.3,1.1,26.5,45.7,0.1,2,26.5,26,26.3,27,26.4,25.9,0,77
189,-0.1,5,24.72,1,26.8,47.3,0.1,0,26.8,26.4,26.7,27.3,26.8,26.3,0,77
190,0.7,15,27.27,1.5,26.2,47.9,0.09,0,26.2,26,26.6,26.6,26.4,26.1,1,77
191,-0.1,5,24.53,1.5,22,52.6,0.08,0,22,22.5,23.3,22.4,22.9,22.9,1,77
192,-0.4,8,23.58,1.3,22.1,52.4,0.08,0,22.1,22.6,23.3,22.6,23,23,1,77
193,-0.5,11,23.13,1.3,22.1,52.4,0.08,0,22.1,22.6,23.3,22.6,23,23,1,77
194,-0.2,6,24.45,1,25.9,48.1,0.07,0,25.9,25.6,25.9,26.4,26,25.5,1,77
195,0.5,11,26.37,1.5,26.1,23.7,0.09,0,26.1,25.8,26.3,26.5,26.2,25.9,1,77
196,0,5,24.92,1.1,26.1,23.7,0.09,1,26.1,25.8,26.3,26.5,26.2,25.9,1,77
197,-0.4,8,24.13,1,26.1,23.7,0.09,1,26.1,25.8,26.3,26.5,26.2,25.9,1,77
198,0.4,9,25.72,1.2,27.2,27.1,0.08,1,27.2,26.9,26.9,27.7,27.1,26.4,1,77
199,0.4,8,26.03,1.4,25.8,43.4,0.1,2,25.8,25.6,26,26.3,25.9,25.5,1,77
200,-0.1,5,24.78,1.1,25.7,40.5,0.1,0,25.7,25.6,26.1,26.4,26.1,25.8,1,77
201,0.4,9,26.15,1.2,26.4,49.4,0.07,0,26.4,25.9,25.8,27,26.2,25.4,1,77
202,0.3,7,25.18,1.5,25.1,57.4,0.32,1,25.1,25,25.4,25.7,25.4,25.2,0,77
203,-1,27,22.27,1,23.5,63.2,0.09,0,23.5,23.6,24.4,23.8,24,24,0,77
204,-0.8,18,22.88,1,23.5,63.2,0.09,0,23.5,23.6,24.4,23.8,24,24,0,77
205,-1.1,31,22.69,1,24.4,40.2,0.14,0,24.4,24.5,25,24.9,24.8,24.6,1,77
206,-1.1,30,22.77,1,24.4,40.2,0.14,-2,24.4,24.5,25,24.9,24.8,24.6,0,77
207,-0.5,9,23.67,1,25.6,47.4,0.07,0,25.6,25.2,25.4,26.4,25.6,24.9,0,77
208,-0.4,9,23.75,1,25.6,47.4,0.07,0,25.6,25.2,25.4,26.4,25.6,24.9,1,77
209,-0.1,5,24.55,1.1,25.6,47.4,0.07,0,25.6,25.2,25.4,26.4,25.6,24.9,1,77
210,0.7,15,26.87,1.7,25.9,52.6,0.09,2,25.9,25.6,26,26.3,26,25.7,1,77
211,-0.7,14,23.21,1,25.8,46.1,0.07,0,25.8,25.6,26,26.2,26,25.6,0,77
212,-0.1,5,24.47,1.2,25.2,45,0.07,0,25.2,25.1,25.8,25.9,25.6,25.3,1,77
