,PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_h (¡C),Ta_m (¡C),Ta_l (¡C),Tg_h (¡C),Tg_m (¡C),Tg_l (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
266,0.1,5,24.77,1.2,28.3,22.8,0.02,-1,28.3,23.3,23.8,22.9,23.4,22.7,0,41
267,0,5,24.41,1.2,28.3,22.8,0.02,0,28.3,23.3,23.8,22.9,23.4,22.7,0,41
268,0.166666667,6.333333333,25.21666667,1.366666667,28.6,22.6,0.02,-1,28.6,23.6,24,23.1,23.6,22.9,0,41
269,0.4,9,26.47,1.2,28.6,22.6,0.02,-1,28.6,23.6,24,23.1,23.6,22.9,0,41
270,0.1,5,24.84,1.2,27.6,22.6,0.01,-1,27.6,22.6,23.3,22.2,22.7,22.1,0,41
271,0,5,25.11,1,27.7,23.4,0.01,-1,27.7,22.5,23,22.1,22.6,21.9,0,41
272,0.3,6,25.71,1.2,27.9,23.4,0.01,-2,27.9,22.7,23.2,22.3,22.8,22.1,0,41
273,0.4,8,26.28,1.2,28,23,0.01,-1,28,22.9,23.4,22.5,22.9,22.2,0,41
274,0.4,8,26.42,1.2,27.8,37.4,0.01,-1,27.8,22.1,22.5,21.8,22.2,21.2,0,50
275,0.3,7,26.09,1.2,27.9,37.3,0.02,0,27.9,22.2,22.5,21.9,22.2,21.2,0,50
276,0.6,14,27.54,1.7,27.9,37.3,0.02,0,27.9,22.2,22.5,21.9,22.2,21.2,0,50
277,0.5,9,27.25,1.2,27.9,37.3,0.02,0,27.9,22.2,22.5,21.9,22.2,21.2,0,50
278,0.2,6,25.41,1.2,28,31.9,0.01,-2,28,22.5,22.9,22,22.5,21.7,0,50
279,1,25,29.95,1.7,28.5,30.5,0.01,0,28.5,22.9,23.2,22.5,22.9,21.9,0,50
280,0.6,12,27.44,1.3,28.5,30.7,0.01,0,28.5,22.9,23.1,22.5,22.8,21.8,0,50
281,0.1,5,24.72,1.2,28.5,30.7,0.01,-1,28.5,22.9,23.1,22.5,22.8,21.8,0,50
