,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Tg_h (¡C),Outdoor monthly air temperature (¡F)
22391,-1.173333333,34.40666667,21.62,0.61,1,21.7,45.3,0.16,0,21.46666667,70.7
22392,-1.173333333,34.40666667,21.62,0.65,1,21.7,45.3,0.16,0,21.46666667,70.7
22393,-0.813333333,24.04,22.58,0.65,1,22.1,46.2,0.046666667,0,20.63333333,70.1
22394,-1.45,49.45666667,20.83333333,0.61,1,22.1,46.2,0.046666667,-1,20.63333333,70.1
22395,-0.863333333,24.34666667,22.22,0.59,1,21,52.9,0.066666667,0,22.26666667,59.9
22396,-1.02,28.38,21.50666667,0.56,1,20.8,53.4,0.05,-1,20.66666667,59.5
22397,-1.02,28.38,21.50666667,0.71,1,20.8,53.4,0.05,-1,20.6,59.5
22398,-0.72,17.05,22.66,0.66,1.7,20.7,51.7,0.08,0,19.96666667,66.7
22399,1.533333333,51.60333333,31.41333333,0.51,5,21.5,51.9,0.05,1,20.76666667,66.4
22400,-1.32,43.17,20.69333333,0.43,1.1,20.2,50.4,0.06,0,22.1,61.9
22401,0.296666667,9.753333333,26.47666667,0.62,1,25.3,44.7,3.333333333,1,24.7,56.2
22402,0.433333333,13.59666667,27.26,0.69,1.7,25.2,45.5,0.013333333,1,24.7,54.3
22403,0.433333333,13.59666667,27.26,0.69,1.7,25.2,45.5,0.013333333,1,24.7,54.3
22404,-1.983333333,69.56333333,18.81666667,0.64,2,18.6,59.6,0.146666667,2,21.86666667,64
22405,-0.533333333,28.95333333,24.17666667,0.48,1.1,21,57,0.046666667,0,20.76666667,67.6
22406,-0.566666667,11.89333333,22.93333333,0.62,1,23.1,57.5,0.033333333,1,21.9,64.8
22407,-0.4,10,23.84333333,0.76,2,22.2,58.3,0.12,2,21.7,55.7
22408,-0.4,9,23.71,0.53,0.8,21.2,59.9,0.11,1,21.2,55.9
22409,-0.713333333,17.35,22.67,0.91,1,20.6,57.9,0.05,0,20.6,60.7
22410,-1.166666667,36.49,21.37,0.47,1,22.23333333,48.5,0.063333333,0,21.8,63.5
22411,-0.803333333,19.19,22.59333333,0.66,1,22.3,54.4,0.123333333,0,22.36666667,72.2
22412,-0.443333333,9.433333333,23.25,0.27,1,25.2,54.4,0.206666667,2,25.43333333,58.3
22413,1.106666667,42.16333333,31.51,0.22,2.6,24.1,58.4,0.05,2,22.56666667,67.2
22414,-0.133333333,6.666666667,24.70333333,0.69,5,23,70.8,0.07,1,23.26666667,67.9
22415,-0.58,14.88333333,23.28,0.79,1,22,58.3,0.056666667,1,21.7,69.6
22416,-0.653333333,17.35,23.03333333,0.5,1,22,58.3,0.04,2,21.7,69.3
22417,-0.28,8.276666667,24.38,0.53,1,22.4,62.2,0.063333333,1,22.23333333,65.7
22418,-0.316666667,7.15,23.50666667,0.61,5,22.9,67.9,0.166666667,-1,24.13333333,65
22419,-0.4,8,23.78,0.63,1,22.8,67.8,0.08,1,21.16666667,64.7
22420,-1.24,37.90666667,21.42333333,0.5,1,22.2,64.5,0.106666667,1,21.96666667,68.8
22421,-1.383333333,44.58333333,21.02,0.84,1,22.2,64.5,0.093333333,0,21.96666667,68.8
22422,-1.383333333,44.66333333,21.15,0.49,1,22.1,63.8,0.07,0,23.1,62.3
22423,1.14,69.89333333,30.53333333,0.52,5,20,63.8,0.063333333,0,24.06666667,61.1
22424,-0.583333333,17.21333333,23.05333333,0.51,1,21.9,48.8,0.05,-1,22.66666667,61.1
22425,-1.26,38.34333333,20.83,0.56,1.2,20,63.8,0.06,-1,23.7,61.1
22426,-1.133333333,36.51333333,21.18666667,0.57,2,20.2,49.8,0.05,0,20.7,58.5
22427,-2.493333333,82.60333333,16.51333333,1.08,1,18.5,62.9,0.35,2,21.86666667,58.3
22428,-1.26,38.34333333,20.83,0.86,1.1,20,63.8,0.06,0,20.73333333,65.5
22429,-1.276666667,39.43333333,21.29333333,0.64,0.8,22.1,63.8,0.053333333,-2,21.96666667,65.3
22430,-1.663333333,59.92333333,20.01666667,0.58,1.1,20.06666667,44.2,0.183333333,0,19.9,59.3
22431,-0.756666667,17.31333333,22.46666667,0.7,1,23.1,53.1,0.05,1,22.8,72.7
22432,-0.456666667,10.23,23.34333333,0.67,1,23.1,53.1,0.046666667,1,22.8,72.7
22433,-0.606666667,17.31,23.27666667,0.67,1,21.8,56,0.053333333,1,21.7,72.9
22434,-0.513333333,14.20666667,23.65,0.7,1,21.8,56,0.07,0,21.7,72.9
22435,-0.693333333,15.65333333,22.76666667,0.45,1.1,23.5,39.3,0.063333333,2,23.8,67.4
22436,-0.533333333,14.73666667,23.60666667,0.65,1.1,22,55,0.086666667,0,21.9,77.9
22437,0.29,42.24666667,26.98,0.49,5,22.5,63.8,0.093333333,2,21.86666667,67
22438,-1.276666667,39.43333333,21.29333333,0.58,1,22.5,63.8,0.053333333,-1,22.23333333,66.9
22439,0.206666667,47.62,26.73,0.58,5,22.5,63.8,0.07,0,22.23333333,66.9
22440,-1.09,30.31,21.49666667,0.73,1.2,20,63.8,0.07,1,21.66666667,66.5
22441,-1.26,38.34333333,20.83,0.41,1,20,63.8,0.06,-1,21.76666667,66.4
22442,-0.79,20.55666667,22.49,0.65,1,20,65.6,0.05,1,21.86666667,64
22443,-0.79,20.55666667,22.49,0.59,2,20.1,65.6,0.05,1,21.86666667,63.6
22444,-1.08,35.59,21.98,0.75,1,22.3,43.8,0.133333333,-1,21.56666667,69.6
22445,0.21,7.526666667,25.88,0.8,1,25.1,52.1,0.04,0,25.13333333,70.3
22446,0.856666667,47.74666667,28.83333333,0.27,3.4,21.5,56.7,0.046666667,2,21.7,66.9
22447,-1.206666667,37.13,21.42,0.74,1,21.4,57.4,0.046666667,1,21.3,67
22448,-1.153333333,33.41333333,21.60666667,0.64,1,20.3,63.6,0.07,1,21.86666667,61.1
22449,-0.493333333,10.05666667,23.36333333,0.47,2,21.2,62.4,0.06,2,24.2,61.1
22450,-0.576666667,11.45,23.29333333,0.55,1.1,22.5,60.7,0.05,-1,22.43333333,65.7
22451,-0.28,8.19,24.48333333,0.76,1,22.3,60.7,0.073333333,1,22.5,65.5
22452,-0.24,7.47,24.27333333,0.5,1,23.3,55.9,0.033333333,-1,22.06666667,74.1
22453,-0.503333333,10.39666667,23.29333333,0.8,1,23.3,55.9,0.04,1,21.9,74.1
22454,1.866666667,67.27666667,32.37333333,0.66,5,21.6,53.9,0.063333333,1,20.6,65.9
22455,-0.216666667,14.38333333,24.76,0.54,1,24.1,48.2,0.036666667,0,24,83
22456,0.363333333,7.86,26.15333333,0.6,1.1,26.4,47.6,0.046666667,2,25.66666667,79.7
22457,-0.43,10.48333333,23.24666667,0.6,1.1,25.1,49.8,0.57,1,25.7,78.3
22458,-0.4,9.676666667,23.58,0.53,1,26,61.1,0.063333333,2,23.83333333,92.4
22459,-0.283333333,9.836666667,23.57333333,0.22,1.5,30.2,52,0.37,2,25.66666667,86.6
22460,0.436666667,30.92666667,27.58666667,0.37,1,28.6,63.8,0.08,2,23.83333333,83.9
22461,0.296666667,32.38333333,26.95,0.47,1,27.9,56.3,0.243333333,2,24.76666667,89.4
22462,0.436666667,30.92666667,27.58666667,0.5,1,28.8,63.8,0.08,2,23.83333333,83.9
22463,0.436666667,30.92666667,27.58666667,0.44,1.1,29,63.8,0.08,2,23.83333333,83.9
22464,0.303333333,24.00333333,27.17666667,0.52,1,26.3,60.6,0.08,2,23.83333333,83.4
22465,0.303333333,24.00333333,27.17666667,0.54,1,26.4,60.3,0.08,2,23.83333333,83
22466,-0.266666667,13.96333333,24,0.51,0.8,25.8,48.8,0.293333333,2,25.7,75.3
22467,-1.11,31.23,21.52666667,0.57,1,20,63.8,0.08,2,20.73333333,64.7
22468,-1.09,30.31,21.49666667,0.74,1.2,20,63.8,0.07,1,20.73333333,64.7
22469,-0.5,9,23.38,0.62,2,23.5,63.2,0.08,2,22.73333333,69.8
22470,1.126666667,42.07666667,29.88333333,0.6,4,22.4,59.1,0.033333333,2,22.36666667,65.2
22471,0.87,31.15666667,28.85,0.6,1.1,26.1,44.5,0.046666667,1,24.7,83.2
22472,1.936666667,70.19666667,32.86333333,0.6,5,22.3,56.7,0.063333333,1,21.7,72.5
