,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Tg_h (¡C),Outdoor monthly air temperature (¡F)
0,-0.546666667,11.74666667,23.08,0.72,1.466666667,23.5,37.9,0.06,1,19.5,39
1,0.2,6,26.1,0.7,2,19.9,39.7,0.1,1,19,39
2,0.8,18,31.68,1.38,2,20.7,42.8,0.07,2,18.2,39
3,0.866666667,21.66666667,32.21666667,1.38,2,21.7,40.03333333,0.076666667,2,19.26666667,39
4,0.9,24,32.47,1.38,2,22.1,39.7,0.05,2,19.5,39
5,1,25,32.61,1.38,2,23.2,35.7,0.09,2,20.4,39
6,1.1,29,33.34,1.38,2,21.9,44.3,0.05,2,20.8,39
7,1.1,29,33.42,1.38,2,22.5,45.3,0.06,2,20.6,39
8,0.9,23,32.5,1.38,2,22.3,37.6,0.11,2,20.1,39
9,1,25,32.7,1.38,2,22.9,37.3,0.07,2,20.2,39
10,0.8,19,31.84,1.38,2,22.3,39.6,0.09,2,18.8,39
11,0.1,5,24.62,0.56,2,22.6,39,0.06,0,18.6,39
12,0.6,12,28.4,0.83,2,22,39.8,0.05,0,20.2,39
13,0.6,12,28.68,0.9,2,22.1,39.7,0.05,0,19.5,39
14,0.8,18,30.45,1.05,2,21.9,42.7,0.07,0,20.3,39
15,0.6,13,28.86,0.8,2,21.9,44.3,0.05,0,20.8,39
16,0.6,14,28.89,0.8,2,22.5,45.3,0.06,0,20.6,39
17,0.6,12,28.42,0.8,2,22.3,37.3,0.09,0,20.8,39
18,0.2,6,25.62,0.56,2,22.9,37.3,0.07,1,20.2,39
19,1,25,31.9,1.12,2,22.3,39.6,0.09,1,22.2,39
20,-0.7,15,22.06,1.08,1.3,20.5,36.8,0.32,-2,20.6,39
21,-0.7,14,22.09,1.08,1.4,19.3,39.5,0.37,-2,19.3,39
22,0.3,7,27.46,1.66,1.4,21.3,36.1,0.4,-1,21.6,39
23,0.5,10,29.3,1.66,1.7,19.6,40.6,0.39,0,19.6,39
24,-0.5,10,22.46,0.9,1.6,19.9,42,0.37,-1,19.8,39
25,-0.3,6,23.46,0.9,1.7,19.9,44.6,0.43,0,20.1,39
26,-0.3,7,23.53,1,1.4,21,40.5,0.4,-1,21,39
27,-0.4,9,23.1,1,1.3,21.5,38.5,0.39,0,21.4,39
28,-0.1,5,24.62,1.34,1.4,21.2,34.8,0.32,-1,20.7,39
29,-0.9,20,21,1,1.4,19.4,39.3,0.34,-1,18.4,39
30,-0.3,6,23.83,1.33,1.4,20.5,37.2,0.4,-1,19.1,39
31,-1.4,45,18.76,0.75,1.4,19.7,40.3,0.4,-1,18.8,39
32,-1.2,37,19.53,0.75,1.4,19.9,42.2,0.37,-1,19.1,39
33,-1.1,31,20.43,0.75,1.4,19.2,44.3,0.4,-1,19.6,39
34,-0.4,8,23.13,1,1.4,21,40.5,0.4,-2,20.6,39
35,-0.9,24,20.85,0.81,1.4,20.2,38.9,0.44,-1,20,39
36,-0.9,22,20.73,1,1.3,21.8,34.1,0.32,-2,20.4,39
37,-1.2,33,19.91,1,1.3,19.3,39.5,0.37,-2,18.3,39
38,-0.6,12,22.16,1,1.5,19.8,43.1,0.41,-1,19.1,39
39,-1.066666667,32.33333333,20.55666667,0.57,1.2,19.9,44.3,0.4,2,19.6,39
40,-0.9,23,20.83,1,1.3,21.2,34.8,0.32,1,20.7,39
41,-1.1,31,20.07,1,1.3,19.3,39.5,0.37,-1,18.3,39
42,-1,28,19.95,1,1.3,21.3,36.1,0.4,0,19.3,39
43,-1.2,35,20.08,1,1.2,19.6,40.6,0.39,-1,18.8,39
44,-0.7,14,22.3,1,1.3,21,40.5,0.4,-1,20.6,39
45,-0.7,16,22.12,0.71,1.5,21.5,38.5,0.39,0,20.8,39
46,-1.093333333,36.81666667,21.14,0.65,1.3,20.2,41,0.44,0,20,39
47,-1.5,54,19.06,0.78,1.2,21.8,34.1,0.32,-2,22.3,39
48,-2.1,83,17.11,0.78,1.2,19.1,38.9,0.41,-1,19,39
49,-1.7,62,18.52,0.78,1.2,20.3,37.7,0.4,0,20.4,39
50,-1.7,62,18.56,0.78,1.2,19.8,39.9,0.39,-1,19.7,39
51,-1.5,54,19.08,0.78,1.2,19.8,43.1,0.41,-1,19.8,39
52,-1.1,33,20.2,0.78,1.4,19.4,47,0.45,0,19.6,39
53,-0.666666667,15.33333333,22.26333333,0.696666667,1.2,21.3,39.7,0.4,0,21.2,39
54,-1,25,20.96,0.78,1.3,21.5,38.3,0.4,0,21.5,39
55,-1.093333333,36.81666667,21.14,0.67,1.2,20.2,41,0.44,0,20.3,39
56,-0.3,7,24.21,0.75,1.2,20.5,47.5,0.05,-1,22.3,39
57,-0.2,6,23.84,0.75,1.2,24.5,39.5,0.08,0,22,39
58,-0.1,5,24.2,0.75,1.2,25,38.8,0.07,0,22.8,39
59,-0.1,5,24.57,0.75,1.2,24.9,41.8,0.09,0,23.2,39
60,-0.1,5,24.38,0.75,1.2,23.9,47.1,0.07,0,22.5,39
61,-0.1,5,24.64,0.75,1.2,24.4,44.4,0.08,1,23.2,39
62,0.7,14,28.96,1.33,1.2,24.8,38.3,0.09,1,23.4,39
63,0.6,14,28.85,1.33,1.2,25.4,36.6,0.11,1,23.5,39
64,-0.1,5,24.36,0.75,1.2,25.4,32.9,0.09,0,23.7,39
65,0.1,5,25.59,0.9,1.2,24.9,40,0.05,0,23,39
66,-0.1,5,24.61,0.9,1.2,25.6,38.5,0.1,0,22.3,39
67,-0.4,9,22.99,0.6,1.2,25,38.8,0.07,0,22.8,39
68,-0.366666667,8.333333333,23.61333333,0.806666667,1.2,24.9,41,0.1,0,23.4,39
69,-0.5,10,22.85,0.6,1.2,24,46,0.09,0,22.5,39
70,0.233333333,7.666666667,26.57,0.61,1.166666667,24.4,44.4,0.08,0,23.2,39
71,-0.6,12,22.74,0.5,1.2,24.5,39.3,0.1,0,23.2,39
72,-0.3,7,23.82,0.6,1.2,25.4,36.8,0.11,0,23.6,39
73,-0.4,8,23.3,0.66,1.2,24.4,35.4,0.08,0,22.8,39
74,-0.3,7,23.43,0.62,1.2,25.2,39.5,0.06,-1,23.1,39
75,-0.6,13,22.22,0.62,1.2,24.9,39.4,0.09,0,21.9,39
76,-0.4,8,23.08,0.62,1.2,25.1,38.3,0.08,0,22.8,39
77,-0.4,8,23.53,0.62,1.2,24.9,41,0.1,0,23.4,39
78,-0.4,9,23.13,0.62,1.2,23.8,46.4,0.07,-1,22.4,39
79,-0.3,6,23.74,0.62,1.2,24.4,44.3,0.08,-1,23.5,39
80,-0.2,6,23.94,0.62,1.2,24.8,38.3,0.09,0,23.4,39
81,-0.3,6,23.98,0.62,1.2,25.4,36.8,0.11,0,23.6,39
82,-0.2,6,23.98,0.77,1.1,25.6,38.9,0.06,2,23.3,39
83,-0.4,9,23.3,0.77,1.2,23.3,40.6,0.08,2,21.6,39
84,-0.3,7,23.53,0.69,1.2,25.2,38.1,0.09,2,22.8,39
85,0.2,6,26,0.92,1.2,24.3,43.2,0.08,1,23.1,39
86,-0.2,6,24.28,0.77,1.2,23.8,46.4,0.07,2,22.4,39
87,-0.106666667,7.266666667,24.68666667,0.77,1.3,23.9,46.2,0.08,2,22.8,39
88,-0.1,5,24.24,0.72,1.2,25.2,39.5,0.06,0,23.1,39
89,-0.4,9,23.06,0.72,1.2,24.9,39.4,0.09,0,21.9,39
90,0,5,25.08,0.87,1.2,25.1,39.3,0.08,0,22.8,39
91,0,5,25.25,0.87,1.2,24.6,42.2,0.08,0,23.2,39
92,-0.1,5,24.88,0.87,1.2,24.2,44.6,0.09,-1,22.8,39
93,0.2,6,26.21,0.97,1.2,24.8,38.3,0.09,0,23.4,39
94,0.2,6,26.21,0.97,1.2,25.2,36.7,0.11,0,23.5,39
95,-0.7,16,22.21,0.6,1,25.6,38.9,0.06,0,23.3,39
96,-0.9,22,21.6,0.6,1.1,24.1,39.6,0.08,1,22.2,39
97,0.4,9,27.51,1.33,1.1,25.1,39.3,0.08,0,22.8,39
98,0.4,8,27.37,1.33,1.1,23.6,44.2,0.08,-1,22.4,39
99,0.5,11,28.41,1.44,1.1,24.2,44.6,0.08,0,22.8,39
100,0.5,11,28.3,1.44,1.1,23.5,47.3,0.06,-1,22.4,39
101,-0.2,6,24.33,0.75,1.1,24.4,39.9,0.08,0,23.1,39
102,-0.2,6,24.54,0.75,1.1,24.8,37.1,0.13,0,23.6,39
103,0.2,6,26.2,1.14,1.1,25.4,32.9,0.09,1,23.7,39
104,0.7,14,29.04,1.41,1.2,25.2,39.5,0.06,0,23.1,39
105,-0.3,7,23.67,0.77,1.2,24.9,38.5,0.1,2,22.3,39
106,-0.1,5,24.44,0.79,1.2,25.1,38.3,0.08,0,22.8,39
107,-0.366666667,8.333333333,23.61333333,0.79,1.333333333,24.9,41,0.1,0,23.4,39
108,-0.1,5,24.75,0.81,1.2,23.8,46.8,0.07,0,22.4,39
109,-0.1,5,24.93,0.81,1.2,24.4,44.6,0.1,0,23.2,39
110,0,5,24.66,0.75,1.2,25.6,38.9,0.06,1,23.3,39
111,-0.4,8,23.31,0.75,1.2,24.9,39.4,0.09,1,21.9,39
112,-0.2,6,24.01,0.75,1.2,25.2,38.1,0.09,2,22.8,39
113,-0.1,5,24.67,0.75,1.2,24.6,42.2,0.08,2,23.2,39
114,-0.1,5,24.62,0.72,1.2,24.7,38,0.09,0,23.2,39
115,-0.1,5,24.73,0.72,1.2,25.2,36.7,0.11,0,23.5,39
116,0.2,6,26.24,1,1.2,25.4,32.9,0.09,0,23.7,39
117,0.1,5,25.04,0.8,1.2,25.6,38.9,0.06,-1,23.3,39
118,-0.3,7,23.67,0.77,1.2,24.5,39.5,0.08,0,22,39
119,-0.2,6,24.01,0.75,1.2,25.2,38.1,0.09,0,22.8,39
120,-0.1,5,24.67,0.75,1.2,24.6,42.2,0.08,-1,23.2,39
121,0.2,6,26.14,1,1.2,23.8,46.4,0.07,0,22.4,39
122,0.3,7,26.66,1,1.2,24.4,44.3,0.08,0,23.5,39
123,0,5,24.85,0.75,1.2,24.7,38,0.09,0,23.2,39
124,0,5,24.96,0.75,1.2,25.2,36.7,0.11,0,23.5,39
125,0.2,6,26.24,1,1.2,25.4,32.9,0.09,-1,23.7,39
126,0.3,7,26.34,1,1.2,25.2,39.5,0.06,2,23.1,39
127,0,5,25.26,1,1.2,24.9,39.4,0.09,2,21.9,39
128,0.5,11,27.84,1,1.2,22.8,38.3,0.08,1,26.8,39
129,0.5,11,27.87,1,1.2,23.2,41.8,0.09,2,26.1,39
130,0.1,5,25.54,0.9,1.2,25.4,32.9,0.09,2,23.7,39
131,0.1,5,26.24,0.75,1.5,20.5,47.5,0.05,1,22.3,39
132,-0.2,6,23.81,0.75,1.3,24.9,39.4,0.09,-1,21.9,39
133,0.5,10,27.65,0.9,1.5,25.2,38.1,0.09,-1,22.8,39
134,0.5,10,27.53,0.9,1.4,24.7,42.1,0.08,1,23.6,39
135,0,5,24.86,0.75,1.3,23.8,46.4,0.07,0,22.4,39
136,0.1,5,25.32,0.75,1.3,24.4,44.6,0.09,1,23.5,39
137,0.1,5,25.81,0.88,1.2,24.7,38,0.09,0,23.2,39
138,0.2,6,26.41,0.88,1.3,24.8,37.1,0.13,1,23.6,39
139,-0.2,6,24,0.62,1.3,25.4,32.9,0.09,1,23.7,39
140,-1.2,48.08,21.45333333,0.893333333,1.566666667,20.5,47.5,0.05,2,22.3,39
141,-0.6,13,23.73,1,1.2,16.1,43.8,0.03,-2,20.6,39
142,-1,25,21.75,0.72,1.2,18.4,42.5,0.04,2,19.9,39
143,-0.8,18.66666667,22.65,1,1.566666667,16.8,41.2,0.04,1,20.4,39
144,-0.4,9,23.84666667,1.03,1.633333333,19.8,44,0.05,1,20.8,39
145,-1,25,21.85,0.72,1.2,18.9,45.1,0.04,1,20,39
146,-0.4,8,23.76,0.72,1.2,21.6,40.3,0.06,2,21.6,39
147,-0.9,22,22.14,0.73,1.2,19.4,40.9,0.05,0,19.9,39
148,-0.5,10,24,1,1.2,17.7,42.2,0.03,-2,22.4,39
149,-0.5,11,23.63,1,1.2,18.5,42.7,0.04,-2,19.8,39
150,-0.5,10,23.78,0.75,1.3,19.2,41.8,0.05,-1,21.5,39
151,-0.1,5,25.13,1,1.3,20.3,40.3,0.05,-1,20.4,39
152,-0.9,22,22.42,0.78,1.2,17.7,42.2,0.03,-2,22.4,39
153,-0.8,18,22.47,0.78,1.3,18.5,42.8,0.04,-1,19.8,39
154,-0.6,13,23.33,0.78,1.2,19.3,41.7,0.05,-1,21.2,39
155,-0.2,6,24.87,0.78,1.4,19.8,43.8,0.05,1,21,39
156,-0.7,15,22.54,0.78,1.3,19.5,44.1,0.05,-1,19.5,39
157,-0.3,7,23.89,0.78,1.4,20.3,44.5,0.05,0,20.2,39
158,-0.1,5,24.88,0.78,1.5,20.6,39.5,0.05,-1,20.5,39
159,0.6,11,28.15,0.78,1.8,21.9,38.7,0.05,1,21.7,39
160,-0.7,14,22.89,0.78,1.2,20.3,40.3,0.05,-1,20.4,39
161,-1.3,41,20.42,0.78,1.2,17.9,42.4,0.04,-2,17.8,39
162,-0.5,10,23.41,0.78,1.3,19.3,41.7,0.05,-1,19.3,39
163,-0.566666667,12.66666667,22.94,0.81,1.3,19.8,43.6,0.05,0,19.8,39
164,-0.866666667,20.33333333,21.94,0.883333333,1.4,19.4,44,0.04,0,19.4,39
165,-0.5,10.33333333,23.37666667,0.833333333,1.6,20.3,44.5,0.05,0,20.5,39
166,-0.5,12,23.41333333,0.883333333,1.4,19.7,43,0.05,0,19.7,39
167,-1.023333333,29.44333333,21.63,0.836666667,1.3,21.8,39.5,0.07,0,21.9,39
168,-0.466666667,10.66666667,23.76666667,0.813333333,1.3,20.3,40.3,0.05,-1,20.3,39
169,-1.1,30,21.14,0.81,1.2,18,42.6,0.05,-2,18,39
170,-0.7,14,22.72,0.81,1.3,18.7,42.4,0.05,-2,18.8,39
171,-0.3,7,24.33,0.81,1.4,19.2,41.8,0.05,-2,19.2,39
172,-0.5,11,23.45,0.81,1.3,19.7,44,0.05,-2,19.8,39
173,-0.8,18,22.26,0.81,1.2,19.6,45,0.04,-1,19.6,39
174,-0.5,10,23.46,0.81,1.2,20.3,45,0.05,-1,20.4,39
175,-0.4,9,23.69,0.81,1.2,21,39.6,0.05,0,21,39
176,-0.2,6,24.49,0.81,1.2,21.8,38.2,0.04,1,21.8,39
177,-0.5,11,23.32,0.81,1.2,20.3,40.3,0.05,0,20.3,39
178,-0.7,14,22.83,0.78,1.4,17.2,48.3,0.05,0,17.5,39
179,-1.6,56,19.65,0.78,1.2,16.4,50.4,0.04,-1,16.5,39
180,-1.3,38,20.86,0.78,1.2,17.8,49,0.04,0,18.1,39
181,-1.1,33,21.37,0.78,1.2,17.7,50.5,0.05,1,18,39
182,-1,27,21.76,0.78,1.1,18.5,53.5,0.05,1,18.5,39
183,-1.3,42,20.67,0.78,1.1,18.7,52.4,0.05,2,19,39
184,-0.7,16,22.63,0.78,1.2,19.5,53.5,0.05,2,20.1,39
185,-0.4,9,23.74,0.78,1.2,21.4,39.9,0.04,2,22.4,39
186,0,5,25.48,0.78,1.4,21.4,43.5,0.07,2,22.1,39
187,-0.8,19,22.46,0.78,1.2,19.1,47.3,0.05,2,19.4,39
188,-0.3,6,24.88,1,1.6,15.6,48,0.03,-2,15.6,39
189,-0.3,7,24.24,1,1.4,17.8,49,0.04,-1,18.1,39
190,-0.3,7,24.06,0.75,1.6,17.7,50.5,0.05,0,18,39
191,-0.4,9,23.56,0.75,1.4,18.5,53.5,0.05,-1,18.8,39
192,0.2,6,26.59,0.75,1.8,19.1,47.3,0.05,0,19.4,39
193,-0.1,5,25.85,1.13,1.6,15.8,50.2,0.03,-1,16.1,39
194,0.1,5,26.81,1.08,1.6,17.6,50.4,0.05,0,17.9,39
195,-0.5,9,23.55,0.77,1.4,18.5,50.8,0.05,0,18.8,39
196,0.5,9,28.28,1.13,1.4,20.9,41.2,0.05,0,21.9,39
197,-1.3,42,20.41,0.78,1.2,16.4,50.4,0.04,-2,18.3,39
198,-0.8,20,22.03,0.78,1.3,17.5,49.5,0.05,0,18.8,39
199,-1.1,32,21.51,0.78,1.2,17.7,50.5,0.05,-1,19.6,39
200,-0.8,19,22.45,0.78,1.2,18.5,53.5,0.05,0,20.1,39
201,-1,27,22.06,0.78,1.1,18.7,52.4,0.05,0,20.5,39
202,-0.8,19,22.75,0.78,1.1,19.3,54,0.05,0,21.2,39
203,-0.8,19,22.52,0.78,1.1,21.2,40.2,0.05,0,21.3,39
204,-0.6,11,23.64,0.78,1.1,20.6,45.4,0.05,0,22.1,39
205,-0.8,18,22.95,0.78,1.1,19.1,47.3,0.05,0,21.3,39
206,-1.5,50,20,0.75,1.2,16.4,50.4,0.04,-1,18.3,39
207,-1.2,37,20.74,0.75,1.2,17.8,49,0.04,-1,18.8,39
208,-0.6,12,23.57,1,1.2,17.7,50.5,0.05,-1,19.6,39
209,-0.9,21,22.3,0.75,1.2,18,53.2,0.05,0,20.1,39
210,-1.5,53,20.3,0.47,1.2,18.6,51.3,0.04,0,20.5,39
211,-0.5,10,23.71,0.75,1.3,19.4,53.7,0.04,-1,21.2,39
212,-0.5,9,23.56,0.75,1.2,21.2,40.2,0.05,-1,21.3,39
213,-0.2,6,24.54,0.75,1.2,21.4,43.5,0.07,-1,22.3,39
214,-0.6,13,23.45,0.75,1.2,19.1,47.3,0.05,-1,21.3,39
215,-1.7,64,19.24,0.66,1.2,16.4,50.4,0.04,-2,18.3,39
216,-1.033333333,33.66666667,21.53666667,0.663333333,1.2,18.1,47.7,0.04,-1,18.8,39
217,-1.2,36,20.96,0.7,1.2,17.4,49.1,0.04,-1,19.1,39
218,-1,26,21.79,0.7,1.2,18.5,52.8,0.05,1,20.1,39
219,-0.9,22,22.26,0.7,1.2,18.7,52.4,0.05,1,20.5,39
220,-1.286666667,41.5,21.27666667,0.98,1.633333333,19.3,54,0.05,1,21.2,39
221,-0.7,14,22.78,0.72,1.2,20.7,43.8,0.05,1,20.8,39
222,-0.7,16,22.99,0.72,1.2,19.1,46.8,0.05,1,21.2,39
223,0,5,25.43,1,1.3,21.1,48.9,0.04,0,20.8,39
224,-0.2,6,24.52,1,1.2,21.1,50.8,0.05,-2,20.9,39
225,-0.2,6,24.53,0.84,1.2,22.2,53.5,0.05,0,22,39
226,-0.1,5,24.81,0.84,1.2,22.4,54.6,0.05,-1,22.3,39
227,0.1,5,26.1,1,1.2,22.3,45.8,0.06,0,22.3,39
228,0.3,6,26.58,1,1.2,23.1,45.7,0.06,0,23,39
229,-0.8,18,21.9,0.81,1.4,17.6,50.6,0.03,-2,17.9,39
230,-0.4,8,23.72,0.84,1.4,19.7,52.1,0.05,0,19.5,39
231,-0.1,5,24.82,0.84,1.4,21.3,49.3,0.05,-1,21,39
232,-0.7,15,22.63,0.84,1.1,21.3,53,0.06,0,21.2,39
233,-0.4,8,23.63,0.75,1.2,22.2,53.5,0.05,-2,22,39
234,-0.1,5,24.94,0.84,1.2,22.7,54.5,0.05,1,22.7,39
235,0.1,5,25.78,0.84,1.4,21.8,47.7,0.06,0,21.8,39
236,-0.5,9,23.38,1,1.3,19.7,47.6,0.05,-2,19.4,39
237,-0.4,8,23.92,1,1.3,19.7,52.1,0.05,0,19.5,39
238,-0.1,5,25.23,1,1.3,21.2,49.4,0.04,0,20.9,39
239,0,5,25.68,1,1.3,21.3,53,0.06,0,21.2,39
240,-0.2,6,24.41,0.75,1.3,22.2,53.4,0.05,0,22,39
241,0,5,25.15,0.75,1.3,22.8,54.8,0.05,0,22.8,39
242,-0.1,5,24.75,0.75,1.3,22.6,45.9,0.05,0,22.6,39
243,0,5,25.27,0.75,1.3,23.1,44.8,0.06,1,23.1,39
244,-0.3,6,24.18,0.75,1.3,21.8,47.7,0.06,0,21.8,39
245,-0.9,23,21.45,0.75,1.2,20,48.2,0.05,0,19.8,39
246,-1,25,21.4,0.75,1.2,19.7,52.1,0.05,-1,19.5,39
247,-0.6,13,22.66,0.75,1.2,21.2,49.1,0.06,0,21,39
248,-0.5,10,23.26,0.75,1.2,21.3,53,0.07,0,21.3,39
249,0,5,25.28,0.9,1.2,22.2,53.4,0.05,1,22,39
250,0.1,5,25.76,0.9,1.2,22.7,54.5,0.05,1,22.7,39
251,-0.3,7,23.97,0.72,1.2,22.5,45.6,0.06,0,22.4,39
252,-0.1,5,24.66,0.72,1.2,23.1,44.8,0.06,1,23.1,39
253,-0.2,6,24.57,0.84,1.2,21.8,47.7,0.06,0,21.8,39
254,-1.2,37,20.5,0.62,1.2,20.1,49.7,0.03,2,19.8,39
255,-0.6,13,22.74,0.7,1.2,21.3,52.7,0.06,2,21.2,39
256,0,5,24.98,0.7,1.3,22.7,54.5,0.05,2,22.7,39
257,0.1,5,25.68,0.7,1.4,23.1,44.8,0.06,2,23.1,39
258,-0.6,12,23,1,1.2,20,48.2,0.05,-1,19.8,39
259,-0.4,9,23.38,0.72,1.3,21.3,49.3,0.05,1,21,39
260,0.3,7,26.91,1,1.3,22.1,53.6,0.06,2,22.1,39
261,-0.3,7,24.01,0.72,1.2,22.5,45.7,0.05,-1,22.5,39
262,-1.73,63.13666667,19.55333333,1,1.3,17.6,51.1,0.03,-2,15.4,39
263,-1.303333333,43.01,20.71333333,1,1.366666667,20.3,49.8,0.04,0,20,39
264,-0.49,10.18,23.26,0.75,1.533333333,21.7,51.9,0.04,0,21.7,39
265,0,5,25.28333333,0.73,1.5,22.7,54.5,0.05,0,22.8,39
266,-0.2,7,24.48666667,0.636666667,1.133333333,22.5,45.6,0.06,0,22.2,39
267,-0.746666667,19.94666667,22.46333333,0.75,1.266666667,22.2,45.6,0.05,2,23.1,39
268,-0.2,6.666666667,24.50666667,0.75,1.433333333,21.8,47.7,0.06,0,21.8,39
269,-0.5,11,23.04,0.73,1.2,21.3,49.3,0.05,1,21.5,39
270,-0.5,10,23.25,0.73,1.2,21.3,53,0.07,2,21.6,39
271,-0.2,6,24.24,0.78,1.2,22,52.8,0.05,2,22,39
272,0,5,25.19,0.78,1.2,22.8,54.8,0.05,-1,22.9,39
273,-0.3,7,23.99,0.73,1.2,22.3,45.8,0.06,2,22,39
274,-0.1,5,24.84,0.73,1.2,23.3,45.5,0.06,1,23.2,39
275,0,5,25.54,0.98,1.2,21.8,47.7,0.06,-1,21.8,39
276,-1.1,29,20.9,0.73,1.2,19.7,47.6,0.05,-1,19.4,39
277,-1.2,34,20.85,0.73,1.2,19.6,51.7,0.04,0,19.6,39
278,-0.5,10,23.15,0.7,1.3,21.3,49.3,0.05,0,21.6,39
279,-0.6,14,22.66,0.7,1.2,21.3,53,0.07,1,21.6,39
280,-0.4,9,23.38,0.66,1.2,22.1,52.8,0.05,0,22.3,39
281,-0.3,7,23.86,0.66,1.2,22.7,54.5,0.05,1,22.8,39
282,-0.4,9,23.39,0.66,1.2,22.5,45.6,0.06,0,22.2,39
283,-0.2,6,24.37,0.66,1.2,23.3,45.5,0.06,-1,23.2,39
284,-0.5,10,23.2,0.66,1.2,21.8,47.7,0.06,0,21.8,39
285,0,5,26.36,1.64,1.2,19.4,47.6,0.05,0,18.3,39
286,0.2,6,27.36,1.64,1.1,21.2,49.1,0.06,1,19.4,39
287,0.4,9,28.41,1.64,1.2,21.3,53,0.06,0,20.1,39
288,-0.5,11,22.97,0.91,1.1,22.1,52.8,0.05,0,20.5,39
289,-0.2,5,24.57,0.91,1.2,22.5,53.9,0.05,0,21,39
290,-0.2,6,24.58,0.91,1.2,22.3,45.8,0.06,0,21.2,39
291,-2.1,80,18.71,0.72,1,19,47.8,0.03,0,19,39
292,-0.5,11,22.86,0.75,1.2,22.2,53.5,0.05,-1,20.5,39
293,-0.3,7,23.79,0.75,1.2,22.7,54.5,0.05,1,21.2,39
294,-0.7,15,22.61,0.83,1,22.3,45.8,0.06,-1,21.2,39
295,0.2,5,25.86,0.83,1.3,23.3,45.4,0.06,0,22.3,39
296,-0.4,9,23.56,0.75,1.2,21.8,47.7,0.06,0,21.8,39
297,-1.2,35,20.52,0.75,1.2,19,47.8,0.03,-1,19,39
298,-1,28,20.98,0.75,1.2,19.7,52.1,0.05,1,18.8,39
299,-0.2,6,24.35,0.75,1.6,20.5,49.1,0.04,2,18.8,39
300,-0.7,15,22.24,0.75,1.2,21.2,52.5,0.05,0,20,39
301,-0.6,13,22.48,0.75,1.2,21.9,52.3,0.04,0,20,39
302,-0.3,7,23.63,0.75,1.2,22.8,55.1,0.05,1,21.2,39
303,-0.1,5,24.77,0.9,1.2,22.5,45.6,0.06,-1,21.3,39
304,0,5,25.47,0.9,1.2,23.1,44.8,0.06,0,22.1,39
305,-1.1,28,20.77,0.81,1.2,19.4,47.6,0.05,0,18.3,39
306,-0.8,19,21.6,0.75,1.3,19.9,51.1,0.05,0,18.8,39
307,-0.8,17,21.69,0.74,1.3,21.2,49.1,0.06,1,19.4,39
308,-0.6,14,22.38,0.74,1.2,21.3,52.4,0.06,0,20.2,39
309,-0.5,10,22.93,0.75,1.2,22.1,52.8,0.05,2,20.5,39
310,-0.3,7,23.72,0.75,1.2,22.8,55.1,0.05,2,21.2,39
311,-0.5,10,23.08,0.7,1.2,22.3,45.8,0.06,0,21.2,39
312,-0.2,6,24.07,0.7,1.2,23.3,45.5,0.06,0,22.3,39
313,-0.3,7,23.97,0.79,1.2,21.8,47.7,0.06,0,21.3,39
314,-1.3,40,19.95,0.72,1.2,19.4,47.6,0.05,-1,18.3,39
315,-1.3,38,20.67,0.72,1.2,17.7,52.1,0.05,2,18.8,39
316,-0.8,18,21.76,0.72,1.2,21.3,49.3,0.05,0,19.6,39
317,-0.5,10,22.91,0.72,1.3,21.3,53,0.07,-1,20.3,39
318,-0.6,13,22.51,0.72,1.2,22,52.5,0.05,-1,20.4,39
319,-0.3,7,23.71333333,0.646666667,1.2,22.8,54.8,0.05,1,21.2,39
320,-0.5,9,23.24,0.72,1.2,22.3,45.8,0.06,-1,21.2,39
321,-0.2,6,24.16,0.72,1.2,23.1,44.8,0.06,0,22.1,39
322,-0.516666667,16.54666667,23.42666667,0.813333333,1.3,21.8,47.7,0.06,-1,21.3,39
323,-0.9,22,21.35,0.85,1.3,19.4,47.6,0.05,-2,18.3,39
324,-0.8,20,21.55,0.85,1.2,20.1,49.2,0.04,-2,18.7,39
325,-0.2,6,24.25,1.05,1.2,21.3,49.3,0.05,-1,19.6,39
326,-0.1,5,25.14,1.05,1.3,21.1,48.9,0.04,0,19.9,39
327,-0.2,6,24.34,0.8,1.3,22.1,52.8,0.05,0,20.5,39
328,-0.4,8,23.42,0.8,1.2,22.1,53,0.05,0,20.7,39
329,0.2,6,26.38,1.08,1.3,22.3,45.8,0.06,-1,21.2,39
330,0.1,5,26.17,1.08,1.2,22.6,45.9,0.05,-1,21.4,39
331,-2.6,96,17.3,0.75,1,15.8,50.6,0.03,-1,16,39
332,-1.6,57,19.63,0.75,1.1,18.1,47.7,0.04,-1,18.3,39
333,-0.8,18,22.37,1,1.2,17.4,49.1,0.04,0,17.6,39
334,-0.7,16,22.76,1,1.2,17.5,50.9,0.04,0,17.6,39
335,0.003333333,8.026666667,25.77666667,1,1.366666667,20.9,41.2,0.05,0,21.9,39
336,0.1,5,26.13,1,1.2,21.6,40.4,0.06,1,22.6,39
337,-0.8,17,22.66,0.75,1.2,19.1,47.3,0.05,0,19.4,39
338,-1.1,31,21.09,1,1.3,16.8,46.7,0.18,-1,17.3,39
339,-1.2,36,20.26,1,1.2,20,36.5,0.22,-2,19.8,39
340,-1.4,43,18.69,0.75,1.4,20.1,39,0.18,-1,16.9,39
341,-1,26,20.44,0.75,1.4,19,40.9,0.1,-1,17.3,39
