PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
0,5,25.33,0.86,1.2,22,31.5,0,0,23.5,23.3,1,41.3
0.1,5,25.6,0.78,1.3,22.7,29.4,0,0,23.1,23,0,41.3
-0.1,5,25.32,0.95,1.2,21.8,32.7,0,0,22.1,22.1,-1,41.3
0.8,17,29.53,0.85,2,21.4,32.7,0,-2,22.5,22.3,-1,41.3
-0.3,7,24.23,0.73,1.2,22.2,30.9,0,0,22.9,22.8,0,41.3
-0.4,8,23.91,0.68,1.2,22.3,34.2,0,0,22.8,22.7,2,43.9
0,5,25.82,0.98,1.2,21.8,34.9,0,0,22.8,22.6,1,43.9
0.1,5,26,1.04,1.2,21.6,34.8,0,0,22.3,22.3,0,43.9
0.1,5,25.59,0.82,1.2,23,33.9,0,0,23.5,23.5,1,43.9
-0.2,6,24.51,0.62,1.2,23.4,33.5,0,0,24,23.9,0,43.9
0,5,25.08,0.68,1.2,23.5,32.9,0,0,24.1,24.1,0,43.9
0.3,7,26.55,0.85,1.3,22.7,34.9,0,0,23.8,23.6,0,43.9
0.4,8,26.96,0.98,1.2,23.2,33.2,0,0,24.1,24,0,43.9
0.4,9,27.53,1.08,1.2,23.2,34,0,-1,23.9,23.8,2,43.9
0.6,12,28.18,0.95,1.4,23.2,33.2,0,0,24.5,24.4,0,43.9
0.6,12,27.62,0.77,1.4,24,31.5,0,-1,24.9,24.7,0,43.9
0.2,6,25.9,0.73,1.2,23.8,29.6,0,0,25.1,25,1,43.9
-0.1,5,24.89,0.75,1.2,22.7,29.5,0,0,23.6,23.5,1,43.9
0.3,7,26.89,0.99,1.2,23,29.9,0,-1,24.5,24.1,1,43.9
0.6,12,28.18,0.91,1.6,22.5,33.4,0,0,23.2,23.1,0,43.9
0.7,16,29.03,0.88,1.7,22.9,32.5,0,-1,23.8,23.6,0,43.9
0,5,25.46,0.78,1.2,23.1,32.2,0,0,23.9,23.8,0,43.9
-0.3,7,24.21,0.69,1.2,22.2,34.4,0,0,23.5,23.2,0,43.9
-0.2,6,24.53,0.63,1.2,23.3,32.8,0,0,24,23.9,0,43.9
0.2,5,25.94,0.82,1.2,23.2,33.1,0,0,24.3,24.1,0,43.9
0.4,8,26.98,0.98,1.2,23.5,31.9,0,1,24,23.9,0,43.9
0.4,8,26.68,0.86,1.2,24.1,31.1,0,1,24.6,24.5,0,43.9
0.6,12,27.81,0.75,1.6,23.4,33.2,0,0,24.3,24.3,0,43.9
0.2,6,26.59,1,1.2,22.1,49.3,0,0,23.1,22.8,0,52.8
-0.2,6,24.44,0.68,1.2,22.5,48.1,0,0,23.1,23,1,52.8
0.4,9,27.58,0.97,1.3,22.2,48.4,0,0,23.9,23.4,0,52.8
0.6,12,28.24,0.78,1.6,22.4,48,0,0,23.7,23.4,0,52.8
-0.1,5,25.06,0.73,1.2,22.6,47.1,0,-1,23.7,23.4,0,52.8
0.6,13,28.25,0.72,1.7,22.7,47.3,0,0,23.5,23.4,0,52.8
0.7,16,29.49,0.99,1.6,22.6,47.1,0,0,23.3,23.3,0,52.8
-0.2,6,24.53,0.68,1.2,22.5,47.4,0,0,23.4,23.2,3,52.8
0.3,7,26.65,0.72,1.5,22.1,48.9,0,1,23.3,23.2,-1,52.8
0.2,6,26.39,0.93,1.2,22.3,48.2,0,-1,23.6,23.3,0,52.8
-0.2,6,24.61,0.67,1.2,22.5,47.4,0,0,23.7,23.5,0,52.8
0.1,5,25.78,0.78,1.2,22.8,46.7,0,0,24.2,23.9,0,52.8
0.8,20,30.07,1.01,1.6,23.3,45.3,0,-1,24,23.9,0,52.8
-0.2,6,24.51,0.63,1.2,22.9,46.6,0,0,23.7,23.6,0,52.8
0.7,15,29.21,0.86,1.7,22.3,49.5,0,0,23.3,23.1,0,52.8
0.3,7,26.95,1.02,1.2,22.3,50.5,0,0,23.1,23,0,52.8
0.9,20,30.16,0.86,1.8,22.6,49.6,0,1,23.5,23.4,1,52.8
0.3,7,26.23,0.56,1.6,22.8,50.7,0,0,23.5,23.4,0,52.8
-0.3,7,24.07,0.75,1.2,22.1,23.8,0,0,22.6,22.5,0,30.9
-0.1,5,25.11,0.82,1.2,22.8,22.6,0,0,23.2,23.2,0,30.9
0.7,17,28.38,0.67,1.9,23.3,22,0,0,23.8,23.7,0,30.9
1,24,30.34,0.9,2,22.9,21.9,0,0,23.5,23.5,0,30.9
0.3,6,26.48,0.98,1.2,23.3,23.5,0,0,23.5,23.5,1,30.9
0,5,25.29,0.72,1.2,23.8,21.4,0,1,24.5,24.3,1,30.9
0.4,8,26.92,0.96,1.2,23.8,21.7,0,1,24.5,24.5,2,30.9
0.1,5,25.45,0.66,1.3,23.5,20.6,0,0,24.6,24.4,0,30.9
0.6,12,28.16,1.17,1.2,23.8,20.7,0,0,24.8,24.6,0,30.9
0,5,25.19,0.68,1.2,23.9,20.7,0,0,24.7,24.6,0,30.9
0.2,6,25.64,0.65,1.3,24.1,20.9,0,0,24.5,24.5,0,30.9
0,5,25.03,0.68,1.2,23.7,21.2,0,0,24.5,24.4,1,30.9
0.4,8,27.04,0.98,1.2,23.7,20,0,0,24.8,24.7,1,30.9
0.1,5,25.48,0.68,1.4,22.8,21.8,0,0,23.2,23.1,0,30.9
0.4,9,27.28,0.94,1.4,23,21.4,0,0,23.6,23.6,0,30.9
0,5,25.48,0.87,1.2,22.9,20.8,0,0,23.3,23.3,0,30.9
0.2,6,26.19,0.9,1.2,23.4,20.2,0,1,24.2,24.1,1,30.9
0.2,6,26.42,0.95,1.2,23.2,26.2,0,0,23.7,23.7,1,30.9
0.5,10,27.03,0.62,1.8,22.8,22.3,0,0,23.7,23.5,0,30.9
0.1,5,25.66,0.71,1.3,23.5,22,0,0,24,24,0,30.9
-0.1,5,25.05,0.73,1.2,23.3,21.8,0,-1,24.1,24,1,30.9
0,5,25.1,0.68,1.2,23.9,21.2,0,1,24.4,24.4,3,30.9
0.2,6,26.36,0.93,1.2,23.4,19.4,0,0,24.3,24.1,0,30.9
0.5,10,27.13,0.8,1.4,23.7,19.6,0,0,24.4,24.3,2,30.9
0.6,14,28.13,0.92,1.4,24.1,19,0,0,24.5,24.5,0,30.9
0.1,5,25.4,0.68,1.2,24.5,19,0,1,24.8,24.7,0,30.9
0.9,23,29.92,0.92,1.8,23.6,19.6,0,0,24.7,24.6,0,30.9
-0.2,6,24.84,0.87,1.2,21.6,22.3,0.1,0,22.6,22.2,0,33
0.5,11,27.91,0.88,1.7,21.9,22,0,0,22.5,22.3,1,33
0.5,10,27.86,0.97,1.6,21.9,21.9,0,0,23.2,22.8,0,33
0.1,5,25.99,1.06,1.2,21.9,20.9,0,0,22.7,22.5,1,33
0.4,8,27.12,0.98,1.4,22.3,19.8,0,0,22.4,22.4,1,33
0.2,6,26.52,1.11,1.2,22.4,19.8,0,0,22.9,22.7,0,33
0.5,9,27.83,0.98,1.6,21.6,20.7,0,-1,23.2,22.9,0,33
0.2,6,26.7,1.14,1.2,22.1,20.1,0,-1,23.1,22.9,0,33
-0.1,5,25.3,0.95,1.2,22.1,20.5,0,0,22.4,22.4,0,33
-0.2,6,24.8,0.87,1.2,22,20.8,0,0,22.7,22.5,0,33
0,5,25.12,0.78,1.4,21.9,21.4,0,-1,22.1,22.1,1,33
-0.3,7,24.32,0.82,1.2,21.8,22.1,0,0,22.5,22.3,0,33
-0.1,5,25.21,0.95,1.2,21.6,22.1,0,0,23,22.5,0,33
0.6,11,27.36,0.52,2.4,20.1,26.7,0,0,20.7,20.6,0,33.3
0.1,5,26.24,1.09,1.3,20.8,26,0,0,21.5,21.3,3,33.3
-0.2,6,24.36,0.72,1.4,20.7,28.7,0,0,21.5,21.3,-1,33.3
0.3,7,27.17,0.79,1.7,18.8,30.5,0.1,0,23.2,21.4,1,33.3
0.5,10,28.12,1.02,1.6,21.7,27.7,0,0,22.2,22.2,0,33.3
0.7,15,28.96,0.82,2,21.2,25.9,0,0,22.1,22,0,33.3
0.5,9,27.36,0.76,1.7,22,25.4,0,0,22.5,22.5,1,33.3
0.4,9,27.23,0.77,1.7,22.2,25.2,0,0,22.6,22.6,0,33.3
0.8,17,29.93,1.09,1.8,21.6,25.7,0,-2,22.2,22.1,1,33.3
-0.4,8,23.87,0.73,1.2,21.9,24.6,0,0,22.6,22.5,0,33.3
0.5,10,27.87,0.96,1.6,21.9,26.5,0,0,22.7,22.6,0,33.3
0.1,5,26.38,1.13,1.2,21.9,24.3,0,-2,22.3,22.2,1,33.3
0.2,6,26.2,0.7,1.7,21,26.2,0,0,21.7,21.7,0,33.3
0.4,9,27.55,0.9,1.6,22.1,26.7,0,0,22.9,22.7,0,33.3
0,5,25.73,0.93,1.3,21.3,26.8,0,-1,22.3,22.2,0,33.3
0.8,17,29.32,0.83,2,21.5,27.6,0,0,22.3,22.2,1,33.3
0.4,8,27.53,0.96,1.6,21.3,28.6,0,-1,22.5,22.1,0,33.3
0.6,12,28.47,0.94,1.7,21.3,26.8,0,0,22.3,22,1,33.3
0.4,8,27.4,0.96,1.6,20.8,27.4,0,0,23,22.3,0,33.3
0.1,5,26.15,1.08,1.2,21.7,26.9,0,-1,22.5,22.4,1,33.3
-0.1,5,25.27,0.82,1.2,22.7,24.7,0.1,0,23.4,23.1,0,39
0.4,8,27.35,1.09,1.2,23.2,23.9,0.1,0,23.8,23.6,0,39
-0.3,7,24.13,0.68,1.2,22.6,25.1,0,0,23.3,23.2,0,39
-0.1,5,25.02,0.81,1.2,22.4,26.1,0,-1,23.5,23.3,0,39
0.7,15,28.87,0.95,1.7,22.6,24.5,0,-1,23.2,23,0,39
-0.2,5,24.89,0.87,1.2,21.9,25.3,0,-1,23,22.6,1,39
0.1,5,25.72,0.9,1.2,22.8,24.2,0,0,23.6,23.3,0,39
0.1,5,25.95,0.89,1.2,23,22.2,0,0,24.1,23.9,1,39
0.3,7,27.01,1.08,1.2,23,22.5,0,0,23.7,23.6,0,39
-0.2,6,24.61,0.68,1.2,22.6,23.7,0.1,0,24,23.4,0,39
0.1,5,25.38,0.67,1.4,22.9,22.8,0,0,23.8,23.6,0,39
0,5,25.13,0.73,1.2,22.9,25.5,0,0,24.7,24.3,0,39
0.1,5,25.11,0.6,1.3,23.8,21.9,0,0,24.5,24.3,0,39
0,5,25.5,0.77,1.2,23.2,22.9,0.1,0,24.2,23.8,0,39
0.2,6,26.21,0.82,1.2,23.7,22,0.1,0,24.8,24.3,-1,39
-0.2,6,24.56,0.73,1.2,22.7,22.6,0,0,23.5,23.4,1,39
-0.2,6,24.58,0.73,1.2,22.8,24,0,-1,23.4,23.3,1,39
-0.2,6,24.54,0.73,1.2,22.7,24,0,-1,23.5,23.3,0,39
0.2,6,26.14,0.93,1.2,23.1,21.8,0,0,23.8,23.7,0,39
0.1,5,25.84,0.87,1.2,23.5,21.5,0,1,23.6,23.6,0,39
0.3,7,26.45,0.78,1.4,23.8,21.5,0,0,23.6,23.6,0,39
0.3,7,26.67,0.93,1.2,23.9,21.4,0,1,24.5,24.3,0,39
0.2,6,26.51,1.03,1.2,22.6,23.7,0,1,23.7,23.4,1,39
0.3,7,26.99,1.08,1.2,23.2,25.6,0.1,1,23.3,23.2,0,39
0.8,18,29.59,0.86,2,21.6,30.8,0,1,21.9,21.9,1,39.1
0.9,23,30.02,0.72,2.3,21.6,32.7,0,0,22.2,22.1,1,39.1
0.7,15,29.29,0.86,2,20.7,35.3,0,-1,21.5,21.4,0,39.1
-0.1,5,25.43,1.03,1.2,21.4,30.7,0,-1,21.6,21.6,1,39.1
-0.1,5,25.14,0.93,1.2,21.7,32.2,0,0,22.2,22.1,0,39.1
0,5,25.23,0.66,1.6,21.5,30.6,0,0,22.1,22,3,39.1
-0.5,10,23.54,0.68,1.2,21.9,30.3,0,0,22.5,22.4,0,39.1
0.5,10,27.95,0.94,1.6,22.4,30.2,0,-1,22.5,22.4,0,39.1
0.8,18,29.8,1,1.8,22.3,29.8,0,0,22.4,22.4,1,39.1
0.1,5,25.62,0.89,1.2,22.7,30.3,0,0,23.1,23,1,39.1
0.4,9,27.28,0.77,1.6,22.9,29.3,0.1,0,23.4,23.2,0,39.1
0.1,5,26.31,1.03,1.2,21.9,32.4,0,0,23.3,23,1,39.1
-0.1,5,24.85,0.76,1.2,22.5,30.4,0,0,23.7,23.4,0,39.1
-0.1,5,24.84,0.82,1.2,22.2,31.8,0,-1,22.9,22.7,0,39.1
0.6,14,28,0.71,1.7,23.6,28,0,0,23.4,23.4,0,39.1
0.5,11,28.32,1.01,1.7,21.2,19.7,0.03,1,21.4,21.4,0,24
0.4,9,27.78,1.05,1.6,21.3,20.2,0.03,0,21.8,21.6,-1,24
0.2,6,26.78,1.31,1.2,21.1,20,0.03,-2,21.5,21.4,0,24
0.3,7,27.4,1.11,1.4,21.2,20.3,0.04,0,21.7,21.6,0,24
0.3,7,27.07,1.06,1.4,21.8,19.1,0.03,1,22.3,22.1,0,24
-0.2,6,24.52,0.82,1.2,22,19.4,0.04,-1,22.6,22.4,0,24
0.5,11,28.19,1.01,1.6,22.2,19.5,0.04,0,22.8,22.6,1,24
0,5,25.36,0.85,1.3,21.5,18.2,0.05,-1,22.8,22.3,0,24
-0.5,11,23.47,0.65,1.2,21.9,17.5,0.05,1,22.9,22.6,1,24
0.1,5,25.47,0.72,1.5,21.8,17.4,0.05,-1,22.6,22.3,0,24
0.4,8,27.85,1.38,1.2,21.2,29.9,0.05,0,22.2,21.9,0,24
0.5,10,27.69,0.77,1.9,20.8,18.6,0.05,-2,21.5,21.3,1,24
-0.2,6,25,0.93,1.2,21.3,18.1,0.07,0,22.6,22.1,0,24
0.1,5,25.76,0.93,1.3,22,20.9,0.03,1,22,22,1,24
-0.2,6,24.41,0.77,1.2,22.4,21.3,0.03,0,22.8,22.7,1,24
0.6,13,28.18,0.74,2,21.3,20.6,0.04,0,22,21.8,1,24
0.5,11,28.29,1.05,1.6,22.1,21.4,0.03,0,22.3,22.3,1,24
0.2,6,26.26,1.03,1.2,22.4,21.6,0.03,1,23,22.9,1,24
0.4,8,27.14,1.03,1.3,22.6,22.4,0.04,0,23.1,22.9,1,24
0,5,25.94,1.08,1.2,21.6,22,0.03,-2,22.3,22.1,1,24
-0.6,12,23.12,0.57,1.2,22.4,34.1,0.03,0,22.7,22.6,0,61.66666667
0.1,5,25.81,0.87,1.2,23.1,33.8,0.04,0,23.1,23.1,1,61.66666667
0.4,8,27.16,1.03,1.2,23.8,31.3,0.03,0,23.4,23.5,1,48.53333333
0.4,8,27.11,1.02,1.2,23.6,32.1,0.05,0,23.6,23.6,0,61.66666667
-0.2,6,24.42,0.73,1.2,22.4,34.3,0.03,0,22.9,22.7,0,62.96666667
0.3,7,26.87,1.03,1.2,23.3,32.9,0.05,0,23.1,23.2,0,61.66666667
0.1,5,25.66,0.78,1.2,23.7,32.2,0.04,0,23.8,23.7,0,61.66666667
0.7,16,29.97,1.42,1.4,22.7,33.4,0.04,0,22,22.2,0,61.66666667
0,5,25.71,0.97,1.2,21.8,35.1,0.04,0,22.4,22.2,0,61.66666667
0.3,7,27.02,1.11,1.2,22.1,34.4,0.06,0,23,22.7,0,61.66666667
0.1,5,25.42,0.67,1.3,23.6,31.9,0.07,1,23.5,23.5,1,62.33333333
0.5,9,27.74,1.19,1.2,22.9,32.3,0.04,0,23.1,23,0,61.66666667
-0.1,5,24.76,0.73,1.2,23.8,31.3,0.03,0,22.7,23,1,61.66666667
0.4,9,27.28,1.08,1.2,23.7,32,0.05,0,23,23.3,0,61.66666667
0.1,5,25.63,0.78,1.2,23.3,32.9,0.08,0,23.9,23.7,1,61.66666667
0.3,6,26.33,0.85,1.2,23.5,31.4,0.04,0,24.3,24,1,64.86666667
-0.1,5,24.69,0.63,1.2,24,29.9,0.04,2,23.8,23.9,1,49.4
0.3,7,26.61,0.98,1.2,23.4,32.2,0.04,-1,23.2,23.3,0,52.66666667
0.1,5,25.7,0.82,1.2,23,30.2,0.05,0,23.8,23.6,0,62.2
0.1,5,25.47,0.7,1.4,23.6,27.8,0.04,0,22.6,22.9,0,61.66666667
0,5,25.12,0.78,1.2,23.4,28.3,0.05,0,23.1,23.2,1,61.66666667
0.5,10,27.87,1,1.4,22.8,27,0.03,0,23.7,23.4,0,61.66666667
-0.1,5,25.16,1.04,1.2,22.7,20.2,0.19,-1,21.7,22.2,1,38.9
0.4,8,27.32,1.03,1.4,22.9,19.9,0.08,-2,22.6,22.7,0,38.9
0.4,8,27.1,1.02,1.3,22.7,20.9,0.05,0,23.2,23,1,38.9
0.4,9,27.33,0.99,1.4,23.1,20,0.03,0,23,23,1,38.9
0.5,11,28.18,0.97,1.6,23.1,20.1,0.1,-1,22.9,23,0,38.9
-0.2,6,24.51,0.73,1.2,23.4,18.5,0.1,0,23,23.2,0,38.9
0,5,25.13,0.58,1.6,23.4,19.4,0.13,0,22.6,23,0,38.9
0.4,8,27.31,1.12,1.2,23.9,20.8,0.09,-2,23.3,23.5,0,38.9
0.5,11,28.38,1.33,1.2,23.3,19.7,0.09,-2,23.4,23.4,0,38.9
-0.2,6,24.71,0.78,1.2,22.8,19.4,0.08,0,23,22.9,0,38.9
0.4,8,26.89,0.91,1.4,23.1,17.5,0.04,0,23.3,23.3,1,38.9
0.3,6,26.77,1.03,1.2,22.8,19.5,0.1,0,23.9,23.4,0,38.9
0.4,8,26.58,0.67,1.6,23.5,16.9,0.05,0,24.1,23.9,0,38.9
0.5,10,27.68,1,1.3,23.4,19.4,0.06,0,24.4,24,0,38.9
0.1,5,26.05,0.95,1.6,19.2,16.9,0.08,-2,20,19.7,2,16.8
-0.2,6,25.04,1.13,1.2,20.4,14.4,0.03,0,20.7,20.7,1,16.8
-0.6,12,23.26,0.81,1.2,21,16,0.03,0,21,21,0,16.8
-0.1,5,25.2,1.13,1.2,20.9,18.9,0.04,-1,20.6,20.7,0,16.8
0.7,16,29.68,1.1,1.8,21.6,15.3,0.03,0,22,21.9,0,16.8
0.1,5,26.02,0.94,1.4,21.5,13.6,0.04,0,22.2,22,0,16.8
-0.1,5,25.44,1,1.2,21.8,13,0.02,1,22.6,22.4,0,16.8
0.7,14,29.5,1.37,1.5,22.1,12.9,0.02,0,21.9,22,1,16.8
-0.2,6,24.81,0.81,1.2,22.3,15.1,0.03,0,23.3,23,0,16.8
0,5,25.55,1.02,1.2,21.7,14.2,0.05,-1,22.5,22.2,1,16.8
0.2,6,26.17,0.87,1.6,21,19.6,0.04,0,21.4,21.2,0,16.8
0.3,6,26.34,0.8,1.6,22.2,14.2,0.04,0,22.4,22.4,0,16.8
0.6,14,28.87,0.99,1.8,21.5,15.5,0.08,0,21.9,21.8,0,16.8
-0.6,12,23.23,0.73,1.2,21.7,15.4,0.03,1,21.6,21.6,-1,16.8
0,5,25.59,1.11,1.2,21.6,13.8,0.07,0,21.5,21.5,0,20
-0.1,5,25.08,1.03,1.2,21.4,14.8,0.02,-1,21.5,21.5,0,20
-0.4,8,24,0.78,1.2,22,16,0.04,0,22.2,22.2,0,20
0,5,25.82,1.1,1.2,21.6,14.1,0.04,0,22.1,21.9,1,20
-0.4,9,23.82,0.73,1.2,22.3,14.3,0.06,0,22.4,22.4,0,20
0.2,6,26.27,1.03,1.2,23.1,12,0.04,0,23.2,23.1,1,20
0.3,6,26.8,1.16,1.2,22.7,12,0.03,0,22.9,22.8,0,20
0.4,8,26.77,0.83,1.6,22.6,11.6,0.03,0,22.9,22.8,1,20
-0.4,9,23.75,0.72,1.2,22.1,13.8,0.03,-1,22.5,22.4,0,20
0.5,10,27.78,0.96,1.6,22.3,15.2,0.04,0,23,22.8,0,20
0.1,5,26.23,1.04,1.2,23,13.5,0.09,0,23,23,0,20
-0.2,6,24.52,0.73,1.2,23.5,15.2,0.04,0,23.1,23.2,0,20
0.1,5,25.56,0.82,1.2,23.8,13.2,0.06,0,23.9,23.9,0,20
0.5,11,26.7,0.53,1.8,23.9,13.5,0.04,0,24.3,24.2,1,20
0.7,15,27.99,0.7,1.8,23.8,13.5,0.03,1,24.2,24.1,-1,20
0.2,6,26.19,0.93,1.2,23.4,12.6,0.06,0,24,23.8,0,20
0.4,8,26.5,0.66,1.6,23.6,13.3,0.06,1,24.3,24,3,20
-0.3,7,24.24,0.72,1.2,23.1,15.6,0.1,-1,22.9,23,0,20
1.1,29,30.31,0.76,2.2,23.5,17.1,0.04,1,23.8,23.7,0,20
0.3,7,26.11,0.66,1.6,23.2,15.7,0.05,0,23.5,23.4,1,20
0.1,5,25.63,0.81,1.2,23.5,18.5,0.04,2,24.1,23.9,0,20
0.1,5,26.26,1.28,1.2,20.9,19.5,0.02,0,20.9,20.9,0,26.1
0.9,22,30.23,0.87,2.3,21.1,18,0.03,0,21.3,21.2,3,26.1
0.5,10,28.34,1.13,1.6,21.4,18.8,0.05,-1,21.8,21.7,1,26.1
0.8,17,29.64,0.97,2,21.3,16.9,0.04,-1,21.4,21.4,0,26.1
0.5,9,27.86,1.02,1.6,21.8,21.3,0.04,0,22.1,22,0,26.1
0.1,5,25.96,1.01,1.2,22.5,20.1,0.04,0,22.7,22.6,0,26.1
0.3,7,26.63,0.91,1.4,22.1,20.2,0.03,1,22.5,22.4,3,26.1
0.2,6,26.53,1.12,1.2,22.1,20.4,0.04,-1,22.7,22.5,-1,26.1
-0.3,7,24.24,0.82,1.2,21.5,20.2,0.05,0,22.3,22.1,1,26.1
0.8,20,29.94,0.93,2,21.8,18.3,0.07,0,22.5,22.2,1,26.1
0.3,7,26.31,0.73,1.6,22.9,20.8,0.05,-1,22.7,22.8,2,26.1
0.3,6,26.65,0.87,1.6,21.1,22.5,0.06,0,22.1,21.7,1,26.1
-0.5,11,23.49,0.73,1.2,21.3,22.6,0.03,0,22.2,21.9,0,26.1
0.2,6,25.93,0.75,1.6,21.9,19.5,0.04,0,22.3,22.1,1,26.1
0.3,7,27,1.17,1.2,22.4,19.8,0.04,0,22.9,22.8,2,26.1
0.5,10,27.65,0.95,1.6,22.4,19.7,0.04,0,22.5,22.4,0,26.1
0.2,6,26.32,1.02,1.2,22.6,19.4,0.05,1,23.3,23.1,1,26.1
0.3,7,27.22,1.1,1.3,22.1,20.1,0.04,-1,22.8,22.6,0,26.1
0.2,6,26.35,1.03,1.2,22.6,18.7,0.04,0,23.3,23.1,0,26.1
-0.3,8,24.16,0.87,1.2,21.4,18.2,0.04,0,21.6,21.6,1,31.1
-0.1,5,25.09,0.97,1.2,21.7,19.3,0.04,-1,22,21.9,1,31.1
0.5,9,27.4,0.82,1.7,22,19.6,0.09,0,21.9,22,0,31.1
0.3,7,26.86,0.97,1.4,22.1,19.5,0.03,0,22.1,22.1,0,31.1
0.1,5,25.84,0.98,1.2,22.4,18,0.04,0,23,22.8,0,31.1
0,5,25.53,1.03,1.2,21.6,29.7,0.07,0,21.7,21.7,0,31.1
-0.3,7,24.37,0.93,1.2,21.3,18.7,0.04,0,21.3,21.3,0,31.1
0.1,5,25.87,1.03,1.2,22.1,18.5,0.03,0,22.6,22.5,0,31.1
-0.1,5,25.5,1.06,1.2,21.5,17.3,0.08,-2,21.8,21.7,0,31.1
-0.2,6,24.79,0.93,1.2,21.9,18.2,0.05,0,21.8,21.9,2,31.1
0.6,12,27.97,0.74,2,21.7,20.1,0.03,0,22,21.9,0,31.1
-0.4,8,24.11,0.82,1.2,21.4,19,0.03,-1,22.2,22,0,31.1
-0.2,6,24.72,0.93,1.2,21.9,17.9,0.06,0,21.7,21.8,0,31.1
0.6,11,28.09,0.88,1.8,21.7,14.7,0.04,0,22.4,22.2,1,31.1
0.1,5,25.91,1.1,1.2,21.9,17.1,0.04,0,21.9,21.9,3,31.1
-0.2,6,24.51,0.73,1.2,22.6,29.3,0.09,0,23,22.9,0,40.3
0.3,6,26.58,1,1.2,22.9,29.3,0.04,1,23.3,23.2,1,40.3
-0.3,7,24.1,0.72,1.2,22.4,30.8,0.04,0,22.5,22.5,0,40.3
0.3,7,27,1.04,1.2,22.9,29.6,0.05,0,23.7,23.4,1,40.3
0.3,7,26.84,1.03,1.2,23,28.5,0.06,0,23.4,23.3,2,40.3
0.2,6,26.57,1.03,1.2,22.7,30,0.03,0,23.1,23,1,40.3
0.7,15,28.65,0.83,1.7,23.2,28.8,0.03,1,23.7,23.6,0,40.3
0.3,7,27.07,1.15,1.2,22.3,30.6,0.03,0,22.8,22.6,2,40.3
0.1,5,25.67,0.82,1.2,23.4,28.2,0.04,1,23.7,23.6,2,40.3
0.6,13,28.82,1.38,1.2,23.2,28.7,0.04,1,23.1,23.1,0,40.3
0,5,25.35,0.8,1.2,23,28.8,0.03,-1,23.5,23.4,1,40.3
0.3,7,26.63,0.73,1.4,23.2,28.9,0.12,0,23.9,23.6,0,40.3
0.2,6,26.08,0.85,1.3,22.7,29.5,0.03,0,22.9,22.9,0,40.3
0,5,25.4,0.82,1.2,22.9,30,0.03,0,23.3,23.2,1,40.3
-0.1,5,24.87,0.68,1.2,23.8,27.2,0.04,0,23.8,23.8,0,40.3
0.2,6,26.77,0.91,1.2,23.3,28.1,0.13,0,24.6,24,0,40.3
0,5,25.4,0.94,1.2,22.1,31.9,0.03,-2,22.2,22.2,0,40.3
0.1,5,26.2,1.03,1.2,22.2,31,0.04,0,22.6,22.5,1,40.3
0,5,25.61,0.94,1.2,22.2,30.1,0.05,0,22.6,22.5,1,40.3
0,5,24.96,0.58,1.4,23.1,27.9,0.08,0,23.1,23.1,0,40.3
0.3,7,26.72,1.03,1.2,23.3,28.4,0.09,0,23.1,23.2,0,40.3
-0.2,6,24.32,0.65,1.2,23.1,28.2,0.06,-1,23.5,23.4,0,40.3
-0.3,7,24.15,0.73,1.2,22.4,30.3,0.02,0,22.5,22.5,0,40.3
0.2,6,26.36,1.03,1.2,22.5,30.2,0.02,0,22.8,22.7,0,40.3
0.1,5,25.65,0.82,1.2,23.6,28.7,0.04,2,23.5,23.5,1,40.3
0.8,19,28.6,0.63,1.9,23.5,26.7,0.04,0,24,23.8,1,40.3
0.1,5,25.64,0.82,1.2,23.2,29,0.03,2,23.6,23.5,0,40.3
0.5,10,28.44,1.46,1.2,21.7,31.3,0.04,0,22,21.9,0,40.3
0.3,7,26.76,0.95,1.2,23.8,27.1,0.04,0,23.9,23.9,1,40.3
0.9,23,29.91,0.9,1.7,23.6,27.2,0.06,0,24.6,24.2,0,40.3
-0.1,5,24.86,0.78,1.2,22.4,30.6,0.03,0,23.1,22.9,0,40.3
1.1,29,30.91,0.85,2,23.3,28.4,0.1,0,24.8,24.1,0,40.3
0.2,6,26.46,0.94,1.2,23,30.2,0.03,-1,23.8,23.6,0,40.3
0.3,6,26.69,1.03,1.2,22.7,30,0.04,0,23.3,23.1,0,40.3
0.5,10,27.71,0.89,1.4,22.8,29.5,0.05,-1,24,23.6,0,40.3
-0.2,6,24.43,0.63,1.2,23.7,29.7,0.02,2,23.5,23.6,2,40.3
0.3,7,27.03,0.98,1.4,22,31.6,0.03,0,22.3,22.2,1,40.3
1,25,31.9,1.23,2,21,30.2,0.02,0,21.2,21.2,1,38.2
0.5,11,27.95,0.8,1.7,22.1,30.3,0.04,1,22.4,22.3,0,38.2
-0.4,8,23.99,0.72,1.2,22,28.9,0.03,0,22.6,22.5,1,38.2
0.4,9,27.87,1.14,1.4,21.7,29.7,0.03,-1,22.2,22.1,0,38.2
0.2,6,26.71,1.13,1.2,21.7,29.9,0.04,-1,22.7,22.4,0,38.2
0.6,13,27.78,0.68,1.8,23.1,28.7,0.03,2,23.1,23.1,-1,38.2
0.3,6,26.85,1.11,1.2,22.3,27.9,0.02,0,23,22.8,0,38.2
0,5,25.58,0.91,1.2,22.1,30.8,0.03,-2,23,22.8,1,38.2
