PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
0.4,10.33333333,26.50333333,0.62,1.2,24.53333333,37.36666667,0,1,25.06666667,25,2,70.7
0.433333333,9,26.45,0.63,1.2,25.56666667,42.93333333,0,2,25.83333333,25.73333333,2,70.7
0.3,7.333333333,26.73,0.93,1.2,23.6,47.86666667,0,0,23.8,23.76666667,0,70.7
0.333333333,8.666666667,26.45333333,0.88,1.2,24.7,42.2,0,1,25.2,25.1,-1,70.7
0.2,7,25.86666667,0.68,1.2,23.86666667,40.76666667,0,-2,25.1,24.8,-1,70.7
0.7,15.33333333,28.21333333,0.52,2.4,23.33333333,37.5,0,0,24.46666667,24.73333333,0,70.7
0.7,15.33333333,28.21333333,0.71,2,23.33333333,45.2,0,0,24.46666667,24.43333333,0,70.7
0.133333333,7.666666667,25.53666667,0.6,1.2,23.83333333,50.53333333,0,0,24.8,24.63333333,0,70.7
0.066666667,5.333333333,25.32,0.56,2,23.7,32,0,0,24.56666667,24.7,0,70.7
0.166666667,6,25.66333333,0.63,1.2,23.83333333,32.8,0,0,24.56666667,24.7,1,70.7
0.1,5.666666667,25.44333333,0.59,1.6,23.93333333,30.1,0,1,24.73333333,25.1,0,70.7
0.066666667,5.333333333,25.32,0.71,1.5,23.7,33.5,0,0,24.56666667,25,0,70.7
0.1,5.666666667,25.44333333,0.55,2.4,23.93333333,30.9,0,0,24.73333333,25.2,0,70.7
-0.1,5.333333333,25.09666667,0.46,2.3,22.3,28.23333333,5,0,22.86666667,22.56666667,0,70.7
0.166666667,7.333333333,25.69,0.63,1.2,23.96666667,49.93333333,0,0,24.93333333,24.8,0,70.7
0.166666667,7.333333333,25.69,0.63,1.2,23.96666667,49.93333333,0,0,24.93333333,24.8,0,70.7
0.233333333,6.666666667,26.39666667,0.82,1.2,23.5,53.76666667,0,0,23.76666667,23.76666667,0,70.7
0.033333333,5.333333333,25.23666667,0.62,1.2,23.56666667,47.56666667,0,0,24.13333333,24.33333333,1,70.7
0.7,15.33333333,28.21333333,0.48,2,23.33333333,46.03333333,0,0,24.46666667,24.33333333,0,70.7
0.033333333,5.333333333,25.23666667,0.57,1.2,23.56666667,47.56666667,0,0,24.13333333,24.33333333,1,70.7
0,5.333333333,25.27666667,0.69,1.2,23.2,43.53333333,0,0,24,23.83333333,0,70.7
0.166666667,6,25.82333333,1.08,1.2,23.6,47.56666667,0,0,24.13333333,24.33333333,1,70.7
0.8,20,27.97,0.56,2,25.36666667,37.76666667,0,1,26.16666667,25.96666667,1,70.7
-0.4,9,23.61,0.67,1.2,21.9,49.1,0,0,22.1,22.1,0,65.9
0.2,6,26.36,0.77,1.4,21.9,49.1,0,0,22.5,22.4,1,65.9
0,5,25.27,0.71,1.3,22.3,48.1,0,0,22.8,22.7,0,65.9
0,5,25.13,0.7,1.3,22.3,47.9,0,1,22.7,22.6,0,65.9
-0.6,13,22.9,0.47,1.2,22.4,48.3,0,0,23.6,23.4,0,65.9
-0.3,7,24.05,0.58,1.2,22.8,45.7,0,-1,23.7,23.6,0,65.9
-0.4,8,23.85,0.56,1.2,22.7,46.1,0,1,23.7,23.6,0,65.9
0,5,25.15,0.73,1.2,22.6,46.5,0,-1,23.8,23.6,0,65.9
0.2,6,25.89,0.64,1.4,22.9,45.2,0,-1,24,23.8,0,65.9
0.6,12,27.73,0.56,1.8,22.9,45,0,-1,24.4,24,0,65.9
0.1,5,25.92,0.82,1.2,22.8,45,0,0,23.8,23.7,0,65.9
-0.2,6,24.53,0.57,1.3,22.9,44.3,0,0,24.3,23.9,0,65.9
0.2,6,26.23,0.88,1.2,22.7,42.6,0,0,23.9,23.7,0,65.9
0.1,5,25.63,0.79,1.2,22.5,43.6,0,0,24.1,23.9,0,65.9
1.6,54,32.84,0.64,2.7,23.3,41.6,0,0,24,23.9,0,65.9
