,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
188,-0.5,11.0,22.92,0.39,1.3,23.3,52.1,0.11,-2.0,1.0,1.0,5.0,74.0,23.0,73.4,21.59,78.6
189,0.2,6.0,26.63,0.8,1.3,23.1,52.1,0.12,-2.0,1.0,1.0,5.0,73.7,23.0,73.3,23.01,78.6
190,-0.3,7.0,23.9,0.64,1.2,22.7,51.6,0.09,-2.0,1.0,1.0,5.0,72.8,22.6,72.7,17.16,78.6
191,0.0,5.0,25.76,0.89,1.2,22.6,51.6,0.1,0.0,1.0,1.0,5.0,72.7,22.6,72.7,20.12,78.6
192,0.0,5.0,25.25,0.78,1.2,23.0,51.1,0.08,-1.0,1.0,1.0,6.0,73.3,22.7,72.9,14.83,78.6
193,-0.6,12.0,22.81,0.5,1.2,23.1,50.9,0.09,-1.0,0.0,1.0,5.0,73.6,22.7,72.9,18.21,78.6
194,0.0,5.0,25.41,0.76,1.3,21.9,52.1,0.09,-1.0,1.0,1.0,5.0,71.5,21.9,71.5,18.64,78.6
195,-0.6,12.0,23.42,0.78,1.2,21.7,53.6,0.15,-2.0,0.0,0.0,3.0,71.1,21.3,70.4,29.77,78.6
196,0.1,5.0,25.06,0.4,1.5,22.9,50.1,0.1,-2.0,1.0,1.0,5.0,73.2,23.8,74.8,19.13,78.6
197,-0.4,8.0,23.74,0.5,1.1,23.8,48.0,0.07,0.0,1.0,1.0,5.0,74.8,23.9,75.0,13.35,78.6
198,0.2,6.0,26.07,0.56,1.4,23.8,49.1,0.11,-1.0,1.0,1.0,4.0,74.8,23.7,74.6,22.58,78.6
199,-1.3,39.0,20.57,0.4,1.3,22.8,51.7,0.21,-2.0,1.0,1.0,5.0,73.1,22.1,71.7,41.95,78.6
200,-2.1,79.0,17.47,0.4,1.3,23.3,57.6,0.58,-1.0,1.0,1.0,5.0,74.0,21.8,71.2,113.68,78.6
201,0.1,5.0,25.86,0.42,1.6,23.2,55.6,0.14,1.0,0.0,1.0,5.0,73.8,23.6,74.5,26.94,78.6
202,0.2,5.0,25.31,0.39,1.4,24.2,52.6,0.1,0.0,1.0,1.0,4.0,75.6,24.3,75.7,19.19,78.6
203,0.1,5.0,25.68,0.76,1.1,24.3,51.7,0.1,1.0,1.0,1.0,5.0,75.7,24.0,75.1,19.25,78.6
204,0.3,7.0,27.07,0.56,1.6,23.6,55.3,0.13,0.0,1.0,1.0,5.0,74.5,23.1,73.6,26.45,78.6
205,-0.3,7.0,24.08,0.55,1.3,23.2,55.5,0.13,-2.0,1.0,1.0,6.0,73.8,22.6,72.7,26.45,78.6
206,0.5,10.0,27.32,0.78,1.3,24.0,44.2,0.1,-1.0,1.0,1.0,4.0,75.2,24.5,76.1,19.19,78.6
207,-0.2,6.0,24.36,0.56,1.3,23.7,44.1,0.11,-1.0,1.0,1.0,4.0,74.6,22.9,73.3,22.08,78.6
208,-0.2,6.0,24.44,0.8,1.2,23.3,44.6,0.24,-2.0,1.0,1.0,6.0,73.9,23.1,73.5,46.75,78.6
209,0.0,5.0,25.14,0.5,1.5,22.6,46.6,0.15,1.0,1.0,1.0,5.0,72.7,23.1,73.6,28.85,78.6
210,-0.1,5.0,24.27,0.65,1.5,23.1,43.9,0.3,-2.0,1.0,1.0,5.0,73.6,23.0,73.3,59.79,78.6
211,-0.2,6.0,24.72,0.78,1.1,23.2,45.4,0.11,-2.0,1.0,1.0,5.0,73.7,23.0,73.4,22.58,78.6
212,-0.8,18.0,22.17,0.5,1.3,22.8,47.3,0.17,-2.0,1.0,1.0,5.0,73.1,22.1,71.7,34.2,78.6
213,-0.7,14.0,23.09,0.4,1.3,23.0,46.0,0.14,0.0,1.0,1.0,5.0,73.3,23.4,74.1,27.87,78.6
214,-0.2,6.0,24.08,0.46,1.3,23.4,45.0,0.07,-1.0,1.0,1.0,5.0,74.0,23.6,74.5,14.33,78.6
215,-0.3,7.0,23.85,0.48,1.4,22.6,46.9,0.13,-1.0,1.0,1.0,5.0,72.7,22.3,72.1,25.96,78.6
216,-1.1,31.0,21.08,0.55,1.2,22.2,57.7,0.28,0.0,1.0,1.0,5.0,72.0,21.8,71.3,56.04,78.6
217,0.0,5.0,25.58,0.67,1.3,22.4,51.1,0.15,1.0,1.0,1.0,5.0,72.4,23.1,73.5,28.85,78.6
218,0.3,7.0,27.1,0.78,1.4,23.3,49.5,0.15,0.0,1.0,1.0,5.0,74.0,23.4,74.1,30.33,78.6
219,-0.1,5.0,24.99,0.86,1.1,23.2,40.3,0.07,-2.0,1.0,1.0,6.0,73.7,22.8,73.1,13.35,78.6
220,-1.5,51.0,20.41,0.4,1.1,22.8,41.2,0.13,-2.0,1.0,1.0,6.0,73.0,21.9,71.4,24.98,78.6
221,0.4,8.0,27.27,0.77,1.4,23.3,47.3,0.11,0.0,1.0,1.0,2.0,73.9,23.6,74.5,20.67,78.6
222,-0.1,5.0,24.37,0.41,1.4,23.3,47.3,0.11,-1.0,1.0,1.0,4.0,73.9,23.6,74.5,20.67,78.6
223,-0.3,7.0,23.48,0.39,1.3,23.7,49.0,0.06,0.0,1.0,1.0,5.0,74.6,23.3,74.0,10.89,78.6
224,0.5,10.0,27.48,0.6,1.5,23.6,59.2,0.08,-2.0,1.0,1.0,5.0,74.6,24.1,75.4,14.83,78.6
225,0.2,6.0,25.75,0.42,1.4,23.9,58.3,0.07,-1.0,1.0,1.0,5.0,75.0,24.3,75.7,13.78,78.6
226,-0.7,17.0,22.28,0.78,1.1,23.6,54.6,0.21,-2.0,1.0,1.0,5.0,74.6,22.0,71.6,40.91,78.6
227,-0.4,9.0,23.55,0.48,1.4,22.8,56.8,0.13,-2.0,1.0,1.0,5.0,73.1,22.4,72.3,26.39,78.6
228,-0.5,10.0,23.21,0.5,1.4,21.7,56.3,0.13,-1.0,1.0,1.0,4.0,71.0,21.3,70.3,26.45,78.6
229,-0.6,13.0,22.71,0.56,1.3,21.9,59.7,0.26,-2.0,0.0,0.0,6.0,71.4,22.2,72.0,51.61,78.6
230,-0.2,6.0,23.88,0.76,1.4,22.0,55.8,0.28,-2.0,0.0,0.0,2.0,71.5,21.4,70.4,55.43,78.6
231,-1.2,36.0,21.64,0.4,1.1,22.7,47.9,0.14,-2.0,1.0,1.0,6.0,72.9,22.7,72.9,27.37,78.6
232,0.2,5.0,25.46,0.4,1.2,27.1,39.3,0.14,-1.0,1.0,1.0,5.0,80.8,26.7,80.1,27.87,78.6
233,-1.4,47.0,20.63,0.4,1.1,24.5,45.5,0.35,-2.0,1.0,1.0,5.0,76.1,24.0,75.2,69.51,78.6
234,0.8,20.0,28.61,0.56,1.6,25.4,43.5,0.1,-1.0,0.0,1.0,5.0,77.7,25.9,78.7,20.61,78.6
235,-0.4,8.0,23.6,0.48,1.2,25.6,42.3,0.22,0.0,0.0,1.0,4.0,78.0,25.0,77.1,43.37,78.6
236,-0.2,6.0,24.5,0.48,1.3,25.2,42.5,0.14,-2.0,1.0,1.0,6.0,77.3,24.3,75.7,27.81,78.6
237,-0.8,18.0,22.3,0.56,1.1,23.8,44.5,0.05,-2.0,1.0,1.0,4.0,74.8,22.7,72.8,8.92,78.6
238,-1.5,49.0,21.17,0.56,1.0,22.7,50.0,0.2,-1.0,1.0,1.0,5.0,72.9,22.5,72.5,38.51,78.6
239,-0.7,15.0,22.39,0.5,1.4,22.4,49.5,0.16,-1.0,1.0,1.0,5.0,72.2,21.7,71.0,31.8,78.6
240,-1.1,31.0,20.96,0.41,1.2,24.5,43.2,0.13,-2.0,1.0,1.0,5.0,76.0,22.2,71.9,24.91,78.6
241,-0.2,6.0,23.79,0.41,1.5,25.2,43.5,0.12,-1.0,1.0,1.0,5.0,77.4,23.2,73.7,24.05,78.6
242,-0.3,7.0,23.63,0.56,1.3,25.0,39.8,0.23,-2.0,1.0,1.0,4.0,77.0,24.0,75.2,44.35,78.6
243,-0.2,6.0,23.73,0.48,1.5,24.2,42.6,0.23,1.0,1.0,1.0,4.0,75.6,23.5,74.3,44.35,78.6
244,-0.3,7.0,23.46,0.48,1.4,23.4,42.0,0.09,-2.0,1.0,1.0,4.0,74.1,22.2,72.0,17.72,78.6
245,0.0,5.0,25.3,0.48,1.4,23.7,45.0,0.12,-2.0,0.0,0.0,2.0,74.6,24.0,75.1,23.07,78.6
246,-0.2,6.0,23.17,0.41,1.6,24.3,42.7,0.08,-1.0,1.0,1.0,5.0,75.7,21.6,70.8,15.75,78.6
247,-1.3,40.0,21.04,0.5,1.1,22.8,44.9,0.25,-1.0,1.0,1.0,5.0,73.1,22.6,72.6,48.29,78.6
248,-0.6,14.0,21.93,0.4,1.4,24.9,42.3,0.13,0.0,1.0,1.0,5.0,76.8,22.0,71.7,24.91,78.6
249,0.8,17.0,28.77,0.86,1.4,24.3,43.1,0.07,1.0,1.0,1.0,5.0,75.8,24.9,76.8,12.86,78.6
250,0.5,11.0,27.63,0.65,1.6,24.7,41.7,0.12,-1.0,1.0,1.0,5.0,76.5,24.1,75.5,23.44,78.6
251,0.0,5.0,24.84,0.5,1.3,24.4,42.9,0.1,2.0,1.0,1.0,4.0,76.0,23.9,75.0,20.18,78.6
252,-0.5,11.0,22.66,0.4,1.3,25.1,42.3,0.12,-2.0,1.0,1.0,4.0,77.1,23.0,73.4,23.99,78.6
253,-0.3,7.0,23.94,0.46,1.2,24.4,51.2,0.1,0.0,1.0,1.0,6.0,75.9,24.1,75.3,20.61,78.6
254,0.9,22.0,27.89,0.48,1.7,27.5,29.4,0.07,1.0,1.0,1.0,5.0,81.5,26.0,78.8,12.86,78.6
255,0.2,6.0,25.74,0.67,1.3,24.9,29.3,0.1,-2.0,1.0,1.0,6.0,76.8,24.2,75.5,19.69,78.6
256,-0.3,7.0,23.8,0.42,1.3,23.8,43.4,0.1,1.0,1.0,1.0,5.0,74.8,23.8,74.9,20.61,78.6
257,-0.2,6.0,24.46,0.48,1.3,23.8,43.2,0.12,-1.0,1.0,1.0,5.0,74.9,23.9,75.0,23.5,78.6
258,0.1,5.0,25.04,0.42,1.5,23.9,42.4,0.09,-1.0,1.0,1.0,5.0,75.0,23.9,75.1,17.22,78.6
259,-0.3,7.0,24.01,0.42,1.2,24.6,40.1,0.16,-2.0,1.0,1.0,5.0,76.2,24.7,76.4,30.76,78.6
260,-0.6,13.0,23.12,0.4,1.2,24.7,39.8,0.2,-1.0,1.0,1.0,5.0,76.4,24.8,76.6,38.45,78.6
261,0.0,5.0,25.38,0.67,1.2,24.7,39.8,0.18,1.0,0.0,1.0,3.0,76.5,24.8,76.6,35.06,78.6
262,0.6,14.0,27.78,0.48,1.8,24.9,40.8,0.13,-1.0,1.0,1.0,5.0,76.7,24.3,75.8,25.04,78.6
263,-0.6,12.0,23.14,0.4,1.2,24.8,40.7,0.16,-2.0,1.0,1.0,6.0,76.6,24.3,75.7,30.82,78.6
264,-0.6,13.0,22.86,0.42,1.3,24.3,41.5,0.15,0.0,1.0,1.0,5.0,75.8,23.5,74.4,29.84,78.6
265,-0.4,9.0,23.42,0.5,1.3,24.1,42.0,0.17,-1.0,1.0,1.0,4.0,75.4,23.4,74.1,33.22,78.6
266,-0.8,20.0,22.36,0.42,1.1,25.5,40.5,0.17,0.0,1.0,1.0,4.0,77.8,24.3,75.7,33.71,78.6
267,0.3,7.0,25.93,0.53,1.3,25.2,38.7,0.09,2.0,0.0,0.0,4.0,77.3,25.1,77.2,17.29,78.6
268,-0.1,5.0,24.65,0.56,1.5,23.9,49.2,0.15,0.0,1.0,1.0,4.0,75.0,22.6,72.7,29.34,78.6
269,-0.2,6.0,25.24,0.86,1.1,22.5,59.8,0.14,-1.0,1.0,1.0,4.0,72.6,22.6,72.7,27.44,78.6
270,-0.9,23.0,21.89,0.4,1.3,22.4,43.4,0.14,-2.0,1.0,1.0,6.0,72.3,22.0,71.7,27.31,78.6
271,-1.1,30.0,21.2,0.5,1.2,23.3,36.8,0.25,-1.0,1.0,1.0,5.0,74.0,22.5,72.5,49.64,78.6
272,-0.4,8.0,24.23,0.67,1.1,22.9,47.2,0.16,-1.0,1.0,1.0,5.0,73.3,23.4,74.1,30.76,78.6
273,0.2,6.0,25.29,0.42,1.3,27.7,38.1,0.16,0.0,1.0,1.0,4.0,81.9,26.0,78.7,30.82,78.6
274,-1.3,41.0,20.17,0.56,1.2,23.7,34.5,0.25,1.0,1.0,1.0,4.0,74.6,21.7,71.0,48.66,78.6
275,0.6,11.0,27.83,0.5,1.5,24.6,58.1,0.13,-1.0,1.0,1.0,5.0,76.2,25.1,77.1,25.04,78.6
276,0.13333333333333333,6.666666666666667,26.073333333333334,0.5,1.1,24.9,51.7,0.17,-1.0,1.0,1.0,5.0,76.8,24.6,76.3,32.79,78.6
