,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
55,0.6,12.0,28.18,0.67,1.6,23.9,43.9,0.14,-2.0,1.0,1.0,5.0,75.1,24.0,75.3,28.3,78.6
56,0.3,7.0,27.08,0.95,1.2,23.5,44.1,0.1,0.0,1.0,1.0,5.0,74.3,23.3,73.9,20.12,78.6
57,-0.2,6.0,24.59,0.78,1.2,23.1,45.3,0.16,-1.0,1.0,1.0,5.0,73.5,22.4,72.4,32.23,78.6
58,-0.1,5.0,25.23,0.73,1.3,22.7,46.4,0.15,-2.0,1.0,1.0,5.0,72.8,22.4,72.4,29.28,78.6
59,-0.7,17.0,22.99,0.73,1.1,22.7,46.5,0.15,-1.0,1.0,1.0,6.0,72.8,22.4,72.3,30.2,78.6
60,0.2,6.0,25.93,0.7,1.4,24.7,35.7,0.16,-1.0,1.0,1.0,5.0,76.5,23.5,74.3,31.74,78.6
61,-0.2,6.0,24.38,0.73,1.1,23.4,46.4,0.08,0.0,1.0,1.0,4.0,74.2,23.1,73.5,14.76,78.6
62,0.5,11.0,28.43,0.93,1.5,23.2,47.2,0.15,-2.0,1.0,1.0,5.0,73.8,22.9,73.2,29.34,78.6
63,-0.2,6.0,25.1,0.67,1.0,25.1,42.2,0.2,-1.0,1.0,1.0,5.0,77.1,25.5,78.0,38.51,78.6
64,0.8,17.0,28.73,0.73,1.4,25.6,41.7,0.13,1.0,1.0,1.0,5.0,78.1,25.6,78.1,25.9,78.6
65,1.0,28.0,30.66,1.01,1.5,25.6,41.3,0.08,-2.0,1.0,1.0,5.0,78.0,25.2,77.4,14.83,78.6
66,0.8,18.0,28.81,0.99,1.3,25.2,48.7,0.24,-1.0,1.0,1.0,4.0,77.4,25.5,78.0,46.75,78.6
67,0.1,5.0,24.76,0.51,1.5,25.3,46.9,0.29,-1.0,1.0,1.0,5.0,77.5,24.9,76.7,56.47,78.6
68,0.9,21.0,29.26,1.01,1.3,25.7,46.9,0.22,0.0,1.0,1.0,3.0,78.3,25.8,78.4,43.37,78.6
69,0.5,11.0,28.13,0.91,1.3,23.6,58.9,0.09,-1.0,1.0,1.0,5.0,74.4,23.5,74.2,18.64,78.6
70,0.5,11.0,28.14,0.85,1.4,23.6,58.9,0.09,-1.0,1.0,1.0,5.0,74.4,23.5,74.2,18.64,78.6
71,-1.0,25.0,22.04,0.49,1.1,23.3,61.3,0.13,-1.0,1.0,1.0,6.0,73.9,22.7,72.9,24.91,78.6
