City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
Multan,Pakistan,22,1,0.28,34.3,34.2,59.8,13.3,0.6,1.01,2
Multan,Pakistan,22,1,0.32,34,33.9,59.8,13.3,0.6,1.88,2
Multan,Pakistan,22,1,0.2,33.2,33.4,62.7,13.3,0.6,1.88,2
Multan,Pakistan,22,1,0.32,32.1,32,67.3,13.3,0.6,1.88,2
Multan,Pakistan,22,1,0.49,31.8,31.4,68.1,13.3,0.58,0.89,2
Multan,Pakistan,22,1,0.29,33,32.8,66.1,13.3,0.58,0.77,1
Multan,Pakistan,22,1,0.56,28.8,28.6,71.7,13.3,0.58,0.89,-2
Multan,Pakistan,22,1,0.56,28.8,28.3,70.7,13.3,0.58,0.77,0
Multan,Pakistan,22,1,0.07,29.1,28.7,70.8,13.3,0.6,1.01,0
Multan,Pakistan,22,1,0.17,26.6,26.7,73.4,13.3,0.6,0.89,0
Multan,Pakistan,22,1,0.29,27.4,27.3,71.6,13.3,0.62,1.88,0
Multan,Pakistan,22,1,0.29,30.9,30.7,65.7,13.3,0.62,0.89,1
Multan,Pakistan,22,1,0.15,31.5,31.3,61.8,13.3,0.62,1.13,2
Multan,Pakistan,22,1,0.08,31.9,31.7,62.3,13.3,0.62,1.13,2
Multan,Pakistan,22,1,0.08,32.2,32.2,59.7,13.3,0.58,1.01,2
Multan,Pakistan,22,1,0.32,32.9,32.8,57.8,13.3,0.6,1.01,2
Multan,Pakistan,22,1,0.85,32.8,32.8,56.7,13.3,0.37,1.13,1
Multan,Pakistan,22,1,0.71,31.6,31.2,55.6,13.3,0.45,1.88,0
Multan,Pakistan,22,1,0.49,30.6,30.4,60.1,13.3,0.34,1.01,0
Multan,Pakistan,22,1,0.62,30.1,29.7,64.1,13.3,0.37,1.01,0
Multan,Pakistan,22,1,0.59,29.8,29.3,66.1,13.3,0.6,1.13,0
Multan,Pakistan,22,1,1,31.1,31.4,62.7,13.3,0.34,1.01,0
Multan,Pakistan,22,1,1.23,31,31.3,63.1,13.3,0.34,0.77,0
Multan,Pakistan,22,1,0.2,28.9,28.9,69.7,13.3,0.37,1.01,-1
Multan,Pakistan,22,1,0.23,28.8,28.8,69.8,13.3,0.34,0.77,0
Multan,Pakistan,22,1,0.18,29.1,29.1,69.9,13.3,0.34,1.01,0
Multan,Pakistan,22,1,0.11,29.5,29.3,69.3,13.3,0.37,1.13,0
Multan,Pakistan,22,1,0.59,26.9,26.7,73.1,13.3,0.37,1.01,0
Multan,Pakistan,22,1,0.11,27.7,27.6,69.2,13.3,0.39,1.01,0
Multan,Pakistan,22,1,0.37,29.1,29,63.6,13.3,0.39,1.01,0
Multan,Pakistan,22,1,1.06,30.2,30.2,63.6,13.3,0.39,1.01,0
Multan,Pakistan,22,1,0.26,29.8,29.5,66.8,13.3,0.39,1.01,0
Multan,Pakistan,22,1,0.15,29.4,29.4,67.6,13.3,0.26,1.01,0
Multan,Pakistan,22,1,0.21,29.3,29.2,68.9,13.3,0.26,0.89,0
Multan,Pakistan,22,1,0.23,30.3,30.7,66.5,13.3,0.26,1.01,0
Multan,Pakistan,22,1,0.23,30.8,30.5,64.4,13.3,0.26,0.77,-1
Multan,Pakistan,22,1,0.23,30.3,30.2,63.1,13.3,0.26,1.01,-1
Multan,Pakistan,22,1,0.15,29.7,29.4,62.4,13.3,0.47,1.01,0
Multan,Pakistan,22,1,0.15,29.2,29,65.2,13.3,0.47,0.77,0
Multan,Pakistan,22,1,0.21,29.2,29.3,66.1,13.3,0.47,1.88,0
Multan,Pakistan,22,1,0.17,29,28.9,62.3,13.3,0.26,0.77,0
Multan,Pakistan,22,1,0.1,24.9,24.7,71.6,13.3,0.26,0.77,-1
Multan,Pakistan,22,1,0.03,25.9,26.3,70.2,13.3,0.29,1.13,0
Multan,Pakistan,22,1,0.11,26.2,26.3,70.1,13.3,0.26,1.01,0
Multan,Pakistan,22,1,0.18,26.2,25.6,71.2,13.3,0.26,0.89,0
Multan,Pakistan,22,1,0.11,26.6,26.7,70.4,13.3,0.45,1.01,0
Multan,Pakistan,22,1,0.15,27.9,27.9,66.9,13.3,0.42,0.77,0
Multan,Pakistan,22,1,0.23,28.4,28.5,64,13.3,0.45,1.01,0
Multan,Pakistan,22,1,0.17,29,28.9,61.1,13.3,0.42,0.77,0
Multan,Pakistan,22,1,0.3,29.9,29.6,59.7,13.3,0.42,0.89,1
Multan,Pakistan,22,1,0.23,29.7,29.6,60.4,13.3,0.42,0.77,0
Multan,Pakistan,22,1,0.2,30.3,30.3,59.2,13.3,0.45,0.89,0
Multan,Pakistan,22,1,0.28,30.5,30.7,58.3,13.3,0.42,0.77,0
Multan,Pakistan,22,1,0.1,30.3,29.9,59.2,13.3,0.47,1.88,0
Multan,Pakistan,22,1,0.04,29.4,29.3,62.8,13.3,0.47,1.13,0
Multan,Pakistan,22,1,0.04,29.5,29.2,63.6,13.3,0.47,1.88,0
Multan,Pakistan,22,1,0.03,29.4,29.2,63.2,13.3,0.47,1.88,0
Multan,Pakistan,22,1,0.23,25.1,25.3,68.5,13.3,0.34,0.77,-1
Multan,Pakistan,22,1,0.05,26.2,26,62.7,13.3,0.47,1.88,0
Multan,Pakistan,22,1,0.26,28.3,28,60.5,13.3,0.47,1.01,0
Multan,Pakistan,22,1,0.4,33,36.4,37.3,13.3,0.47,1.88,1
Multan,Pakistan,22,1,0.79,35.9,40.3,25.3,13.3,0.47,1.13,1
Multan,Pakistan,22,1,0.76,31.4,31.5,42.7,13.3,0.47,1.88,1
Multan,Pakistan,22,1,0.17,29.6,29.5,51.7,13.3,0.37,1.01,0
Multan,Pakistan,22,1,0.15,30.1,30.1,48.8,13.3,0.45,1.88,0
Multan,Pakistan,22,1,0.08,31,31.1,50.3,13.3,0.42,0.77,1
Multan,Pakistan,22,1,1.17,33.3,32.1,36.7,13.3,0.45,1.01,2
Multan,Pakistan,22,1,0.32,34.1,34.3,32.3,13.3,0.62,1.13,1
Multan,Pakistan,22,1,0.21,30.1,30.1,56,13.3,0.62,0.89,0
Multan,Pakistan,22,1,0.14,29,29.1,64,13.3,0.6,1.01,0
Multan,Pakistan,22,1,0.12,28.6,28.6,65.7,13.3,0.6,1.88,1
Multan,Pakistan,22,1,0.46,29.8,29.4,61.6,13.3,0.42,0.77,-1
Multan,Pakistan,22,1,0.42,29.6,29.5,61.8,13.3,0.42,0.89,0
Multan,Pakistan,22,1,0.46,29.7,29.5,62.7,13.3,0.45,1.13,0
Multan,Pakistan,22,1,0.46,29.8,29.4,62.3,13.3,0.45,1.88,0
Multan,Pakistan,22,1,0.2,29.3,29.1,60.1,13.3,0.45,1.01,0
Multan,Pakistan,22,1,0.26,30,29.7,57.9,13.3,0.35,0.77,0
Multan,Pakistan,22,1,0.26,30.9,30.7,56,13.3,0.47,1.88,0
Multan,Pakistan,22,1,0.4,31,30.9,54.6,13.3,0.6,1.13,0
Multan,Pakistan,22,1,0.46,39.2,37.4,23.5,13.3,0.62,1.88,2
Multan,Pakistan,22,1,0.14,32.3,32.3,54.6,13.3,0.42,1.01,1
Multan,Pakistan,22,1,0.1,33.4,33.5,53.2,13.3,0.45,1.01,1
Multan,Pakistan,22,1,0.1,33.8,33.9,53.7,13.3,0.42,0.77,1
Multan,Pakistan,22,1,0.23,33.7,33.9,52.7,13.3,0.42,1.01,1
Multan,Pakistan,22,1,0.11,33.7,33.7,52.7,13.3,0.45,1.01,1
Multan,Pakistan,35,2,0.1,30.9,31.4,69,13.3,0.6,1.88,2
Multan,Pakistan,35,2,0.08,31.5,31.2,67,13.3,0.6,0.77,2
Multan,Pakistan,35,2,0.14,32.3,32.1,69,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.19,32.7,32.7,69,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.29,33,32.5,62,13.3,0.98,1.01,2
Multan,Pakistan,35,2,0.19,32.7,32.5,69,13.3,0.6,0.77,2
Multan,Pakistan,35,2,0.15,33.1,33.1,62,13.3,0.6,0.77,2
Multan,Pakistan,35,2,0.14,33.3,33.2,62,13.3,0.6,0.77,0
Multan,Pakistan,35,2,0.29,34,34,58,13.3,0.98,0.89,2
Multan,Pakistan,35,2,0.21,34.3,33.9,58,13.3,0.98,1.01,2
Multan,Pakistan,35,2,0.32,33.3,33.4,62,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.26,33.2,32.9,62,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.08,32.8,32.8,69,13.3,0.98,1.01,2
Multan,Pakistan,35,2,0.14,32.6,32.3,69,13.3,0.98,0.89,2
Multan,Pakistan,35,2,0.38,30.2,29.4,69,13.3,0.96,0.77,2
Multan,Pakistan,35,2,0.57,29.2,29.1,68,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.71,29.5,29.6,68,13.3,0.98,1.88,0
Multan,Pakistan,35,2,0.14,31.3,31.1,67,13.3,0.98,0.89,2
Multan,Pakistan,35,2,0.17,31.5,31.5,67,13.3,0.98,0.89,2
Multan,Pakistan,35,2,0.12,31.6,31.8,67,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.15,31.9,31.5,67,13.3,0.98,0.77,0
Multan,Pakistan,35,2,0.49,32.7,32.7,69,13.3,0.6,0.89,0
Multan,Pakistan,35,2,0.53,33.1,33.2,62,13.3,0.98,1.01,2
Multan,Pakistan,35,2,0.21,33.1,33,62,13.3,0.98,0.89,2
Multan,Pakistan,35,2,0.14,33.4,33.5,62,13.3,0.6,0.77,2
Multan,Pakistan,35,2,0.02,33.7,33.8,62,13.3,0.96,1.01,2
Multan,Pakistan,35,2,0.15,34.3,34.3,58,13.3,0.96,1.13,2
Multan,Pakistan,35,2,0.19,33.9,33.7,62,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.14,33.2,33.2,62,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.41,32.1,31.8,69,13.3,0.98,1.01,2
Multan,Pakistan,35,2,0.32,31.6,31.4,67,13.3,0.98,0.77,2
Multan,Pakistan,35,2,0.53,31.3,30.9,67,13.3,0.96,1.01,1
Multan,Pakistan,35,2,0.45,28.8,28.3,73,13.3,0.98,0.89,0
Multan,Pakistan,35,2,0.53,28.8,28.4,73,13.3,0.98,1.01,0
Multan,Pakistan,35,2,0.07,29.1,28.7,68,13.3,0.98,1.88,0
Multan,Pakistan,35,2,0.26,26.6,26.5,77,13.3,0.98,1.13,0
Multan,Pakistan,35,2,0.24,27,27.2,74,13.3,0.98,1.01,1
Multan,Pakistan,35,2,0.15,30,30,69,13.3,0.98,1.88,2
Multan,Pakistan,35,2,0.17,30.7,30.5,69,13.3,0.96,1.13,2
Multan,Pakistan,35,2,0.06,32.1,32.2,69,13.3,0.96,1.88,2
Multan,Pakistan,35,2,0.09,32,32,69,13.3,0.98,0.89,2
Multan,Pakistan,35,2,0.1,32.4,32.4,69,13.3,0.96,0.77,2
Multan,Pakistan,35,2,0.29,33,32.7,62,13.3,0.96,0.77,2
Multan,Pakistan,35,2,0.71,32.9,33,69,13.3,0.96,1.88,2
Multan,Pakistan,35,2,0.76,32.9,32.5,69,13.3,0.96,0.89,2
Multan,Pakistan,35,2,0.32,31.3,31.3,67,13.3,0.96,1.01,0
Multan,Pakistan,35,2,0.35,30.8,30.2,69,13.3,0.96,1.13,0
Multan,Pakistan,35,2,0.41,29.9,29.5,68,13.3,0.98,0.89,1
Multan,Pakistan,35,2,0.53,29.8,29.3,68,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.71,28.9,28.8,73,13.3,0.98,0.89,0
Multan,Pakistan,35,2,0.03,29.1,29,68,13.3,0.96,1.88,0
Multan,Pakistan,35,2,0.26,29.1,28.3,68,13.3,0.96,1.88,0
Multan,Pakistan,35,2,0.38,26.8,26.6,77,13.3,0.98,0.89,0
Multan,Pakistan,35,2,0.38,26,26,77,13.3,0.98,1.88,0
Multan,Pakistan,35,2,0.12,27,27.9,74,13.3,0.96,1.01,0
Multan,Pakistan,35,2,0.21,28.8,28.8,73,13.3,0.98,1.13,0
Multan,Pakistan,35,2,0.12,29.7,29.7,68,13.3,0.98,0.89,0
Multan,Pakistan,35,2,0.19,30.3,30.2,69,13.3,0.96,0.89,0
Multan,Pakistan,35,2,0.26,30.5,30.3,69,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.19,30.6,30.5,69,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.71,30.3,29.4,69,13.3,0.96,1.13,1
Multan,Pakistan,35,2,0.45,29,28.5,68,13.3,0.98,1.88,0
Multan,Pakistan,35,2,0.38,28.5,28.3,73,13.3,0.98,1.13,0
Multan,Pakistan,35,2,0.38,28.1,27.6,73,13.3,0.98,1.13,0
Multan,Pakistan,35,2,0.66,27.9,27.8,74,13.3,0.98,1.88,1
Multan,Pakistan,35,2,0.04,24.2,24,79,13.3,0.98,1.88,0
Multan,Pakistan,35,2,0.03,24.7,24.6,79,13.3,1.06,1.13,0
Multan,Pakistan,35,2,0.02,26.4,26.4,77,13.3,1.06,1.01,1
Multan,Pakistan,35,2,0.06,26.8,26.7,77,13.3,1.04,1.01,1
Multan,Pakistan,35,2,0.02,27.1,27,74,13.3,1.04,1.13,1
Multan,Pakistan,35,2,0.03,28.3,28.8,73,13.3,0.98,1.01,2
Multan,Pakistan,35,2,0.02,28.4,28.2,73,13.3,1.06,0.89,1
Multan,Pakistan,35,2,0.02,28.9,28.9,73,13.3,0.98,1.01,1
Multan,Pakistan,35,2,0.14,29.6,29.3,68,13.3,1.04,0.77,0
Multan,Pakistan,35,2,0.03,31.4,31.1,67,13.3,0.98,1.13,2
Multan,Pakistan,35,2,0.38,30.6,30.4,69,13.3,1.04,1.01,2
Multan,Pakistan,35,2,0.01,30.1,29.9,69,13.3,1.06,1.88,1
Multan,Pakistan,35,2,0.12,28.6,28,73,13.3,1.04,1.88,1
Multan,Pakistan,35,2,0.38,28.1,27.2,73,13.3,1.06,1.01,0
Multan,Pakistan,35,2,0.38,27.3,27.2,74,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.05,24.7,24.7,79,13.3,1.06,1.88,-1
Multan,Pakistan,35,2,0.19,26.3,26.4,77,13.3,1.06,1.88,0
Multan,Pakistan,35,2,0.09,27.1,27.1,74,13.3,1.04,0.89,0
Multan,Pakistan,35,2,0.19,27.7,27.7,74,13.3,1.06,1.01,0
Multan,Pakistan,35,2,0.01,27.9,27.7,74,13.3,1.06,0.89,1
Multan,Pakistan,35,2,0.01,28.5,28.5,73,13.3,1.06,1.01,2
Multan,Pakistan,35,2,0.08,28.9,28.7,73,13.3,1.04,1.13,2
Multan,Pakistan,35,2,0.26,30,30,69,13.3,1.04,0.77,0
Multan,Pakistan,35,2,0.21,30.8,30.7,69,13.3,1.04,0.77,0
Multan,Pakistan,35,2,0.24,31,30.9,67,13.3,1.04,0.89,0
Multan,Pakistan,35,2,0.02,31.2,31.2,67,13.3,1.04,1.13,2
Multan,Pakistan,35,2,0.01,31.4,31.1,67,13.3,1.04,1.01,2
Multan,Pakistan,35,2,0.14,29.9,29.2,68,13.3,1.04,1.88,0
Multan,Pakistan,35,2,0.17,28.2,27.5,73,13.3,1.04,1.01,1
Multan,Pakistan,35,2,0.19,27.6,26.9,74,13.3,0.98,0.89,1
Multan,Pakistan,35,2,0.19,27.2,26.8,74,13.3,0.96,0.77,0
Multan,Pakistan,35,2,0.12,25.4,25.2,77,13.3,1.06,0.89,0
Multan,Pakistan,35,2,0.15,25.4,25.1,77,13.3,0.96,1.01,0
Multan,Pakistan,35,2,0.03,26.2,26.6,77,13.3,1.04,0.77,0
Multan,Pakistan,35,2,0.08,28,28,73,13.3,0.96,1.13,0
Multan,Pakistan,35,2,0.03,28.8,28.7,73,13.3,1.06,1.88,0
Multan,Pakistan,35,2,0.07,29.1,29.3,68,13.3,1.04,1.13,2
Multan,Pakistan,35,2,0.19,29.9,29.6,68,13.3,1.04,1.01,2
Multan,Pakistan,35,2,0.05,31,31.1,67,13.3,1.04,1.01,2
Multan,Pakistan,35,2,0.15,33.3,33.5,62,13.3,1.06,1.88,2
Multan,Pakistan,35,2,0.04,31.5,31.9,67,13.3,1.06,1.13,2
Multan,Pakistan,35,2,0.15,32.7,32.7,69,13.3,1.04,0.77,2
Multan,Pakistan,35,2,0.1,33.1,33.3,62,13.3,1.04,0.77,0
Multan,Pakistan,35,2,0.02,33.5,33.6,62,13.3,0.98,1.13,2
Multan,Pakistan,35,2,0.02,33.6,33.8,62,13.3,1.06,1.88,1
Multan,Pakistan,35,2,0.02,33.5,33.7,62,13.3,1.06,1.01,2
Multan,Pakistan,35,2,0.01,33.2,33.5,62,13.3,1.06,1.13,2
Peshawar,Pakistan,30,1,0.48,32.5,32.3,57.9,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.41,33,33.1,57.4,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.03,31.3,31.3,52.6,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.11,31,30.9,53.4,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.11,31.1,30.9,51.8,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.08,31.1,31.2,53.2,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.55,31,30.8,55.1,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.24,29.9,29.2,49.3,13.3,0.6,0.89,-2
Peshawar,Pakistan,30,1,0.04,33.6,33.7,49.8,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.04,33.4,33.5,52.9,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.44,35.2,35.2,53.7,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.04,32.3,32.1,61.8,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.58,32.9,32.9,61.8,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.04,32.7,32.7,62.3,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.03,30.7,31.6,65.2,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.03,33.1,33.2,55,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.04,33.3,33.2,54.6,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.04,33.3,33.2,54.3,13.3,0.6,0.89,2
Peshawar,Pakistan,30,1,0.06,32.5,32.4,54.6,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.05,32.4,32.4,57.4,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.04,32.8,32.9,56,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.07,33.1,32.9,51.8,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,1.17,31,31.4,66.5,13.3,0.6,0.77,0
Peshawar,Pakistan,30,1,0.01,31.4,31.7,67.3,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.05,33.2,33.1,62.7,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.06,33.2,33.1,62.6,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.05,32.9,32.7,60.6,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.06,32.8,32.5,60.1,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.03,32.5,32.5,57.7,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.2,28,27.7,68,13.3,0.6,0.77,0
Peshawar,Pakistan,30,1,0.29,28.4,28.2,66.9,13.3,0.6,0.89,-2
Peshawar,Pakistan,30,1,0.12,29.3,29.1,61.4,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.58,30.3,29.9,60.1,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.04,30.4,30,63.1,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.06,30.5,30.2,62.3,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.05,30.6,30.3,61.5,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.05,30.7,30.3,61.7,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.05,30.8,30.6,62.1,13.3,0.6,0.77,0
Peshawar,Pakistan,30,1,0.03,30.8,30.6,59.7,13.3,0.6,1.88,0
Peshawar,Pakistan,30,1,0.37,31,31.1,61.5,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.02,30.9,31,61.4,13.3,0.6,1.01,0
Peshawar,Pakistan,30,1,0.5,30.9,31,63.5,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.35,26.6,26.5,63.1,13.3,0.6,0.89,-1
Peshawar,Pakistan,30,1,0.07,26.8,27.2,61.2,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.15,27.5,27.2,61.4,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.01,28.8,28.5,59.1,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.03,29.3,29.1,58.3,13.3,0.58,1.88,2
Peshawar,Pakistan,30,1,0.03,29.6,29.4,57.3,13.3,0.58,0.89,2
Peshawar,Pakistan,30,1,0.03,29.7,29.6,57,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.03,29.9,29.6,57,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.03,29.9,29.7,57.6,13.3,0.6,1.01,2
Peshawar,Pakistan,30,1,0.03,29.9,29.6,57.6,13.3,0.58,0.77,2
Peshawar,Pakistan,30,1,0.04,29.9,29.6,57,13.3,0.58,0.77,2
Peshawar,Pakistan,30,1,0.07,28.3,28.1,57.9,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.05,29.8,29.9,56,13.3,0.58,0.89,0
Peshawar,Pakistan,30,1,0.15,29.5,29.6,57.9,13.3,0.58,0.77,0
Peshawar,Pakistan,30,1,0.15,28.1,27.7,53.2,13.3,0.58,1.01,0
Peshawar,Pakistan,30,1,0.14,28.4,28.2,58.3,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.18,28.8,28.8,56,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.14,29.2,29.1,55.6,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.1,29.7,29.5,55.1,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.17,30.2,29.8,54.6,13.3,0.6,1.88,2
Peshawar,Pakistan,30,1,0.08,29.8,29.5,51.8,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.1,29.1,28.9,60.1,13.3,0.6,1.88,0
Peshawar,Pakistan,30,1,0.2,28.2,28.1,53.2,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.11,28.7,28.4,55.1,13.3,0.58,0.77,-2
Peshawar,Pakistan,30,1,0.07,28.6,28.7,57,13.3,0.58,1.01,0
Peshawar,Pakistan,30,1,0.22,28.1,28,59.2,13.3,0.58,1.01,0
Peshawar,Pakistan,30,1,0.2,27.9,27.8,61,13.3,0.6,1.88,0
Peshawar,Pakistan,30,1,0.14,26.6,26.6,63.6,13.3,0.58,0.89,0
Peshawar,Pakistan,30,1,0.05,26.2,26.3,63.1,13.3,0.58,0.89,-1
Peshawar,Pakistan,30,1,0.32,26.6,26.6,64.8,13.3,0.62,0.89,0
Peshawar,Pakistan,30,1,0.55,28,27.9,55.1,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.67,28.3,28.1,54.3,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.67,28.4,28.3,56.5,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.62,28.5,28.4,56.3,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.71,28.7,28.3,56.2,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.71,28.6,28.5,56.5,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.41,29.1,29,57.4,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.5,29.1,29,56.5,13.3,0.62,0.89,0
Peshawar,Pakistan,30,1,0.14,29.9,29.6,42.7,13.3,0.62,0.89,0
Peshawar,Pakistan,30,1,0.17,29.8,29.7,43.7,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.14,29.4,29.4,45.8,13.3,0.6,1.88,0
Peshawar,Pakistan,30,1,0.14,29.6,29.5,50.3,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.15,29.4,29.3,50.8,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.17,29.3,29.1,50.3,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.15,28,28,58.8,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.22,28.8,28.7,57.4,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.2,28.9,28.8,56.4,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.06,29.2,29.1,54.5,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.18,30,29.9,51.8,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.2,30.3,30.2,47.3,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.2,31,30.9,42.7,13.3,0.62,0.89,0
Peshawar,Pakistan,30,1,0.22,31.1,31,41.1,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.08,31.1,30.6,41.1,13.3,0.62,1.01,0
Peshawar,Pakistan,30,1,0.11,31.2,30.9,42.7,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.27,31.3,31,46.9,13.3,0.58,0.77,0
Peshawar,Pakistan,30,1,0.07,31,30.9,42.7,13.3,0.58,0.89,0
Peshawar,Pakistan,30,1,0.17,31.1,30.9,51.9,13.3,0.6,1.88,0
Peshawar,Pakistan,30,1,0.17,31.2,31,52.2,13.3,0.6,1.88,0
Peshawar,Pakistan,30,1,0.22,31.7,31.7,54.2,13.3,0.6,0.89,0
Peshawar,Pakistan,30,1,0.12,30.8,30.7,57.4,13.3,0.58,1.01,0
Peshawar,Pakistan,31,1,0.24,31.1,31,66.3,13.3,0.45,1.01,0
Peshawar,Pakistan,31,1,1.17,31.2,31.3,67.9,13.3,0.45,1.01,2
Peshawar,Pakistan,31,1,0.76,33.1,32.7,54.6,13.3,0.42,0.89,0
Peshawar,Pakistan,31,1,0.92,32.6,32.5,51.8,13.3,0.45,1.01,2
Peshawar,Pakistan,31,1,0.35,31.2,31.2,61,13.3,0.42,0.89,0
Peshawar,Pakistan,31,1,0.24,31.5,31.5,61.8,13.3,0.42,1.01,2
Peshawar,Pakistan,31,1,0.62,31.7,31.5,62.3,13.3,0.42,0.89,0
Peshawar,Pakistan,31,1,0.29,31.3,31.4,65.6,13.3,0.42,1.01,0
Peshawar,Pakistan,31,1,0.11,31.3,31.2,65.6,13.3,0.42,0.89,0
Peshawar,Pakistan,31,1,0.29,31,31.2,66.2,13.3,0.45,1.13,2
Peshawar,Pakistan,31,1,0.37,31,31.1,66.7,13.3,0.45,1.88,2
Peshawar,Pakistan,31,1,0.35,30.9,31.1,65.3,13.3,0.45,1.13,2
Peshawar,Pakistan,31,1,1.17,31.2,31.5,67,13.3,0.6,0.89,0
Peshawar,Pakistan,31,1,1.17,31.5,31.6,69.3,13.3,0.6,1.01,2
Peshawar,Pakistan,31,1,0.24,31,31.2,69,13.3,0.6,1.01,2
Peshawar,Pakistan,31,1,0.06,31,31.2,69.3,13.3,0.6,1.13,2
Peshawar,Pakistan,31,1,0.25,31.3,31.3,68.1,13.3,0.58,1.01,2
Peshawar,Pakistan,31,1,0.18,31.1,31.3,66.5,13.3,0.6,0.89,2
Peshawar,Pakistan,31,1,0.12,32.1,31.8,63.7,13.3,0.6,1.88,2
Peshawar,Pakistan,31,1,0.17,31.8,31.8,62.7,13.3,0.58,1.01,2
