,City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
49674,London,UK,31,1,0.08,25.4,26.6,44,14.2,0.64,1,1
49676,London,UK,31,2,0.13,25.9,27.5,42.9,14.2,0.91,1.6,1
49677,London,UK,31,2,0.14,21.7,23.8,51.5,14.2,0.56,1.6,2
49678,London,UK,31,1,0.06,25.5,26.6,44.1,14.2,0.69,1,0
49680,London,UK,31,2,0.07,25.3,27.2,44,14.2,0.7,1.2,0
49681,London,UK,31,1,0.18,22.2,22.8,51.2,14.2,0.64,2,-1
49682,London,UK,31,1,0.05,25.1,26.6,46,14.2,0.67,1.6,1
49683,London,UK,31,1,0.2,22.1,23.1,52,14.2,0.64,1.2,0
49684,London,UK,31,1,0.08,22.3,23.9,51,14.2,0.66,1.2,1
49685,London,UK,31,2,0.05,24.9,26.7,45.5,14.2,0.68,1.2,0
49687,London,UK,31,2,0.05,21.9,23.8,50.5,14.2,1.1,1.5,-2
49689,London,UK,31,1,0.05,25.2,26.3,46,14.2,0.66,1.2,1
49690,London,UK,31,2,0.14,25.7,27.7,46.9,14.2,0.53,1.1,2
49692,London,UK,31,2,0.08,22.6,24.4,49.9,14.2,0.5,1.9,-1
49693,London,UK,31,1,0.08,22.7,24.8,49.4,14.2,0.64,1.8,0
49694,London,UK,31,1,0.18,23.8,26.7,53.3,14.2,0.54,1.2,-2
49696,London,UK,31,2,0.13,22.7,25.2,49.3,14.2,0.76,1.2,-1
49697,London,UK,31,1,0.06,26.1,27.6,44.9,14.2,0.85,1.2,0
49698,London,UK,31,2,0.05,22.9,25.4,49.8,14.2,0.9,1.4,0
49700,London,UK,31,1,0.11,27,28.4,42.7,14.2,0.64,1.4,2
49702,London,UK,31,2,0.08,23.2,25.4,47.7,14.2,0.79,1.5,-2
49703,London,UK,31,2,0.38,26.8,28.6,45.3,14.2,0.44,1.7,2
49704,London,UK,31,1,0.11,22.3,24.2,47.8,14.2,1.04,1.2,-1
49705,London,UK,31,2,0.6,25.6,28.6,48.2,14.2,0.47,1.5,1
49706,London,UK,31,2,0.05,22.5,24,51.4,14.2,0.81,1.1,-2
49707,London,UK,31,1,0.11,25.7,27.6,49.2,14.2,0.69,1.2,2
49708,London,UK,31,1,0.09,21.9,24.2,54.9,14.2,1.05,1.2,-2
49710,London,UK,31,1,0.07,24.9,27.4,51.1,14.2,0.72,1.3,1
49711,London,UK,31,2,0.1,22.7,24.8,50.6,14.2,0.69,1.6,0
49712,London,UK,31,2,0.1,24.9,27.1,51.1,14.2,0.68,2.3,1
49713,London,UK,31,2,0.07,23,24.3,50.3,14.2,0.57,1.6,-1
49714,London,UK,31,1,0.06,22.6,23.9,52.5,14.2,0.71,1.3,-1
49717,London,UK,31,1,0.07,22.3,24.1,52.8,14.2,1.12,1.2,-1
49718,London,UK,31,1,0.07,22.4,24.1,51.9,14.2,0.82,1.1,2
49719,London,UK,31,1,0.05,26.1,27.5,47.6,14.2,0.54,1.7,1
49722,London,UK,31,2,0.1,25,27.2,53,14.2,0.97,2,1
49723,London,UK,31,2,0.06,22,23.6,53.2,14.2,0.92,1.1,0
49725,London,UK,31,2,0.08,27.4,29.3,42.6,14.2,0.83,1.2,2
49726,London,UK,31,1,0.14,23.1,25,47.6,14.2,0.64,1.6,1
49728,London,UK,31,1,0.06,25.1,27.2,52.5,14.2,0.85,1.1,0
49729,London,UK,31,2,0.08,23.6,25.5,47,14.2,0.73,1.2,1
49730,London,UK,31,2,0.09,25.9,27.6,50.1,14.2,0.98,1.2,0
49731,London,UK,31,2,0.12,23.3,25.1,47.1,14.2,0.83,1.2,2
49732,London,UK,31,2,0.16,23.7,25.8,44.3,14.2,0.88,1.2,-1
49736,London,UK,31,2,0.09,24.9,25.2,41.5,14.2,0.8,1.2,0
49738,London,UK,31,2,0.07,23.9,25.7,45.1,14.2,0.9,1.5,-2
49740,London,UK,31,1,0.07,22.9,25.3,48,14.2,0.69,1.1,-1
49741,London,UK,31,2,0.07,23.6,26,47,14.2,0.71,1.6,-2
49742,London,UK,31,2,0.05,24,26.8,45.9,14.2,0.73,1.9,0
49743,London,UK,31,1,0.14,24.2,26.5,44.4,14.2,0.85,1.1,-1
49745,London,UK,31,2,0.13,23.8,25.3,51.2,17.9,0.45,1.4,2
49746,London,UK,31,2,0.08,25,26.2,45.7,17.9,0.68,1.2,1
49747,London,UK,31,2,0.14,25.1,26.7,46,17.9,0.49,1.1,1
49748,London,UK,31,2,0.24,25,26.8,45.7,17.9,0.64,1.4,1
49749,London,UK,31,2,0.1,25.7,27.4,46,17.9,0.52,1.3,1
49750,London,UK,31,1,0.11,25,26.6,43.7,17.9,0.69,1.3,2
49751,London,UK,31,1,0.17,25.9,27.6,42.9,17.9,0.57,1,0
49752,London,UK,31,1,0.84,25.4,28.9,42.7,17.9,0.72,1.4,1
49753,London,UK,31,1,0.11,24.2,26.9,42.4,17.9,0.78,1.3,0
49754,London,UK,31,2,0.14,23.7,26,46,17.9,0.57,1.2,1
49755,London,UK,31,2,0.17,23.3,24.7,47.4,17.9,0.66,1.3,0
49756,London,UK,31,2,0.07,23.9,25.7,45.6,17.9,0.75,1.2,1
49757,London,UK,31,2,0.11,25.6,26.5,44.4,17.9,0.41,1.5,0
49758,London,UK,31,2,0.08,25.6,27.9,43.9,17.9,0.84,1.4,1
49759,London,UK,31,1,0.17,23,23.9,45.9,17.9,0.68,1.5,-2
49760,London,UK,31,1,0.13,22.7,23.9,44.7,17.9,0.68,1,-1
49761,London,UK,31,2,0.06,26.1,27.5,42.2,17.9,0.61,1.4,2
49762,London,UK,31,2,0.17,27.1,28.5,40.4,17.9,0.47,1.3,1
49763,London,UK,31,2,0.08,26.6,28.2,40.7,17.9,0.31,2.5,2
49764,London,UK,31,2,0.14,26.2,28.1,39.9,17.9,0.66,1.3,2
49765,London,UK,31,2,0.12,26.5,29,40.1,17.9,0.71,1.6,1
49766,London,UK,31,2,0.07,27.2,28.3,37.4,17.9,0.42,1.4,1
49767,London,UK,31,1,0.1,26.9,27.6,39,17.9,0.72,1.2,1
49768,London,UK,31,1,0.15,26.4,28.3,39.7,17.9,0.64,1.1,1
49769,London,UK,31,2,0.07,25.7,27.5,38.5,17.9,0.54,1.7,1
49770,London,UK,31,2,0.13,25.8,27.7,39.1,17.9,0.72,1.1,2
49771,London,UK,31,2,0.09,26.5,28.4,39.9,17.9,0.52,1.1,2
49772,London,UK,31,1,0.12,24.8,26.9,44.2,17.9,0.73,1.5,-2
49773,London,UK,31,1,0.14,22.4,24.5,43.5,17.9,1.02,1.3,-1
49776,London,UK,31,2,0.1,24.2,22.6,43.2,15.5,0.6,1.2,-1
49777,London,UK,31,2,0.2,23.2,23.3,44.3,15.5,0.43,1.8,1
49778,London,UK,31,2,0.1,22.8,23.9,49.8,15.5,0.38,1.4,0
49779,London,UK,31,2,0.1,22.9,24.2,49.7,15.5,0.74,1.4,0
49780,London,UK,31,2,0.1,22.5,23.1,44.7,15.5,0.79,1.2,-1
49782,London,UK,31,2,0.1,24.2,25.3,46.6,15.5,0.42,1.9,2
49783,London,UK,31,1,0.1,20.3,20.5,52.1,15.2,0.94,1.6,-2
49785,London,UK,31,1,0.2,22.2,23.1,50,15.2,0.92,1.5,1
49786,London,UK,31,1,0.1,22.7,23.1,47.8,15.2,1.08,1.2,1
49787,London,UK,31,1,0.1,21.4,22.9,52.7,15.2,0.79,1.6,1
49788,London,UK,31,2,0.1,21.5,22.9,52.3,15.2,0.85,1.6,-2
49789,London,UK,31,1,0.1,22.7,24.1,47.7,15.2,0.64,1.4,-1
49790,London,UK,31,2,0.1,22.7,24.4,47.4,15.2,1.01,1.5,-2
49792,London,UK,31,2,0.1,23.2,25.2,46.6,15.2,0.83,1.2,0
49793,London,UK,31,2,0.1,22.8,24.7,48.5,15.2,0.71,1,1
49794,London,UK,31,1,0.1,22.8,24.4,48.7,15.2,0.8,1.2,-2
49795,London,UK,31,2,0.1,23.3,24.5,47.9,15.2,0.6,1,-1
49796,London,UK,31,2,0.1,25.8,26.9,41.5,15.2,0.66,1,-2
49798,London,UK,31,2,0.1,24.9,27.1,43.3,15.2,0.98,1.1,1
49799,London,UK,31,2,0.1,25.3,26.4,43.1,15.2,0.76,1.4,1
49800,London,UK,31,1,0.1,23.6,24.4,47.1,15.2,0.68,1.1,-2
49801,London,UK,31,1,0.2,22.3,24.2,51.3,15.2,0.6,1.8,0
49802,London,UK,31,1,0.1,22.6,23.8,50.4,15.2,0.52,1.9,2
49804,London,UK,31,2,0.1,24.3,25.9,46.1,15.2,0.8,1.4,0
49805,London,UK,31,2,0.1,24.1,25.4,47.3,15.2,0.38,2,0
49806,London,UK,31,1,0.1,24.6,25.7,45.7,15.2,0.64,1.1,1
49807,London,UK,31,2,0.1,24.5,26.2,45.9,15.2,0.18,1.2,2
49808,London,UK,31,1,0.1,24.8,26.3,47.2,15.2,1.02,1.3,1
49810,London,UK,31,2,0.2,24.2,23.7,47.9,15.2,0.75,1.2,-1
49811,London,UK,31,1,0.2,24,24.8,49,15.2,0.57,1.1,1
49812,London,UK,31,2,0.1,26,26.9,43,15.2,0.7,1.6,2
49813,London,UK,31,2,0.1,26.6,27.7,43.3,15.2,0.64,1.3,2
49814,London,UK,31,1,0.2,20.7,21.1,53.6,17.5,0.92,1.9,-1
49817,London,UK,31,2,0.1,24,25.2,46.5,17.5,0.79,1.2,1
49818,London,UK,31,2,0.1,23.7,25.4,53.3,17.5,0.65,1.6,0
49820,London,UK,31,1,0.1,25.7,24.7,44.5,17.5,0.77,1.4,1
49821,London,UK,31,2,0.1,23.4,23.5,55.8,17.5,0.51,1.3,0
49823,London,UK,31,1,0.1,25.6,26.5,49.3,17.5,0.7,1.4,1
49824,London,UK,31,2,0.2,25.1,24.3,46.7,17.5,0.75,1.3,1
49825,London,UK,31,2,0.1,24.2,24.1,53.5,17.5,0.49,1.7,0
49826,London,UK,31,2,0.1,25,25.9,48.7,17.5,0.81,1.4,1
49827,London,UK,31,1,0.1,24.1,25,47.3,17.5,0.74,1.6,-2
49828,London,UK,31,2,0.1,25.1,25.8,49.5,17.5,0.61,1.2,2
49829,London,UK,31,2,0.1,24.6,25.3,41.1,17.5,0.54,1.1,2
49830,London,UK,31,2,0.1,24.8,26.3,40.1,17.5,0.67,1.9,1
49832,London,UK,31,1,0.1,23.4,25,45.8,17.5,0.88,1,2
49835,London,UK,31,1,0.1,25.4,26.3,44.7,17.5,0.73,1.1,1
49836,London,UK,31,1,0.8,25.1,28.2,43.3,17.5,0.75,1.1,1
49837,London,UK,31,1,0.1,25.6,26.8,41.9,17.5,0.68,1.2,2
49838,London,UK,31,2,0.1,25.6,27.1,42.2,17.5,0.61,1.3,1
49839,London,UK,31,2,0.1,24,26.9,47.6,17.5,0.55,1,2
49840,London,UK,31,2,0.1,24.3,25.7,46.7,17.5,0.59,1.2,1
49841,London,UK,31,2,0.1,24.7,25.6,42.3,17.5,0.64,1.3,1
49842,London,UK,31,1,0.1,24.3,26,43.6,17.5,0.57,1.6,1
49843,London,UK,31,2,0.1,24.4,25.9,42,17.5,0.64,1.2,0
49846,London,UK,31,2,0.2,26.7,27.5,34.7,15.1,0.56,1.3,1
49847,London,UK,31,2,0.6,26.1,27.3,35.6,15.1,0.54,1.3,0
49848,London,UK,31,1,0.2,24.8,25.9,36.9,15.1,0.64,1.2,0
49849,London,UK,31,2,0.1,26.5,25.9,33.7,15.1,0.5,1.2,-2
49850,London,UK,31,2,0.1,26.1,27.2,34.6,15.1,0.79,1.2,-2
49851,London,UK,31,1,0.1,26.1,27.8,34.3,15.1,0.68,1.5,0
49852,London,UK,31,2,0.2,24.9,26.7,44.3,15.1,0.71,1.2,-1
49853,London,UK,31,1,0.1,25.1,25.7,44.6,15.1,0.74,1,0
49856,London,UK,31,2,0.4,25.7,26.3,37.5,15.1,0.73,1.2,1
49857,London,UK,31,1,0.1,25.5,25.5,39,15.1,0.78,1.2,0
49858,London,UK,31,2,0.1,25.7,25.6,37.1,15.1,0.74,1.2,2
49859,London,UK,31,1,0.1,24.9,26.4,36.8,15.1,0.67,2,1
49860,London,UK,31,1,0.1,24.4,26.4,35.5,15.1,0.8,1.6,1
49861,London,UK,31,2,0.2,24,24.4,37.1,15.1,0.57,1.2,0
49862,London,UK,31,2,0.2,25.3,26.1,35.1,15.1,0.56,1.2,1
49863,London,UK,31,1,0.1,24.8,26,36,15.1,0.73,1.7,0
49864,London,UK,31,1,0.8,25.1,25,35.4,15.1,0.73,1.3,0
49865,London,UK,31,1,0.1,25.3,25.2,37.1,15.1,0.69,1.2,0
49866,London,UK,31,2,0.1,25.7,26.9,37,15.1,0.46,1.5,0
49867,London,UK,31,2,0.1,26,26.5,31.5,15.1,0.61,1.7,-2
49869,London,UK,31,2,0.1,22.6,23.2,44.4,16.3,0.54,1.2,0
49870,London,UK,31,2,0.3,21,21.1,44.5,16.3,0.89,1.5,-2
49871,London,UK,31,1,0.3,21.3,21.7,42.5,16.3,0.72,1.2,0
49872,London,UK,31,2,0.3,22.7,23.3,40.2,16.3,0.74,1.2,0
49873,London,UK,31,2,0.4,21.3,24.6,46.3,16.3,0.45,1.3,-2
49874,London,UK,31,1,0.1,21.2,23.4,44.1,16.3,0.7,1.4,1
49875,London,UK,31,1,0.1,23.1,24.1,41,16.3,0.71,1.6,0
49876,London,UK,31,1,0.1,24.5,24.8,37.5,16.3,0.53,1.2,-1
49877,London,UK,31,1,0.2,27.8,28.5,31.3,16.3,0.69,1.2,2
49878,Lyon,France,31,1,0.2,29.3,30.4,44.6,13.3,0.54,1.4,1
49879,Lyon,France,31,1,0.1,28.8,30.3,36.1,13.3,0.42,1.4,1
49880,Lyon,France,31,2,0.1,29.2,30.3,34,13.3,0.39,1.5,2
49881,Lyon,France,31,2,0.1,28.9,30.7,34.4,13.3,0.4,1.5,2
49882,Lyon,France,31,1,0.1,28.8,30.6,34.3,13.3,0.44,1.1,2
49883,Lyon,France,31,1,0.2,28.9,30.6,33.7,13.3,0.62,1.2,2
49884,Lyon,France,31,2,0.1,28.2,30,34,13.3,0.4,1.7,0
49885,Lyon,France,31,1,0.1,28.2,29.3,38,13.3,0.63,1.2,2
49886,Lyon,France,31,2,0.2,28.4,30.7,33.9,13.3,0.52,1.3,2
49887,Lyon,France,31,1,0.8,28.8,32.4,33.3,13.3,0.64,1.2,2
49888,Lyon,France,31,2,0.1,28.4,31,34.5,13.3,0.48,1.5,1
49895,London,UK,31,1,0.1,21,21.3,56.1,18.9,0.67,1.4,-2
49896,London,UK,31,2,0.1,22.7,23.1,52,18.9,0.63,1.4,0
49897,London,UK,31,2,0.1,23.7,23.4,49.5,18.9,0.41,1.7,0
49898,London,UK,31,1,0.1,23.7,24,49.8,18.9,0.54,1.6,1
49899,London,UK,31,2,0.1,23.6,24.2,49.6,18.9,0.58,2.1,1
49900,London,UK,31,2,0.1,23.9,24.1,49,18.9,0.64,1.7,0
49901,London,UK,31,2,0.1,23.6,23.9,49.7,18.9,0.71,1.4,0
49902,London,UK,31,1,0.1,23.3,24.1,50,18.9,1.03,1.4,0
49903,London,UK,31,1,0.1,23.9,24.3,49.2,18.9,0.64,1.2,1
49904,London,UK,31,1,0.1,23.9,24.4,48.3,18.9,0.67,1.3,1
49905,London,UK,31,1,0.1,22.2,22,53.2,18.9,0.66,1,-2
49906,London,UK,31,2,0.1,22.5,23.1,53,18.9,0.69,1.2,0
49907,London,UK,31,1,0.1,23.1,23.1,50.7,18.9,0.69,1.2,-1
49908,London,UK,31,2,0.1,23.8,23.7,48.5,18.9,0.77,1.2,1
49909,London,UK,31,1,0.1,23.6,23.2,49.1,18.9,0.7,1.1,-1
49910,London,UK,31,2,0.1,24.1,24.6,48.2,18.9,0.64,1.2,1
49911,London,UK,31,2,0.1,23.5,23.7,48.9,18.9,0.46,1.3,-2
49912,London,UK,31,2,0.2,24.7,24.7,47.6,18.9,0.51,1.3,0
49913,London,UK,31,2,0.1,23.7,24,47.1,18.9,0.53,1.2,0
49914,London,UK,31,1,0.2,23.5,23.7,51.4,18.9,0.68,1.3,-1
49915,London,UK,31,1,0.1,23.7,23.8,48.3,18.9,0.55,1.5,0
49916,London,UK,31,2,0.1,24,23.9,46.8,18.9,0.89,1.1,1
49917,London,UK,31,1,0.1,24.5,24.9,36.5,18.9,0.39,1.2,2
49918,London,UK,31,2,0.2,25.7,25.2,40.8,18.9,0.49,1.4,1
49919,London,UK,31,1,0.1,25.5,25.2,41.8,18.9,0.54,1.3,0
49920,London,UK,31,2,0.2,25.7,26,40.6,18.9,0.44,1.5,2
49921,London,UK,31,1,0.3,24.6,26.9,44.6,18.9,1.23,1.2,1
49922,London,UK,31,2,0.3,25.3,25.5,41.5,18.9,0.55,1.2,1
49923,London,UK,31,2,0.2,25.1,25.4,42.5,18.9,0.36,1.6,0
49924,London,UK,31,1,0.2,25.3,26,44.4,18.9,0.77,1.3,1
49925,London,UK,31,1,0.2,24.3,25.9,42.3,18.4,0.5,2,2
49926,London,UK,31,1,0.1,23.2,24.1,40.4,18.4,0.72,1.2,1
49928,London,UK,31,1,0.1,24.6,24.7,37.9,18.4,0.77,1.7,1
49929,London,UK,31,1,0.1,24.9,24.1,36.4,18.4,0.49,1.2,-2
49930,London,UK,31,2,0.2,24.7,24.6,38.9,18.4,0.42,1.2,-2
49931,London,UK,31,2,0.1,25.1,25.8,38.2,18.4,0.74,1.2,1
49932,London,UK,31,2,0.1,25.2,26.1,37.7,18.4,0.75,1.4,0
49933,London,UK,31,2,0.1,25.5,25.4,37.6,18.4,0.43,1.6,1
49934,London,UK,31,2,0.1,25.5,25.9,38.2,18.4,0.34,1.6,0
49935,London,UK,31,1,0.3,23.7,24.5,42,18.4,0.84,1.2,1
49936,London,UK,31,2,0.2,24.3,24.9,40.6,18.4,0.49,1,-2
49937,London,UK,31,1,0.2,23,24,42.3,18.4,0.77,1.3,-2
49938,London,UK,31,2,0.1,24.6,24.9,41.1,18.4,0.7,1.4,0
49939,London,UK,31,2,0.1,25.2,25.9,40,18.4,0.71,1.2,1
49940,London,UK,31,2,0.1,22.8,22.8,45.4,18.4,0.77,1.2,-1
49942,London,UK,31,2,0.3,25.2,25.1,43.9,18.4,0.42,2,0
49943,London,UK,31,1,0.1,25.3,25.9,38.8,18.4,0.73,1,1
49944,London,UK,31,2,0.1,25.2,25.5,41,18.4,0.6,1,0
49945,London,UK,31,2,0.1,25.6,25,40.9,18.4,0.54,1.1,2
49946,London,UK,31,2,0.1,25.3,25.8,40.8,18.4,0.64,1.3,1
49947,London,UK,31,2,0.2,25.5,26.3,40.3,18.4,0.61,1.2,1
49948,London,UK,31,2,0.2,24,22.7,41.9,18.4,0.45,1.9,-2
49949,London,UK,31,2,0.1,26.2,26,41.9,18.4,0.36,1,1
49950,London,UK,31,2,0.1,25.5,26.4,42,18.4,0.39,1.4,0
49951,London,UK,31,2,0.2,23.1,23.2,45.7,18.4,0.93,1.2,-2
49952,London,UK,31,2,0.2,23.9,24.1,43.7,18.4,0.52,1.2,1
49953,London,UK,31,1,0.1,26.5,26.9,40.4,18.4,0.55,1.2,2
49954,London,UK,31,1,0.2,24.4,24,40.7,18.4,1.04,1.2,1
49960,London,UK,31,2,0.1,24.9,26.3,43.3,18.1,0.53,1.2,-2
49963,London,UK,31,2,0.3,28.5,29.2,36.4,18.1,0.45,1.8,2
49968,London,UK,31,1,0.1,23.7,24,44.1,18.1,0.63,1.2,0
49970,London,UK,31,2,0.2,28.9,29.1,35.4,18.1,0.64,1.4,1
49971,London,UK,31,1,0.4,29.6,30,33.3,18.1,0.7,1.3,1
49974,London,UK,31,2,0.1,28.3,28.7,34.4,18.1,0.42,1.3,2
49975,London,UK,31,1,0.1,28.3,28.3,34.9,18.1,0.5,1.2,2
49976,London,UK,31,1,0.1,25.7,26.4,36.9,18.1,0.56,1.3,1
49977,London,UK,31,2,0.2,24.8,25.8,38.2,18.1,0.34,1.3,-1
49978,London,UK,31,1,0.2,24.1,24.7,39.3,18.1,0.59,1.4,-2
49979,London,UK,31,1,0.1,25.1,26.1,36.9,18.1,0.59,1.3,2
49980,London,UK,31,1,0.2,25.1,26.5,37.3,18.1,0.62,1.5,-1
49981,London,UK,31,2,0.4,27.3,27.9,33.7,18.1,0.55,1.4,2
49982,London,UK,31,2,1,26.2,27.7,33.7,18.1,0.64,1.8,-2
49984,London,UK,31,1,0.2,27.4,27.8,32.6,18.1,0.46,1.7,2
49985,London,UK,31,2,0.3,27.3,27.2,32.1,18.1,0.65,1.6,2
49986,London,UK,31,1,0.3,26.4,26.9,33.8,18.1,0.43,2,0
49987,London,UK,31,2,0.1,27.5,28,33.4,18.1,0.44,1.5,0
49988,London,UK,31,2,0.1,28,28,29.8,18.1,0.5,1.2,2
50006,Malmo,Sweden,31,1,0.1,23.8,25,51.6,13.3,0.69,1.2,1
50008,Malmo,Sweden,31,1,0.1,22.6,25.1,50.9,13.3,0.63,1.2,0
50010,Malmo,Sweden,31,1,0.1,22.2,25.6,53.5,13.3,0.68,1.2,-1
50011,Malmo,Sweden,31,1,0.1,24.7,24.8,47.9,13.3,0.63,1.2,1
50015,Malmo,Sweden,31,1,0.1,22,25.5,54.4,13.3,0.6,1.2,-2
50026,Malmo,Sweden,31,1,0.1,23.5,25.9,50.8,18.4,0.57,1.8,0
50032,Malmo,Sweden,31,1,0.1,22.6,23.9,51.7,18.4,0.55,2.3,0
50033,Malmo,Sweden,31,2,0.1,24.5,25,48.5,18.4,0.39,1.9,2
50089,London,UK,31,2,0.1,22.7,23.3,51,17.1,0.75,1.2,-2
50090,London,UK,31,1,0.2,22.6,23.4,51.1,17.1,0.96,1.2,1
50091,London,UK,31,2,0.1,23.7,24,47,17.1,0.42,1.5,1
50092,London,UK,31,2,0.1,23.1,21.4,50.3,17.1,0.83,1.3,0
50093,London,UK,31,1,0.1,24.2,24.6,51.8,17.1,0.76,1.1,1
50094,London,UK,31,1,0.1,24.8,25.5,50.3,17.1,0.74,1.2,2
50095,London,UK,31,1,0.1,24.7,25.5,52.1,17.1,0.64,1.8,1
50096,London,UK,31,1,0.1,24.6,24.7,47.4,17.1,0.78,1.3,-1
50097,London,UK,31,1,0.2,24.1,24,45.8,17.1,0.53,1.5,-1
50098,London,UK,31,2,0.1,24.1,24.7,53.4,17.1,0.39,1.6,0
50099,London,UK,31,1,0.1,24.4,25.1,50.3,17.1,0.68,1.2,1
50100,London,UK,31,2,0.1,24.4,24.5,52.3,17.1,0.65,1.3,1
50101,London,UK,31,1,0.1,24.9,25.4,49,17.1,0.57,1,0
50102,London,UK,31,2,0.1,24.3,24.9,51.5,17.1,0.55,1,-1
50104,London,UK,31,2,0.1,23.2,23.8,48.7,17.1,0.68,1.2,-1
50105,London,UK,31,2,0.1,24.1,24.8,43.9,17.1,0.62,1,1
50106,London,UK,31,1,0.2,23.5,23.5,43.3,17.1,0.76,1.3,-1
50108,Malmo,Sweden,31,1,0.1,22,23,60.9,19.8,0.63,1.2,0
50111,Malmo,Sweden,31,2,0.1,22,23.6,59.2,19.8,0.73,1.4,1
50117,Malmo,Sweden,31,2,0.1,22.5,24.2,60.5,19.8,0.88,1.2,0
50118,Malmo,Sweden,31,1,0.1,22.2,25.9,58.5,19.8,0.58,1.2,0
50121,Malmo,Sweden,31,1,0.1,23.3,24.9,56.9,19.8,0.73,1.2,-1
50123,London,UK,31,2,0.1,23.7,24.9,61.4,17.7,0.7,1.2,2
50124,Malmo,Sweden,31,1,0.1,22.7,24.2,59.5,19.8,0.57,1.4,0
50127,London,UK,31,2,0.1,24.1,24.8,60.5,17.7,0.54,1.2,1
50129,London,UK,31,2,0.1,24.6,25,59.3,17.7,0.57,1.2,1
50131,London,UK,31,2,0.1,24.9,24.9,58.7,17.7,0.57,1.5,1
50134,London,UK,31,2,0.1,24.6,24.6,58.1,17.7,0.64,1.5,1
50139,London,UK,31,2,0.4,24.6,25.9,45.7,17.7,0.51,1.2,0
50140,London,UK,31,2,0.2,25.2,26.1,45.2,17.7,0.88,1.2,0
50141,London,UK,31,1,0.1,25.2,26.3,45.4,17.7,0.78,1.2,2
50143,London,UK,31,1,0.1,26.3,26.3,44.4,17.7,0.69,1.4,2
50145,London,UK,31,1,0.2,25.1,25.5,46.7,17.7,0.74,1.2,0
50147,London,UK,31,2,0.2,25,25.6,45.8,17.7,0.54,1.3,-2
50149,London,UK,31,2,0.1,22.2,22.9,60.5,16.1,0.73,1.5,1
50150,London,UK,31,1,0.1,22.4,22.7,59.9,16.1,0.75,1.2,-2
50151,London,UK,31,1,0.1,22.5,23,59.8,16.1,0.76,1,1
50152,London,UK,31,1,0.1,22.9,23.1,59,16.1,0.59,2.7,1
50153,London,UK,31,2,0.2,22.9,23.4,58.4,16.1,0.91,1.2,1
50154,London,UK,31,2,0.1,22.9,23.7,58.5,16.1,0.55,1.8,0
50156,London,UK,31,2,0.1,23.5,24.3,56.2,16.1,0.67,1.2,1
50157,London,UK,31,1,0.1,22.5,22.1,60.8,16.1,0.88,1.7,-2
50158,London,UK,31,1,0.1,23.8,24.1,56.3,16.1,1.01,1.4,-2
50159,London,UK,31,2,0.1,23.6,24,56.8,16.1,0.52,1.7,-1
50161,London,UK,31,1,0.1,22.9,23.1,57.4,16.1,1.04,1.2,-2
50162,London,UK,31,2,0.1,22.4,23,59.5,16.1,0.59,1.6,-1
50163,London,UK,31,1,0.1,21.7,21.9,61.9,16.1,0.61,1.4,0
50164,London,UK,31,2,0.1,23.1,23.4,57.2,16.1,0.75,1.6,1
50165,London,UK,31,1,0.1,22.7,23.8,60,16.1,0.64,1,-1
50166,London,UK,31,1,0.1,23.3,23.9,58.1,16.1,0.54,1.6,1
50167,London,UK,31,2,0.1,23.4,23.6,55.7,16.1,0.7,1.7,0
50168,London,UK,31,2,0.1,24,24.7,54,16.1,0.92,1.2,1
50169,London,UK,31,1,0.1,25,24.8,52,16.1,0.64,1,1
50170,London,UK,31,1,0.1,24.5,24.6,53.4,16.1,1.03,1.3,1
50171,London,UK,31,1,0.1,24.7,25.3,52.8,16.1,0.59,1.2,0
50172,London,UK,31,2,0.1,24.9,25.5,51.3,16.1,0.7,1.1,1
50173,London,UK,31,2,0.1,25.2,25.4,51.1,16.1,0.78,2.1,1
50174,London,UK,31,2,0.1,25.2,26,50.4,16.1,0.6,1.2,1
50175,London,UK,31,1,0.1,23.3,24.2,54.6,16.1,0.67,1.4,1
50176,London,UK,31,2,0.1,23.5,23.9,54.8,16.1,0.51,1.9,2
50177,Lyon,France,31,1,0.1,23.4,25,60.1,13.3,0.56,1.4,0
50178,Lyon,France,31,1,0.1,23.2,25.4,61.1,13.3,0.56,1.5,-1
50179,Lyon,France,31,1,0.1,24.5,25.6,57.2,13.3,0.88,1.3,0
50180,Lyon,France,31,2,0.1,26.3,26.6,52.4,13.3,0.9,1.1,1
50182,Lyon,France,31,1,0.1,26.4,27.1,51.4,13.3,0.59,1.3,1
50183,Lyon,France,31,2,0.1,25.7,27.3,53.8,13.3,0.57,1.5,1
50184,Lyon,France,31,2,0.1,26.1,26.6,52,13.3,0.57,1.2,2
50185,Lyon,France,31,1,0.1,24.1,26.5,55.2,13.3,0.58,1.2,0
50186,Lyon,France,31,2,0.1,26.3,26.8,47.3,13.3,0.65,1,0
50187,Lyon,France,31,2,0.1,25.9,27.2,48.3,13.3,0.72,1.2,1
50188,Lyon,France,31,1,0.1,26.2,27.6,48.6,13.3,0.56,1.3,1
50189,Lyon,France,31,2,0.1,26.8,27,48,13.3,0.64,1.2,2
50190,Lyon,France,31,2,0.1,26.6,28.1,47.6,13.3,0.39,1,2
50191,Lyon,France,31,1,0.1,26.4,27.5,49.3,13.3,0.58,1.3,1
