,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
14,Sweden,0.4,9,26.55,0.59,1.2,25.4,41.7,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,77.7,26.5,79.7,26.2,79.2,drier,-2,0,,,Database 2
15,Sweden,0.9,20,28.47,0.56,1.6,25.4,41.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,no change,77.7,26,78.8,25.9,78.6,no change,0,0,,,Database 2
16,Sweden,0.5,10,26.51,0.57,1.2,26,38.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,less,78.8,26.2,79.2,26.1,79,more humid,1,0,,,Database 2
17,Sweden,0.4,8,26.18,0.55,1.2,25.5,38.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,2,cooler,no change,77.9,26.5,79.7,26.2,79.2,drier,-2,0,,,Database 2
18,Sweden,0.6,12,27.66,0.43,1.9,22.8,56.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,73,24.3,75.7,24,75.2,more humid,0,0,,,Database 2
19,Sweden,0.6,14,28.1,0.48,1.9,22.7,56,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,less,72.9,24.2,75.6,24,75.2,more humid,-2,0,,,Database 2
20,Sweden,0.5,10,27.22,0.77,1.2,24.3,54,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,75.7,25.1,77.2,25,77,no change,0,0,,,Database 2
21,Sweden,0.8,20,28.22,0.35,1.9,24.7,53.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,1,cooler,less,76.5,25.4,77.7,25.3,77.5,no change,0,0,,,Database 2
22,Sweden,0.2,6,25.84,0.63,1.2,24.1,52.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,less,75.4,24.9,76.8,24.7,76.5,more humid,1,0,,,Database 2
23,Sweden,0.7,16,28.3,0.51,1.8,23.9,54,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,less,75,24.3,75.7,24.3,75.7,no change,0,0,,,Database 2
24,Sweden,0,5,25.24,0.63,1.2,22.9,57.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,73.2,24.7,76.5,24.4,75.9,no change,0,0,,,Database 2
25,Sweden,1,25,30.44,0.7,1.9,23.7,54.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Gothenburg,Classroom,Mixed Mode,Mechanical Heating,0,no change,no change,74.7,24.3,75.7,24.2,75.6,drier,-1,0,,,Database 2
26,Sweden,-0.1,5,25.05,0.72,1.2,22.4,53.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,more,72.3,23.8,74.8,23.4,74.1,no change,0,0,,,Database 2
27,Sweden,1.3,39,31.07,0.49,2.4,23.6,49.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,74.5,24.1,75.4,24,75.2,more humid,2,0,,,Database 2
28,Sweden,0.8,18,28.68,0.53,1.9,23.3,49.6,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,73.9,24.8,76.6,24.3,75.7,no change,0,0,,,Database 2
29,Sweden,0.4,8,26.98,0.63,1.6,22.5,52.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,72.5,24.6,76.3,23.8,74.8,more humid,2,0,,,Database 2
30,Sweden,0.3,7,26.51,0.69,1.2,23.8,51.6,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,74.8,25,77,24.6,76.3,more humid,2,19.69,,,Database 2
31,Sweden,0.7,15,28.2,0.53,1.8,23.2,51.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,73.8,25.3,77.5,24.7,76.5,drier,-1,0,,,Database 2
32,Sweden,0.1,5,25.7,0.63,1.2,22.6,50.9,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,72.7,25.1,77.2,24.2,75.6,more humid,2,19.69,,,Database 2
33,Sweden,0.1,5,25.71,0.69,1.2,23.2,50.6,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2,cooler,no change,73.8,24.8,76.6,24.5,76.1,no change,0,0,,,Database 2
34,Sweden,0.1,5,25.98,0.68,1.2,22.2,53.5,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-1,warmer,less,72,25.6,78.1,24,75.2,no change,0,19.69,,,Database 2
35,Sweden,0.2,6,25.96,0.63,1.2,24.7,47.9,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,more,76.5,24.8,76.6,24.7,76.5,no change,0,19.69,,,Database 2
36,Sweden,0.9,20,28.84,0.65,1.6,25.4,45.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,77.7,25.1,77.2,25.2,77.4,no change,0,0,,,Database 2
37,Sweden,0.4,8,26.48,0.63,1.2,25.1,48.1,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,2,cooler,no change,77.2,25.4,77.7,25.3,77.5,more humid,1,0,,,Database 2
38,Sweden,0.4,9,26.79,0.59,1.4,24,47.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,75.2,25.6,78.1,25.2,77.4,no change,0,0,,,Database 2
39,Sweden,-0.1,5,25.3,0.6,1.2,22,54.4,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2,warmer,no change,71.6,25.5,77.9,23.9,75,no change,0,19.69,,,Database 2
40,Sweden,0.1,5,25.84,0.58,1.6,22,61.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,no change,71.6,22.3,72.1,22.2,72,no change,0,0,18.4,65.1,Database 2
41,Sweden,-0.4,8,23.78,0.58,1.2,22.4,55.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2,no change,more,72.3,23.4,74.1,23.1,73.6,no change,0,0,18.4,65.1,Database 2
42,Sweden,-0.2,6,24.52,0.58,1.2,23.1,52.8,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1,cooler,no change,73.6,24.2,75.6,23.9,75,drier,-1,0,18.4,65.1,Database 2
43,Sweden,0.4,9,26.88,0.51,1.6,23.7,51.3,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2,no change,no change,74.7,25,77,24.7,76.5,more humid,1,0,18.4,65.1,Database 2
44,Sweden,0.3,6,26.06,0.53,1.4,23.7,54.9,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0,no change,less,74.7,23.8,74.8,23.8,74.8,no change,0,0,18.4,65.1,Database 2
