,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal comfort,activity_10,activity_20,activity_30,activity_60,Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡F)
58,-1.6,59.0,18.71,0.7,1.2,23.1,24.7,1.04,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.1,73.7,22.2,72.0,22.4,72.3,22.4,72.4,22.2,72.0,21.1,69.9,204.72,1.04,204.72,0.07,13.79,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
59,-0.8,20.0,20.9,0.83,1.3,23.1,24.7,1.04,-1.0,6.0,2.0,1.2,1.2,1.2,73.7,23.1,73.7,22.2,72.0,22.4,72.3,22.4,72.4,22.2,72.0,21.1,69.9,204.72,1.04,204.72,0.07,13.79,0.1,19.7,0.0,1.0,0.0,0.0,1.0,41.0
60,-1.2,34.0,20.98,0.25,1.2,24.2,28.9,0.04,0.0,6.0,1.2,1.2,1.2,1.2,75.6,24.2,75.6,23.3,73.9,23.2,73.7,23.7,74.7,23.5,74.4,22.0,71.6,7.87,0.04,7.87,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
61,-1.0,24.0,20.63,0.86,1.2,24.3,28.9,1.6,0.0,6.0,1.2,1.2,1.2,1.2,75.7,24.3,75.7,23.2,73.8,23.2,73.7,23.7,74.6,23.3,73.9,21.9,71.5,314.96,1.6,314.96,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
62,-1.7,63.0,18.36,0.64,1.2,24.3,28.9,1.6,0.0,5.0,1.2,1.2,1.2,1.2,75.7,24.3,75.7,23.2,73.8,23.2,73.7,23.7,74.6,23.3,73.9,21.9,71.5,314.96,1.6,314.96,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
63,-2.8,98.0,16.44,0.33,1.2,23.1,29.9,0.52,0.0,6.0,1.2,1.2,1.2,1.2,73.7,23.1,73.7,22.3,72.1,22.5,72.5,22.4,72.4,22.3,72.1,21.2,70.1,102.36,0.52,102.36,0.09,17.73,0.1,19.7,0.0,0.0,0.0,0.0,1.0,41.0
64,-1.1,32.0,20.65,0.74,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
65,-1.0,27.0,21.02,0.78,1.2,23.2,29.6,0.56,0.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,0.0,41.0
66,-0.8,19.0,21.73,0.86,1.2,23.2,29.6,0.56,0.0,6.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
67,-1.0,28.0,20.93,0.77,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
68,-0.7,14.0,22.33,0.93,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
69,-1.3,39.0,20.18,0.69,1.2,23.2,29.6,0.56,1.0,5.0,1.2,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
70,-0.4,8.0,22.7,0.82,1.4,23.2,29.6,0.56,1.0,5.0,1.2,1.9,1.9,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,1.0,1.0,0.0,1.0,1.0,41.0
71,-0.7666666666666667,19.666666666666668,21.853333333333335,0.85,1.2333333333333334,23.2,29.6,0.56,0.0,6.0,1.6,1.2,1.2,2.0,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,1.0,0.0,1.0,1.0,41.0
72,-0.4,8.0,23.18,0.99,1.3,23.2,29.6,0.56,0.0,5.0,1.6,1.2,1.2,1.2,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
73,0.4,9.0,25.96,0.93,1.9,23.2,29.6,0.56,1.0,5.0,1.6,2.0,1.6,2.0,73.7,23.2,73.7,22.4,72.2,22.5,72.6,22.5,72.5,22.3,72.2,21.2,70.2,110.24,0.56,110.24,0.07,13.79,0.1,19.7,0.0,0.0,0.0,1.0,1.0,41.0
