,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
13,Portugal,0.9,21,29.19,0.66,1.3,25.5,61.5,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.9,26.7,80.1,26.2,79.2,drier,-1,19.69,18.3,64.9,Database 2
14,Portugal,0.8,18,28.47,0.68,1.3,25.4,59.4,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.7,26.8,80.2,26.4,79.5,drier,-1,0,18.3,64.9,Database 2
15,Portugal,0.7,14,27.88,0.63,1.2,25.3,56.1,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,77.5,26.8,80.2,26.2,79.2,no change,0,19.69,18.9,66,Database 2
16,Portugal,0.7,15,27.67,0.56,1.2,26,54.1,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,cooler,less,78.8,27,80.6,26.6,79.9,no change,0,19.69,18.9,66,Database 2
17,Portugal,0.8,18,28.43,0.73,1.2,25.8,50.8,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,cooler,less,78.4,26.6,79.9,26.3,79.3,more humid,2,19.69,18.9,66,Database 2
18,Portugal,0.7,16,27.88,0.56,1.2,24.8,53.4,0.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,less,76.6,28.2,82.8,26.8,80.2,no change,0,19.69,18.9,66,Database 2
19,Portugal,0.7,14,27.34,0.55,1.2,26.1,52.2,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,less,79,26.9,80.4,26.8,80.2,more humid,2,0,18.9,66,Database 2
20,Portugal,0.8,18,27.53,0.51,1.2,26.8,48.6,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,80.2,27.5,81.5,27.4,81.3,no change,0,0,18.9,66,Database 2
21,Portugal,1.5,50,32.4,0.66,1.7,27.2,55,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,more,81,27.5,81.5,27.5,81.5,more humid,2,0,18.9,66,Database 2
22,Portugal,1.3,41,29.99,0.65,1.2,28.1,52.5,0,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,no change,82.6,28.5,83.3,28.5,83.3,no change,0,0,18.9,66,Database 2
