PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation
0.7,15,27.25,0.66,1,27.9,55,0.22,-1
1.5,52,31.37,0.51,2,27.9,55,0.22,-1
1.6,59,32.98,0.69,2,27.9,55,0.22,-1
1,26,28.75,0.84,1,28.2,48,0.16,0
0.8,19,27.88,0.7,1,28.2,48,0.16,1
0.8,19,27.88,0.7,1,28.2,48,0.16,1
0.8,19,27.88,0.7,1,28.2,48,0.16,-2
0.8,19,27.88,0.7,1,28.2,48,0.16,2
0.9,22,28.32,0.77,1,28.2,48,0.16,2
0.4,9,26.5,0.7,1,26.7,47,0.25,0
0.4,9,26.5,0.7,1,26.7,47,0.25,2
0.3,7,26.11,0.64,1,26.7,47,0.25,0
0.3,7,26.11,0.64,1,26.7,47,0.25,0
0.4,8,26.24,0.66,1,26.7,47,0.25,0
0.8,18,27.97,0.73,1,27.4,51,0.1,2
0.5,10,27,0.62,1,27.1,52,0.16,0
0.6,12,26.92,0.62,1,26.8,53,0.03,0
0.7,15,27.32,0.68,1,26.8,53,0.03,-1
0.7,15,27.32,0.68,1,26.8,53,0.03,0
0.8,18,28.07,0.73,1,27.1,55,0.11,0
0.7,15,27.74,0.68,1,27.1,55,0.11,-1
0.2,6,26.24,0.62,1,25.8,66,0.16,1
0.2,6,26.24,0.62,1,25.8,66,0.16,-2
0.2,6,26.24,0.62,1,25.8,66,0.16,-1
0.2,6,26.24,0.62,1,25.8,66,0.16,-1
0.2,6,26.24,0.62,1,25.8,66,0.16,0
0.4,8,26.41,0.75,1,25.7,47,0.08,1
0.2,6,25.68,0.64,1,25.7,47,0.08,1
0.2,6,25.68,0.64,1,25.7,47,0.08,0
0.2,6,25.68,0.64,1,25.7,47,0.08,0
0.2,6,26.12,0.75,1,24.6,46,0.02,-2
0.4,8,26.69,0.84,1,24.6,46,0.02,-2
0,5,25.26,0.62,1,24.6,46,0.02,-1
0,5,25.4,0.64,1,24.6,46,0.02,-1
0,5,25.4,0.64,1,24.6,46,0.02,-1
1.1,30,27.77,0.97,1,28.8,59,1.3,-2
0.6,14,25.84,0.72,1,28.8,59,1.3,2
0.6,14,25.84,0.72,1,28.8,59,1.3,-1
0.6,14,25.84,0.72,1,28.8,59,1.3,-1
0.8,17,26.07,0.64,1,29.2,59,1.08,1
0.9,22,26.54,0.7,1,29.2,59,1.08,0
1.1,32,27.63,0.84,1,29.2,59,1.08,-1
1.1,32,27.63,0.84,1,29.2,59,1.08,2
0.4,8,26.76,0.7,1,26,54,0.12,-2
0.6,12,27.69,0.84,1,26,54,0.12,2
0.4,8,26.89,0.72,1,26,54,0.12,2
0.4,9,27.1,0.75,1,26,54,0.12,0
0.4,8,26.89,0.72,1,26,54,0.12,-1
0.3,6,26.34,0.64,1,26,54,0.12,-2
0,5,25.09,0.66,1,24.9,51,0.01,-1
0.1,5,25.72,0.75,1,24.9,51,0.01,0
0.1,5,25.72,0.75,1,24.9,51,0.01,0
0,5,25.37,0.7,1,24.9,51,0.01,1
-0.1,5,24.96,0.64,1,24.8,53,0.01,-2
-0.1,5,24.96,0.64,1,24.8,53,0.01,-1
0.1,5,25.95,0.75,1,25.1,50,0.22,0
0,5,25.62,0.7,1,25.1,50,0.22,0
0.3,7,26.53,0.84,1,25.1,50,0.22,-2
-0.1,5,25.21,0.64,1,25.1,50,0.22,0
0,5,25.62,0.7,1,25.1,50,0.22,-1
-0.1,5,25.21,0.64,1,25.1,50,0.22,0
0,5,25.62,0.7,1,25.1,50,0.22,-2
-0.1,5,25.35,0.66,1,25.1,50,0.22,-1
-0.1,5,25.21,0.64,1,25.1,50,0.22,-1
