Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.28,23.8,24.3,59,28,0.28,1.266666667,21.66666667,24.42666667,0,Tunisia
0.17,24.3,22.1,55.5,28,0.38,1.3,5,25.01,0,Tunisia
0.14,22.9,24.1,58,28,0.28,1.4,7,24.2,1,Tunisia
1.04,27.6,24,51,28,0.28,1.3,13,24.7,0,Tunisia
1.04,27.6,24.3,51,28,0.37,2,57,27.16,0,Tunisia
1.04,27.6,23.1,51,28,0.453333333,1.3,28,26.40333333,0,Tunisia
0.09,24,23,39.5,28,0.91,1.3,16,28.61,1,Tunisia
0.13,25.5,21.9,61,28,0.87,1.3,21,29.87,0,Tunisia
0.05,26.3,23.4,50.5,28,0.71,1,14,27.35,1,Tunisia
0.04,25.1,23.8,58.5,28,0.51,1,5,24.68,1,Tunisia
0.08,25.7,23.9,46.5,28,0.82,1,13,27.43,1,Tunisia
0.13,23.1,23.6,45.6,28,0.51,1,26,22.98,1,Tunisia
0.11,24.8,24.7,53.53333333,28,0.96,1,18,26.04666667,0,Tunisia
0.1,24,24.8,62,28,0.47,1.3,5,25.21,1,Tunisia
0.14,25.5,24.6,53,28,0.85,1.3,23,29.95,0,Tunisia
0.13,24.9,25.3,57,28,0.65,1.1,5,25.64,2,Tunisia
0.08,25,25.5,64,28,0.54,1.3,12,27.48,0,Tunisia
0.04,24.8,25.4,64,28,0.29,1,16,23.02,0,Tunisia
0.06,24.8,26,62,28,0.42,1,6,24.51,0,Tunisia
0.1,25.1,24.2,42,28,0.52,1.3,8,26.47,1,Tunisia
0.07,24.7,23.9,39,28,0.6,1,5,25.05,0,Tunisia
0.08,24.7,24.1,39,28,1.05,1.1,13,27.73,0,Tunisia
0.07,23.2,25.5,65,28,0.84,1.3,12,28.23,1,Tunisia
0.1,23.3,21.1,64,28,0.47,1,16,23.16,0,Tunisia
0.1,23.3,25.6,64,28,0.52,1,13,23.53,0,Tunisia
0.14,24.2,24.8,60,28,0.42,1.1,8,24.5,1,Tunisia
0.31,26.3,25.2,58,28,0.27,1.4,21,26.81,0,Tunisia
0.31,26.3,22,58,28,0.28,1.3,15,26.41,0,Tunisia
0.58,25.8,24.4,61.5,28,0.18,1.3,28,21.19,0,Tunisia
0.38,26.2,24.7,62,28,0.27,1.4,5,24.12,1,Tunisia
0.29,26.2,25.5,61,28,0.38,1.3,6,25.1,1,Tunisia
0.4,26,25.6,65,28,0.28,2,34,27.48,2,Tunisia
0.07,28.2,26.5,53.5,28,0.33,1,8,23.28,1,Tunisia
0.08,29.5,26,64,28,0.27,1,21,27.21,2,Tunisia
0.23,27.4,25.5,60,28,0.28,1.3,14,26.55,2,Tunisia
0.08,28,25.2,63,28,0.25,1,14,26.62,1,Tunisia
0.08,26.5,25,59,28,0.18,1.4,16,26.92,0,Tunisia
0.16,26,25.6,59,28,0.18,1,23,23.08,0,Tunisia
0.4,24,26,65,28,0.28,2,9,24.86,0,Tunisia
0.21,25.5,26,62,28,0.18,1.3,7,23.64,0,Tunisia
1.34,25.2,25.2,61,28,0.28,1.3,51,19.95,0,Tunisia
0.08,25.4,25.4,61,28,0.28,1.3,6,25.43,0,Tunisia
0.78,24.4,26.5,63,28,0.28,2,5,22.4,0,Tunisia
0.16,25.6,22.2,60,28,0.48,1,5,25.76,0,Tunisia
0.09,26,22.7,60,28,0.28,1.4,17,27.49,1,Tunisia
0.25,26.1,23.3,60,28,0.18,1.3,7,23.35,2,Tunisia
0.17,26.7,23.5,58.5,28,0.51,1.5,29,29.65,2,Tunisia
0.05,27.9,21.2,53,28,0.51,1.3,38,29.58,2,Tunisia
0.37,26.7,23.2,57.5,28,0.62,1,5,25.23,1,Tunisia
0.07,26.7,23.6,60,28,0.47,1.3,25,28.74,2,Tunisia
0.13,27.1,24.3,59,28,0.31,1,6,25.9,0,Tunisia
0.09,26,24.9,59,28,0.47,1.3,18,28.08,2,Tunisia
0.08,26.2,24.5,60,28,0.56,1,13,27.24,1,Tunisia
0.07,26,26.1,59.5,28,0.47,1,7,26.18,0,Tunisia
0.16,27.1,26,60,28,0.41,1,10,26.94,0,Tunisia
0.12,26,27.2,59,28,0.27,1,8,24.23,1,Tunisia
0.17,26.4,26.8,57,28,0.4,1.3,14,27.38,2,Tunisia
0.18,26.4,24.6,57,28,0.4,1,5,25.71,2,Tunisia
0.16,26.3,26,57,28,0.4,1,5,25.73,1,Tunisia
0.23,26.6,25.9,44,28,0.47,1,5,24.77,0,Tunisia
0.08,24.7,25.3,45.5,28,1.12,1.1,21,29.02,0,Tunisia
0.07,25.5,23.8,40,28,0.56,1.3,12,27.1,1,Tunisia
0.1,27,24.5,59,28,0.52,1.1,21,28.03,1,Tunisia
0.1,27.1,25.4,59,28,0.47,1,17,27.53,1,Tunisia
0.13,27.6,24.4,58,28,0.47,1,16,27.77,1,Tunisia
0.18,23.4,22.3,53,28,0.37,1.3,7,24.18,0,Tunisia
0.22,26,22.7,63,28,0.29,1.3,5,24.94,0,Tunisia
0.48,26.3,23.2,62,28,0.18,1.3,15,21.96,0,Tunisia
0.23,25.7,23.8,63,28,0.27,1.3,5,24.72,0,Tunisia
0.58,26,23.4,64,28,0.18,2,11,23.64,0,Tunisia
0.1,26.5,23.6,66,28,0.37,1.7,33,30.19,2,Tunisia
0.31,25.9,24.1,59,28,0.2,1.7,9,24.97,1,Tunisia
0.65,26.4,22.9,55,28,0.43,2,27,26.55,0,Tunisia
0.07,28,22.2,54,28,0.68,2,30.66666667,26.57666667,2,Tunisia
0.68,27,22.7,54,28,0.37,2,30,26.19,1,Tunisia
0.41,27.2,22.2,53.5,28,0.3,2,35,26.99,1,Tunisia
0.26,26.5,23.3,61,28,0.28,1,9,23.98,0,Tunisia
0.65,26.4,23.1,65,28,0.35,1,25,22.53,0,Tunisia
0.56,26.4,25.2,63,28,0.4,1,7,24.12,0,Tunisia
0.16,26.9,24.4,63,28,0.28,1,5,25.74,0,Tunisia
0.52,26.4,23.6,62,28,0.18,1.3,8,22.83,0,Tunisia
0.23,28,23.7,56,28,0.51,1,17,27.17,0,Tunisia
0.16,27.3,24.1,57,28,0.56,1.3,37,30.04,1,Tunisia
0.19,27.9,22.8,57,28,0.69,1,31,28.95,0,Tunisia
0.07,27.5,20.8,51,28,0.51,1.3,29,28.88,0,Tunisia
0.1,28.3,23.4,49,28,0.26,1,10,26.12,2,Tunisia
0.76,27.5,24.5,52.5,28,0.47,1.3,13,25.43,2,Tunisia
0.76,27.5,24.8,52,28,0.72,1,19,26.88,2,Tunisia
0.1,27.6,25.8,57.5,28,0.4,1,21,27.65,1,Tunisia
0.07,27.2,23.6,58,28,0.47,1.3,29,28.97,2,Tunisia
0.12,26.2,24.3,56.5,28,0.4,1,6,26.09,0,Tunisia
0.1,26.2,24.3,57.5,28,0.2,1,7,24.09,0,Tunisia
0.25,26.1,23.4,57,28,0.56,1,9,26.57,0,Tunisia
0.46,25.7,23.5,59,28,1.01,1,12,27.26,0,Tunisia
0.85,25.7,23.7,59,28,0.56,1.1,8,23.44,0,Tunisia
0.07,27.2,23.76666667,45,28,0.35,1.3,14,26.69,2,Tunisia
0.15,22.2,23.1,41,28,0.41,1.3,10,23.82,-1,Tunisia
0.26,28,24.9,59.5,28,0.24,1.2,8,25.44,0,Tunisia
0.27,28.4,24.5,60,28,0.2,1.5,23,26.67,0,Tunisia
0.2,28.3,23.26666667,59,28,0.28,0.9,5,25.82,1,Tunisia
0.26,28.4,21.2,60,28,0.18,1.1,5,24.73,1,Tunisia
0.26,28.7,23.2,59,28,0.33,1.2,19,26.74,0,Tunisia
0.18,28.6,24,56,28,0.2,1.2,18,26.84,2,Tunisia
0.4,31.4,24.3,53,28,0.33,1,64,27.96,2,Tunisia
0.42,31.3,23.86666667,53,28,0.3,1.1,67,28.01,1,Tunisia
0.14,31,23.53333333,54,28,0.28,1,75,30.28,2,Tunisia
0.09,29.1,23.9,58,28,0.48,1.3,54,31.1,2,Tunisia
0.31,27.6,24.1,59,28,0.4,1.6,42,29.05,2,Tunisia
1.56,27.9,24.3,59,28,0.38,1.1,8,23.08,0,Tunisia
0.08,28.8,24.1,58,28,0.45,1.2,41,29.48,2,Tunisia
0.23,27.7,23.83333333,61,28,0.38,1.2,15,26.91,0,Tunisia
0.4,27.7,24.3,59,28,0.18,1,17,23.11,0,Tunisia
0.29,27.6,22.9,59,28,0.4,1.1,15,26.62,1,Tunisia
0.19,29.8,23.4,54.5,28,0.81,1.2,68,32.1,2,Tunisia
0.2,30.8,22.9,63,28,0.67,1.1,80,32.18,0,Tunisia
0.28,31.8,22.5,63,28,0.58,1.1,89,31.98,2,Tunisia
0.23,31,24.13333333,64,28,0.52,1.3,78,32.59,2,Tunisia
0.27,30.9,24.2,64,28,0.54,1.2,79,31.81,2,Tunisia
0.08,28.7,23.8,57,28,0.54,1.2,55,30.73,0,Tunisia
