Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.1,20.7,25.6,66.2,13,0.89,1.2,7,24.11,-1,Australia
0.12,23.8,25.6,55.6,13,0.61,1.3,5,25.33,0,Australia
0.09,19.7,25.6,69.5,13,0.74,1.3,10,23.18,-2,Australia
0.05,22.1,25.6,62,13,0.91,1.1,6,24.46,-1,Australia
0.11,23.9,25.6,54.6,13,0.52,1.4,6,25.84,1,Australia
0.07,22.2,25.6,62,13,0.92,1.1,5,25.17,-2,Australia
0.04,22.2,25.6,60.9,13,0.73,1.3,5,24.78,0,Australia
0.03,19.5,25.6,71.5,13,1.27,1.2,5,26.14,-2,Australia
0.06,22.6,25.6,54.6,13,0.8,1.1,6,24.69,-1,Australia
0.09,24.7,25.6,49.2,13,0.52,1.1,6,24.33,2,Australia
0.12,21.3,25.6,55,13,0.55,1.1,38,21.17,-1,Australia
0.08,22.6,25.6,54.6,13,0.41,1.1,30,21.62,0,Australia
0.11,21.9,25.6,35,13,0.46,1.1,48,20.71,2,Australia
0.13,23.3,25.6,52,13,0.73,1.1,7,24.5,0,Australia
0.05,20.2,25.6,61.9,13,0.76,1.1,24,21.77,-1,Australia
0.07,24.1,25.6,50.5,13,0.68,1.1,5,24.93,0,Australia
0.04,22.1,25.6,56.3,13,0.59,1.1,17,22.52,0,Australia
0.06,21.2,25.6,60.8,13,0.76,1.1,14,22.69,0,Australia
0.1,23,25.6,54.3,13,0.71,1.1,7,24.23,1,Australia
0.16,20.2,25.6,60.3,13,1.07,1.2,7,24.87,-1,Australia
0.07,19.2,25.6,66.4,13,0.85,1.3,11,23.2,-2,Australia
0.05,20.2,25.6,56.4,13,0.43,1.1,73,19.15,0,Australia
0.09,20.5,25.6,58.9,13,1.04,1.2,5,25.16,-1,Australia
0.07,20.7,25.6,56.3,13,0.77,1.3,8,23.89,-1,Australia
0.1,20.8,25.6,53.8,13,0.71,1.1,23,21.93,-2,Australia
0.04,21.3,25.6,54.5,13,0.55,1.3,11,22.91,1,Australia
0.13,21.7,25.6,53.3,13,0.53,1.4,9,23.56,2,Australia
0.1,21.7,25.6,55.7,13,0.53,1.3,15,22.51,0,Australia
0.08,22.7,25.6,57.5,13,0.78,1.3,9,27.36,0,Australia
0.1,20.6,25.6,60.4,13,0.97,1.1,9,23.84,1,Australia
0.08,21.2,25.6,59.2,13,0.46,1.1,50,20.52,-1,Australia
0.06,20.8,25.6,61.7,13,0.88,1.2,7,24.25,-1,Australia
0.07,22.3,25.6,60.3,13,0.71,1.3,6,26.64,1,Australia
0.08,18.9,25.6,71.3,13,0.82,1.1,29,21.31,-2,Australia
0.1,20.8,25.6,61.7,13,0.72,1.1,20,22.09,-1,Australia
0.09,22.6,25.6,58.5,13,0.74,1.1,7,24.18,0,Australia
0.09,20.6,25.6,65.7,13,0.83,1.1,13,22.96,-1,Australia
0.12,23.4,25.6,57.5,13,0.61,1.1,6,24.71,0,Australia
0.11,23.3,25.6,59.8,13,0.82,1.6,13,28.91,-1,Australia
0.07,22.6,25.6,62.1,13,0.68,1.3,5,25.2,-1,Australia
0.06,22.1,25.6,64.6,13,0.94,1.3,6,26.79,-2,Australia
0.11,23,25.6,59.6,13,0.8,1.3,6,26.89,2,Australia
0.12,21.9,25.6,62.6,13,0.44,1.5,8,23.7,2,Australia
0.07,22.6,25.6,62.3,13,0.75,1.3,5,25.76,-2,Australia
0.1,21.2,25.6,64.7,13,0.68,1.1,19,22.16,-1,Australia
0.07,24,25.6,60.1,13,0.96,1.4,19,29.82,1,Australia
0.1,22.7,25.6,65.1,13,0.94,1.5,13,29.31,-1,Australia
0.08,24.1,25.6,59.6,13,0.82,1,5,25.82,0,Australia
0.07,20.9,25.6,37.1,13,1.07,1.4,6,26.68,0,Australia
0.06,22.7,25.6,32.7,13,1.13,1.6,18,30.01,0,Australia
0.08,22.4,25.6,32.5,13,0.84,1.4,6,26.27,1,Australia
0.1,20.9,25.6,37,13,0.46,1.5,12,22.59,-1,Australia
0.14,24.4,25.6,30.5,13,0.71,1.4,7,26.82,1,Australia
0.12,20.7,25.6,34,13,0.46,1.6,12,22.57,-1,Australia
0.11,24.2,25.6,28.9,13,0.4,1.3,8,23.56,0,Australia
0.1,20.8,25.6,37.1,13,0.77,1.1,20,22.43,-2,Australia
0.08,21.1,25.6,39,13,0.51,1.3,22,21.92,0,Australia
0.09,19.9,25.6,39.6,13,0.76,1.1,29,21.64,-2,Australia
0.24,19.7,25.6,35.1,13,0.71,1.1,68,19.4,-1,Australia
0.02,18.7,25.6,39.9,13,0.41,1.1,96,17.17,0,Australia
0.05,19.8,25.6,32.9,13,1.26,1.1,7,24.76,-1,Australia
0.08,20.8,25.6,32.3,13,0.51,1.3,32,21.07,0,Australia
0.03,20.4,25.6,33.5,13,0.81,1.2,17,22.62,-1,Australia
0.04,23,25.6,23.7,13,1.18,1.6,17,29.71,1,Australia
0.12,20.8,25.6,27.5,13,1.4,1.4,9,28.69,-2,Australia
0.04,24.7,25.6,24.4,13,0.44,1.2,6,24.05,2,Australia
0.05,23.5,25.6,30.2,13,0.68,1.1,6,24.4,0,Australia
0.11,19.7,25.6,29.8,13,1.29,1.1,7,25.08,-1,Australia
0.1,23.8,25.6,27.3,13,0.83,1.2,5,25.63,1,Australia
0.13,20.1,25.6,32,13,0.82,1.1,27,22.17,-2,Australia
0.11,20.7,25.6,41.7,13,0.71,1.4,7,24.22,0,Australia
0.1,22.9,25.6,35.2,13,0.43,1.3,12,22.94,0,Australia
0.12,24,25.6,33.8,13,0.8,1.4,9,27.37,0,Australia
0.09,19.9,25.6,42,13,0.8,1.1,25,21.93,-2,Australia
0.11,21.2,25.6,36.7,13,0.49,1.4,14,22.41,-1,Australia
0.08,20,25.6,41.8,13,0.46,1.3,33,20.87,-1,Australia
0.06,20.7,25.6,41.6,13,0.91,1.1,12,23.37,-2,Australia
0.11,20.1,25.6,38.1,13,0.71,1.4,10,23.34,1,Australia
0.08,20.5,25.6,40.5,13,0.73,1.2,18,22.48,-2,Australia
0.09,20.5,25.6,40.5,13,0.69,1.3,10,23.29,-1,Australia
0.11,19.6,25.6,50.2,13,1.29,1.1,6,25.28,-1,Australia
0.14,20.4,25.6,44.1,13,0.71,1.4,9,23.84,1,Australia
0.05,21,25.6,44.5,13,1.26,1.3,8,27.95,-1,Australia
0.07,20,25.6,48.8,13,0.77,1.2,18,22.38,-2,Australia
0.09,21.2,25.6,43.5,13,0.4,1.3,36,20.8,0,Australia
0.09,19.7,25.6,48,13,0.41,1.1,84,18.57,0,Australia
0.11,19.6,25.6,48.3,13,0.84,1.4,7,24.22,1,Australia
0.1,19.8,25.6,47.7,13,0.46,1.2,64,19.38,2,Australia
0.07,21.2,25.6,46.6,13,0.54,1.1,40,20.98,0,Australia
0.13,21.1,25.6,47.3,13,0.91,1.6,7,27.78,0,Australia
0.12,20.2,25.6,51.5,13,1.07,1.4,5,26.67,0,Australia
0.04,17.4,25.6,62.2,13,0.51,1.3,76,18.06,0,Australia
0.11,17.4,25.6,62.1,13,0.81,1.2,48,19.83,-1,Australia
0.12,21.1,25.6,54.9,13,0.82,1.1,12,23.42,-2,Australia
0.14,23,25.6,48.3,13,0.83,1.2,5,25.44,1,Australia
0.11,21.1,25.6,54.8,13,0.46,1.5,10,23.02,-1,Australia
0.06,23.4,25.6,47.5,13,0.49,1.3,8,23.44,2,Australia
0.11,21.2,25.6,51.9,13,0.54,1.1,46,20.53,2,Australia
0.09,21.3,25.6,53.5,13,1.18,1.4,10,28.67,-2,Australia
0.09,19.4,25.6,61.8,13,0.55,1.1,68,19.13,-1,Australia
0.11,24.4,25.6,44.9,13,1.18,1.6,26,31.52,1,Australia
0.06,20.2,25.6,70.3,13,1.04,1.2,5,25.8,-1,Australia
0.06,24,25.6,53.8,13,0.93,1.1,7,26.49,-1,Australia
0.05,24,25.6,53.8,13,0.49,1,20,22.55,2,Australia
0.06,23.5,25.6,53.5,13,0.69,1,9,23.79,1,Australia
0.06,22.5,25.6,58.4,13,0.49,1.2,15,22.52,2,Australia
0.05,21.1,25.6,62.8,13,0.38,1.1,60,20.01,-1,Australia
0.04,23.1,25.6,55.5,13,0.71,1.3,5,25.66,2,Australia
0.11,20.4,25.6,67.8,13,0.58,1.1,40,20.78,0,Australia
0.05,21.7,25.6,60.6,13,0.89,1.1,6,24.74,0,Australia
0.06,20.3,25.6,68.3,13,0.55,1.3,23,21.54,0,Australia
0.16,21.7,25.6,59.3,13,0.78,1.4,5,25.65,-1,Australia
0.02,20.9,25.6,67.3,13,1.05,1.3,6,26.78,-2,Australia
0.08,21.7,25.6,56.7,13,0.76,1.7,9,27.87,2,Australia
0.05,21.7,25.6,57,13,0.85,1.2,6,24.31,0,Australia
0.07,21,25.6,59.4,13,1.52,1.1,8,27.81,1,Australia
0.05,23.9,25.6,48.6,13,0.79,1.1,5,25.53,1,Australia
0.07,21.9,25.6,55,13,0.38,1,72,20.04,0,Australia
0.16,23.8,25.6,47.9,13,0.88,1.4,10,27.96,0,Australia
0.11,24.2,25.6,50.1,13,0.59,1,11,23.72,0,Australia
0.04,22.7,25.6,38,13,0.46,1,49,21.13,2,Australia
0.1,30.8,25.6,35.4,13,0.46,1,97,31.96,2,Australia
0.21,20.5,25.6,62.6,13,0.77,1.2,16,22.65,0,Australia
0.05,19.5,25.6,55.3,13,0.88,1.1,20,22.18,-1,Australia
