Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.19,22.3,24.1,63.9,25,0.79,1.3,5,26.05,1,Brazil
0.15,22,23.4,64.2,25,0.79,1.3,5,26.14,1,Brazil
0.15,22.5,23.4,64.9,25,0.79,1.3,5,26.43,1,Brazil
0.22,22.4,23.6,64,25,0.79,1.3,5,25.55,1,Brazil
0.1,20.5,22.6,61.2,25,0.54,1.3,14,22.88,-1,Brazil
0.1,20.7,22.1,59.8,25,0.54,1.3,15,22.65,-1,Brazil
0.08,20.9,22.1,59,25,0.54,1.3,14,22.75,-1,Brazil
0.1,20.8,22.6,59.4,25,0.54,1.3,13,23,-1,Brazil
0.16,23.5,24,51.4,25,0.64,1.3,5,25.66,0,Brazil
0.15,24,24.5,50.7,25,0.63,1.3,6,26.19,0,Brazil
0.15,23.2,24,51,25,0.63,1.3,5,25.62,0,Brazil
0.16,22.8,23.7,48.9,25,0.62,1.3,5,24.95,0,Brazil
0.17,22.8,23.7,49,25,0.6,1.3,6,24.58,0,Brazil
0.19,22.8,23.6,49.5,25,0.6,1.3,6,24.35,0,Brazil
0.16,22.6,23.4,50.2,25,0.6,1.3,6,24.55,0,Brazil
0.15,22.5,23.3,51.4,25,0.6,1.3,6,24.62,0,Brazil
0.13,21.9,22.9,53.5,25,0.68,1.2,7,24.6,0,Brazil
0.13,21.9,22.9,54,25,0.67,1.2,7,24.55,0,Brazil
0.12,22,23,53.4,25,0.68,1.2,6,24.68,0,Brazil
0.14,22.1,23,52.7,25,0.69,1.2,6,24.78,0,Brazil
0.15,22.3,23.2,52.5,25,0.68,1.2,6,24.72,0,Brazil
0.07,22.5,23.1,52.7,25,0.69,1.2,5,25.07,0,Brazil
0.14,22.5,23.4,52.9,25,0.67,1.2,6,24.99,0,Brazil
0.12,22.5,23.4,53.4,25,0.68,1.2,5,25.19,0,Brazil
0.18,20.4,20.7,64.6,25,0.78,1.3,9,23.75,0,Brazil
0.14,20.8,21.2,63.7,25,0.78,1.3,6,24.81,0,Brazil
0.16,20.9,21.5,63.8,25,0.83,1.3,6,25.09,-1,Brazil
0.11,21.2,22,62.8,25,0.83,1.3,5,25.86,0,Brazil
0.14,21,21.5,64.5,25,0.8,1.3,6,25.22,0,Brazil
0.16,21.1,21.6,65.3,25,0.78,1.3,6,24.85,0,Brazil
0.21,20.8,21.2,67,25,0.82,1.3,7,24.25,0,Brazil
0.17,20.8,21.1,67.2,25,0.82,1.3,6,24.73,0,Brazil
0.24,21.9,22.7,61.2,25,0.55,1.3,12,22.88,0,Brazil
0.27,22.1,22.9,61.4,25,0.55,1.3,12,22.8,-1,Brazil
0.3,22.4,23.2,60.7,25,0.55,1.3,11,22.84,0,Brazil
0.23,22.5,23.1,61.3,25,0.59,1.3,7,23.84,0,Brazil
0.21,22.8,23.4,62.2,25,0.64,1.3,5,24.9,0,Brazil
0.19,22.4,23.3,64.3,25,0.61,1.3,6,24.69,0,Brazil
0.3,22.1,23,65.3,25,0.61,1.3,9,23.25,0,Brazil
0.3,22.2,22.8,64.7,25,0.64,1.3,8,23.51,0,Brazil
0.16,22.1,22.2,65.4,25,0.61,1.3,7,24.39,0,Brazil
0.16,22.2,22.5,65.2,25,0.61,1.3,6,24.58,-1,Brazil
0.2,22,22.4,65.8,25,0.65,1.3,7,24.27,0,Brazil
0.16,22.3,22.7,63.8,25,0.65,1.3,5,25.11,-1,Brazil
0.18,22.3,22.6,63.4,25,0.66,1.3,6,24.85,0,Brazil
0.19,22.3,22.6,63.9,25,0.68,1.3,5,24.88,-1,Brazil
0.19,22.4,22.6,64.1,25,0.66,1.3,6,24.75,0,Brazil
0.09,22.3,22.5,65,25,0.63,1.3,5,25.22,0,Brazil
0.25,25.1,26,62.8,25,0.48,1.4,6,25.67,0,Brazil
0.14,24.8,25.4,62.7,25,0.48,1.4,7,26.83,1,Brazil
0.18,24.6,25.3,61.3,25,0.48,1.4,6,25.88,0,Brazil
0.26,24.3,25.3,63.5,25,0.47,1.4,5,24.73,0,Brazil
0.14,25.6,25.7,69.4,25,0.45,1.4,10,27.64,1,Brazil
0.17,23.9,25,66.1,25,0.45,1.4,5,25.39,0,Brazil
0.22,23.7,24.9,66.2,25,0.46,1.4,5,24.61,0,Brazil
0.22,23.4,24.7,66.4,25,0.46,1.4,6,24.34,0,Brazil
0.19,23.5,24.6,67.9,25,0.46,1.4,5,24.79,0,Brazil
0.28,23.5,24.8,68.4,25,0.46,1.4,7,23.84,0,Brazil
0.17,23.5,24.4,68.4,25,0.46,1.4,5,25.02,0,Brazil
0.15,23.5,24.4,67.6,25,0.46,1.4,5,25.35,0,Brazil
0.13,23.6,24.6,70.6,25,0.44,1.3,5,25.5,0,Brazil
0.11,23.8,24.7,70.2,25,0.44,1.3,5,25.65,0,Brazil
0.12,23.8,24.7,68.6,25,0.44,1.3,5,25.6,0,Brazil
0.11,23.8,24.7,68.1,25,0.44,1.3,5,25.59,0,Brazil
0.12,23.7,24.6,67.8,25,0.44,1.3,5,25.46,1,Brazil
0.12,23.7,24.7,68.6,25,0.44,1.3,5,25.56,1,Brazil
0.19,23.8,25,69,25,0.44,1.3,5,24.88,0,Brazil
0.14,24,25.1,68.7,25,0.44,1.3,5,25.87,0,Brazil
0.14,23.6,24.6,65.7,25,0.45,1.3,6,24.92,0,Brazil
0.16,23.7,24.6,65,25,0.45,1.3,6,24.56,0,Brazil
0.16,23.8,24.8,64.6,25,0.45,1.3,6,24.7,0,Brazil
0.15,23.5,24.6,65.2,25,0.44,1.3,6,24.56,0,Brazil
0.16,23.9,24.9,66.6,25,0.45,1.3,5,24.91,1,Brazil
0.15,23.9,24.8,66.7,25,0.45,1.3,5,25.03,0,Brazil
0.16,23.8,24.7,66.3,25,0.45,1.3,6,24.72,0,Brazil
0.14,23.8,24.7,66.5,25,0.45,1.3,5,25.12,0,Brazil
0.12,23.4,24.4,70.5,25,0.41,1.3,6,24.46,0,Brazil
0.14,23.6,24.4,70.2,25,0.4,1.3,7,24.44,0,Brazil
0.15,23.7,24.6,70.1,25,0.39,1.3,7,24.37,0,Brazil
0.15,23.9,25,69.3,25,0.4,1.3,6,24.74,0,Brazil
0.12,24.1,24.8,69.7,25,0.4,1.3,5,25,1,Brazil
0.13,24.3,25.2,69.1,25,0.41,1.3,5,25.48,1,Brazil
0.12,24.2,25,68.3,25,0.41,1.3,5,25.29,1,Brazil
0.11,24.2,25.1,69.2,25,0.43,1.3,5,25.52,1,Brazil
0.13,23.4,24.3,70,25,0.4,1.3,7,24.29,0,Brazil
0.13,23.5,24.2,68.9,25,0.4,1.3,7,24.29,0,Brazil
0.21,23.7,24.6,67.1,25,0.4,1.3,10,23.41,0,Brazil
0.16,23.8,24.7,66.6,25,0.41,1.3,7,24.33,1,Brazil
0.18,24.3,25,66.5,25,0.4,1.3,6,24.42,1,Brazil
0.18,24.6,25.3,65.8,25,0.4,1.3,5,24.67,1,Brazil
0.17,24.6,25.3,65.5,25,0.41,1.3,5,24.97,0,Brazil
0.18,24.5,25.3,66.1,25,0.38,1.3,6,24.48,0,Brazil
0.16,24.5,26,70.1,25,0.44,1.3,5,25.92,1,Brazil
0.19,24.9,26.1,63.7,25,0.44,1.3,5,25.46,1,Brazil
0.2,25.2,26.6,61.5,25,0.44,1.3,6,25.68,1,Brazil
0.2,25.5,27,59.8,25,0.44,1.3,7,26.04,1,Brazil
0.23,25.8,27.5,57.6,25,0.43,1.3,7,25.84,2,Brazil
0.2,25.3,26.7,58.7,25,0.43,1.3,6,25.59,1,Brazil
0.17,24.7,26,60.8,25,0.43,1.3,5,25.39,0,Brazil
0.23,25.1,26.7,59.7,25,0.43,1.3,5,25.17,1,Brazil
0.17,24.2,25.4,80.9,25,0.46,1.3,5,25.89,0,Brazil
0.16,24,24.8,75.9,25,0.46,1.3,5,25.31,0,Brazil
0.11,24,24.7,74.9,25,0.47,1.3,5,25.83,0,Brazil
0.12,24,24.7,75.9,25,0.51,1.3,5,26.23,0,Brazil
0.12,24.2,25.1,74.9,25,0.45,1.3,5,25.98,1,Brazil
0.14,24,24.8,73.7,25,0.45,1.3,5,25.56,1,Brazil
0.15,23.7,24.6,73.5,25,0.45,1.3,5,25.06,0,Brazil
0.19,23.6,24.6,73.8,25,0.45,1.3,7,24.32,0,Brazil
0.09,18.8,19.7,55.2,25,0.69,1.2,26,21.45,-1,Brazil
0.1,19.5,20.3,55.4,25,0.7,1.2,21,22,-1,Brazil
0.13,20.1,20.4,53.3,25,0.7,1.2,21,22.32,-1,Brazil
0.1,20.5,21,51.5,25,0.81,1.2,9,23.72,0,Brazil
0.11,20.7,21.8,52.6,25,0.81,1.2,8,24.24,0,Brazil
0.09,21.1,21.6,53.1,25,0.75,1.2,8,23.88,0,Brazil
0.09,21.6,22,53.5,25,0.75,1.2,6,24.33,0,Brazil
0.12,21.5,21.9,55.2,25,0.75,1.2,8,24.22,0,Brazil
0.08,20.1,21.1,62.3,25,0.75,1.3,8,24,-1,Brazil
0.08,21.2,21.8,59.8,25,0.75,1.3,5,24.85,0,Brazil
0.08,21.5,22.2,60.7,25,0.75,1.3,5,25.27,0,Brazil
0.08,21.8,22.5,60.7,25,0.75,1.3,5,25.54,0,Brazil
0.09,22.3,22.6,61.1,25,0.75,1.3,5,25.89,0,Brazil
0.1,22.6,22.8,60.6,25,0.75,1.3,5,26.11,0,Brazil
0.08,22.5,23.1,61.3,25,0.79,1.3,6,26.56,0,Brazil
0.09,22.7,23.4,62.1,25,0.86,1.3,8,27.28,0,Brazil
0.08,20.5,21.1,66.7,25,0.82,1.2,7,24.27,0,Brazil
0.1,22.2,22,61.3,25,0.76,1.3,5,25.25,0,Brazil
0.12,22.9,22.6,61.1,25,0.82,1.2,5,26.15,1,Brazil
0.08,22.6,22.9,64,25,0.77,1.3,6,26.14,1,Brazil
0.1,23.3,23.5,55.3,25,0.72,1.3,6,26.1,1,Brazil
0.19,23.1,23.6,55.3,25,0.72,1.2,5,25.02,0,Brazil
0.16,23.3,23.4,53,25,0.72,1.2,5,25.33,1,Brazil
0.12,23.6,23.6,54.3,25,0.78,1.2,6,26.4,1,Brazil
0.12,23.4,24.1,57,25,0.74,1.4,8,27.48,1,Brazil
0.08,23.4,23.9,55.6,25,0.74,1.4,9,27.28,1,Brazil
0.1,23.2,24.2,55.9,25,0.74,1.4,9,27.34,0,Brazil
0.06,23.2,23.9,54.9,25,0.74,1.4,8,27.19,0,Brazil
0.13,17.5,17.8,60.1,25,1.04,1.3,13,23.3,-1,Brazil
0.1,18,17.8,56.6,25,1.04,1.3,10,23.42,-1,Brazil
0.11,18.4,18.5,56.8,25,1.04,1.3,9,23.87,-1,Brazil
0.09,18.7,18.8,57.2,25,1.04,1.3,8,24.17,-1,Brazil
0.12,19.1,18.8,56.7,25,0.98,1.3,8,24.11,-1,Brazil
0.07,18.8,18.6,56,25,0.98,1.3,8,23.82,-1,Brazil
0.09,19.1,19,56.4,25,0.98,1.3,7,24.16,-1,Brazil
0.09,18.9,19,57.7,25,0.86,1.3,12,23.04,0,Brazil
0.1,16.7,17,69,25,0.98,1.2,31,20.91,-2,Brazil
0.08,17.5,17.3,65.2,25,0.98,1.2,25,21.37,-2,Brazil
0.06,17.9,17.9,62.5,25,0.98,1.2,22,21.76,-2,Brazil
0.07,17.8,18,63.9,25,0.98,1.2,21,21.83,-2,Brazil
0.07,18.7,18.5,60.8,25,0.93,1.2,15,22.48,-1,Brazil
0.08,18.9,18.7,59.2,25,0.94,1.2,13,22.82,-2,Brazil
0.09,18.2,18.3,69.3,25,0.94,1.2,15,22.41,-1,Brazil
0.12,18.3,18.5,71.7,25,0.94,1.2,16,22.59,-2,Brazil
0.15,19.3,19.3,52,25,0.74,1.1,50,20.5,-2,Brazil
0.13,20,20,52.9,25,0.75,1.1,37,21.26,-1,Brazil
0.14,20.1,20.1,52.2,25,0.8,1.1,35,21.53,-1,Brazil
0.13,20.5,20.5,51.3,25,0.77,1.1,24,22.2,-1,Brazil
0.13,20.9,20.9,51,25,0.72,1.1,29,21.89,0,Brazil
0.13,21,21,52.4,25,0.71,1.1,26,22.09,1,Brazil
0.13,21.2,21.2,53.9,25,0.72,1.1,25,22.22,0,Brazil
0.24,20.9,20.9,55.6,25,0.77,1.1,29,21.66,0,Brazil
0.21,18.8,18.1,60,25,0.8,1.2,49,20.06,-1,Brazil
0.12,18.9,18.1,60.4,25,0.8,1.2,35,20.87,-1,Brazil
0.15,19.3,18.3,58.1,25,0.83,1.2,32,21.24,0,Brazil
0.19,19.3,18.5,59.3,25,0.83,1.2,35,20.96,0,Brazil
0.19,19.3,18.5,57.4,25,0.83,1.2,36,20.94,0,Brazil
0.09,19.9,18.7,56.3,25,0.87,1.2,17,22.19,0,Brazil
0.02,24.6,24.9,60.1,25,0.67,1.1,6,26.12,1,Brazil
0.1,24.3,25.7,52.2,25,0.67,1.1,5,25.65,1,Brazil
0.07,25.4,25.2,63.5,25,0.66,1.2,11,27.31,1,Brazil
0.08,24.9,26.7,58.1,25,0.43,1.2,7,26.2,1,Brazil
0.01,20.6,20.8,65.6,25,0.81,1,21,22.17,-1,Brazil
0.14,28,28.2,50.6,25,0.48,1.2,22,28.34,2,Brazil
0.07,27.9,28.3,51.4,25,0.48,1.2,29,28.47,2,Brazil
0.11,28.4,28.7,49.3,25,0.48,1.2,30,28.78,2,Brazil
0.21,28.3,28.9,49,25,0.49,1.2,25,27.88,2,Brazil
0.07,27.5,28.2,49.4,25,0.48,1.2,25,28.13,2,Brazil
0.08,26.7,27.3,51.2,25,0.42,1,8,25.81,2,Brazil
0.13,26.4,26.9,48.5,25,0.45,1.2,9,26.63,1,Brazil
0.12,26.7,27.1,54.1,25,0.45,1.2,12,27.17,1,Brazil
0.09,26.9,27.1,91.6,25,0.45,1.2,25,30.14,2,Brazil
0.34,26.6,26.9,98.8,25,0.45,1.2,10,27.45,2,Brazil
0.32,26.2,26.5,99.1,25,0.44,1.2,7,26.56,1,Brazil
0.32,25.9,26.3,99.7,25,0.47,1,5,25.07,0,Brazil
0.06,24.7,26.9,59.2,25,0.46,1.2,7,26.13,1,Brazil
0.07,24.8,27.1,55.5,25,0.46,1.2,7,26.21,1,Brazil
0.08,25,27.4,56.2,25,0.46,1.2,9,26.5,1,Brazil
0.07,24.7,27,53.5,25,0.46,1.2,7,26.02,0,Brazil
0.06,24.5,26.5,52.5,25,0.47,1.2,6,25.84,1,Brazil
0.1,24.2,26.9,54.2,25,0.52,1.3,8,26.7,1,Brazil
0.11,23.6,25.6,58.2,25,0.45,1.2,6,24.47,0,Brazil
0.12,23.6,25.7,57.6,25,0.45,1.2,6,24.53,0,Brazil
0.02,23.9,25.8,58.4,25,0.45,1.2,5,24.76,0,Brazil
0.11,24,26.4,56.8,25,0.45,1.2,5,25.19,0,Brazil
0.09,24.1,26.5,56.1,25,0.45,1.2,5,25.22,0,Brazil
0.08,24.1,26.4,53.1,25,0.45,1.2,5,25.13,0,Brazil
0.1,24.1,26.8,52.1,25,0.45,1.2,5,25.32,0,Brazil
0.07,25,26.8,55.7,25,0.45,1.2,6,25.87,0,Brazil
0.06,24,26.3,53.9,25,0.48,1.2,5,25.36,1,Brazil
0.2,28.5,26.63333333,51.1,25,0.5,1.2,5.333333333,25.51666667,1,Brazil
0.2,28.7,26.63333333,51.2,25,0.5,1.2,5.333333333,25.51666667,1,Brazil
0.2,28.5,26.63333333,51.4,25,0.5,1.2,5.333333333,25.51666667,0,Brazil
0.2,28.5,26.63333333,51.4,25,0.5,1.2,5.333333333,25.51666667,0,Brazil
0.3,28.5,26.63333333,51.1,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
0.3,28.7,26.63333333,51.2,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
0.3,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,-1,Brazil
0.3,28.5,26.63333333,51.4,25,0.27,1.2,5.333333333,25.51666667,0,Brazil
