,loss,accuracy,weighted_accuracy,val_loss,val_accuracy,val_weighted_accuracy
0,1.4269904494285583,0.4337514638900757,0.4337514638900757,1.3196441113948822,0.4862781584262848,0.4862781584262848
1,1.3086150884628296,0.47698318064212797,0.47698318064212797,1.2842791557312012,0.49938468635082245,0.49938468635082245
2,1.2905703067779541,0.481656613945961,0.481656613945961,1.2668141722679138,0.4944092959165573,0.4944092959165573
3,1.272175657749176,0.4853300154209137,0.4853300154209137,1.262033748626709,0.4966919034719467,0.4966919034719467
4,1.2669410943984984,0.48869823217391967,0.48869823217391967,1.255651193857193,0.4967839062213898,0.4967839062213898
0,1.3970197200775147,0.44657105654478074,0.44657105654478074,1.3446766436100006,0.4595235362648964,0.4595235362648964
1,1.3331310033798218,0.45438517481088636,0.45438517481088636,1.3211381435394287,0.46960866302251814,0.46960866302251814
2,1.3168284058570863,0.4619397774338722,0.4619397774338722,1.3026850163936614,0.462734617292881,0.462734617292881
3,1.2978368401527405,0.46516302675008775,0.46516302675008775,1.2704222202301025,0.48128815144300463,0.48128815144300463
4,1.2822170853614807,0.4871948450803757,0.4871948450803757,1.2722062051296235,0.49638746678829193,0.49638746678829193
0,1.3538013219833374,0.4547530606389046,0.4547530606389046,1.3224723100662232,0.4666593536734581,0.4666593536734581
1,1.3152202248573304,0.46351404339075086,0.46351404339075086,1.2855581402778626,0.47172134667634963,0.47172134667634963
2,1.2882561564445496,0.4720348581671715,0.4720348581671715,1.2776691794395447,0.47406278401613233,0.47406278401613233
3,1.2659828066825867,0.4954290211200714,0.4954290211200714,1.2778062760829925,0.4911217600107193,0.4911217600107193
4,1.2604656219482422,0.4959975332021713,0.4959975332021713,1.2559275925159454,0.5075923353433609,0.5075923353433609
0,1.3376722812652588,0.4606286510825157,0.4606286510825157,1.2967479050159454,0.47204876095056536,0.47204876095056536
1,1.286494994163513,0.4728089705109596,0.4728089705109596,1.2751108765602113,0.4701754316687584,0.4701754316687584
2,1.2673659324645996,0.48505207896232605,0.48505207896232605,1.2635967314243317,0.4997052103281021,0.4997052103281021
3,1.2567062616348266,0.493376225233078,0.493376225233078,1.2526722371578216,0.5022788047790527,0.5022788047790527
